time,refact,number
2014,Add Method Annotation,1
2014,Change Parameter Type,10
2014,Move Source Folder,13
2014,Rename Class,2
2014,Move Attribute,2
2014,Replace Attribute With Variable,3
2014,Move Class,12
2014,Remove Parameter,4
2014,Extract Variable,5
2014,Split Attribute,1
2014,Inline Variable,1
2014,Rename Method,12
2014,Change Attribute Access Modifier,5
2014,Change Method Access Modifier,7
2014,Replace Variable With Attribute,5
2014,Add Class Modifier,1
2014,Add Method Modifier,2
2014,Extract Class,2
2014,Encapsulate Attribute,1
2014,Change Variable Type,27
2014,Split Parameter,1
2014,Extract Method,4
2014,Add Thrown Exception Type,4
2014,Parameterize Attribute,11
2014,Add Variable Modifier,1
2014,Add Parameter,36
2014,Rename Variable,10
2014,Add Attribute Modifier,4
2014,Change Return Type,9
2014,Remove Attribute Annotation,1
2014,Rename Attribute,47
2014,Change Attribute Type,34
2014,Rename Parameter,4
2015,Add Method Annotation,97
2015,Localize Parameter,7
2015,Move And Rename Method,9
2015,Extract Subclass,1
2015,Move Source Folder,7
2015,Pull Up Attribute,1
2015,Move Attribute,85
2015,Move Class,29
2015,Replace Attribute With Variable,12
2015,Extract Variable,52
2015,Inline Variable,13
2015,Split Attribute,1
2015,Rename Method,71
2015,Reorder Parameter,1
2015,Change Method Access Modifier,42
2015,Replace Variable With Attribute,21
2015,Extract And Move Method,3
2015,Rename Package,2
2015,Add Parameter Modifier,6
2015,Push Down Attribute,4
2015,Remove Method Annotation,9
2015,Merge Parameter,1
2015,Remove Method Modifier,30
2015,Encapsulate Attribute,21
2015,Move And Rename Attribute,1
2015,Change Variable Type,196
2015,Add Thrown Exception Type,17
2015,Parameterize Attribute,7
2015,Push Down Method,4
2015,Add Variable Modifier,12
2015,Add Parameter,129
2015,Rename Variable,80
2015,Inline Method,9
2015,Add Attribute Modifier,9
2015,Add Attribute Annotation,2
2015,Rename Attribute,75
2015,Extract Superclass,4
2015,Change Class Access Modifier,2
2015,Change Type Declaration Kind,1
2015,Move Package,1
2015,Remove Class Modifier,3
2015,Change Parameter Type,37
2015,Extract Attribute,18
2015,Rename Class,5
2015,Remove Variable Modifier,2
2015,Change Thrown Exception Type,14
2015,Remove Parameter,60
2015,Merge Variable,2
2015,Add Class Annotation,6
2015,Change Attribute Access Modifier,63
2015,Parameterize Variable,15
2015,Remove Attribute Modifier,17
2015,Modify Class Annotation,1
2015,Add Class Modifier,1
2015,Move And Inline Method,2
2015,Move Method,73
2015,Add Method Modifier,35
2015,Extract Class,11
2015,Extract Method,73
2015,Pull Up Method,3
2015,Change Return Type,32
2015,Remove Attribute Annotation,101
2015,Remove Thrown Exception Type,15
2015,Extract Interface,2
2015,Change Attribute Type,33
2015,Remove Class Annotation,48
2015,Rename Parameter,21
2016,Add Method Annotation,632
2016,Localize Parameter,2
2016,Move And Rename Method,6
2016,Remove Parameter Modifier,1
2016,Move Source Folder,2
2016,Pull Up Attribute,7
2016,Move Attribute,14
2016,Replace Attribute With Variable,10
2016,Move Class,60
2016,Move And Rename Class,2
2016,Extract Variable,53
2016,Inline Variable,14
2016,Rename Method,39
2016,Split Package,1
2016,Change Method Access Modifier,48
2016,Replace Variable With Attribute,11
2016,Extract And Move Method,8
2016,Rename Package,1
2016,Add Parameter Modifier,124
2016,Remove Method Annotation,20
2016,Encapsulate Attribute,4
2016,Change Variable Type,233
2016,Add Thrown Exception Type,25
2016,Parameterize Attribute,2
2016,Push Down Method,2
2016,Add Variable Modifier,92
2016,Add Parameter,68
2016,Rename Variable,73
2016,Inline Method,8
2016,Add Attribute Modifier,379
2016,Add Attribute Annotation,3
2016,Rename Attribute,85
2016,Extract Superclass,5
2016,Modify Method Annotation,2
2016,Move Package,4
2016,Change Parameter Type,169
2016,Remove Class Modifier,5
2016,Extract Attribute,44
2016,Rename Class,9
2016,Remove Variable Modifier,14
2016,Remove Parameter,24
2016,Add Class Annotation,106
2016,Change Attribute Access Modifier,38
2016,Parameterize Variable,9
2016,Remove Attribute Modifier,6
2016,Add Class Modifier,3
2016,Add Variable Annotation,1
2016,Move Method,18
2016,Add Method Modifier,21
2016,Extract Class,1
2016,Extract Method,103
2016,Pull Up Method,13
2016,Change Return Type,67
2016,Remove Attribute Annotation,2
2016,Remove Thrown Exception Type,24
2016,Extract Interface,1
2016,Remove Class Annotation,98
2016,Change Attribute Type,160
2016,Rename Parameter,28
2017,Add Method Annotation,45
2017,Merge Attribute,6
2017,Localize Parameter,5
2017,Move And Rename Method,14
2017,Remove Parameter Modifier,33
2017,Move Source Folder,7
2017,Move Attribute,74
2017,Move Class,12
2017,Replace Attribute With Variable,7
2017,Move And Rename Class,2
2017,Extract Variable,81
2017,Inline Variable,21
2017,Split Attribute,2
2017,Rename Method,88
2017,Change Method Access Modifier,41
2017,Remove Parameter Annotation,1
2017,Replace Variable With Attribute,3
2017,Extract And Move Method,12
2017,Replace Anonymous With Lambda,19
2017,Add Parameter Modifier,60
2017,Remove Method Annotation,13
2017,Merge Parameter,1
2017,Remove Method Modifier,104
2017,Move And Rename Attribute,1
2017,Encapsulate Attribute,9
2017,Change Variable Type,232
2017,Split Variable,1
2017,Replace Loop With Pipeline,1
2017,Add Thrown Exception Type,40
2017,Parameterize Attribute,5
2017,Add Variable Modifier,48
2017,Add Parameter,47
2017,Inline Method,14
2017,Rename Variable,183
2017,Add Attribute Modifier,53
2017,Add Attribute Annotation,18
2017,Rename Attribute,891
2017,Extract Superclass,1
2017,Change Class Access Modifier,2
2017,Modify Method Annotation,27
2017,Add Parameter Annotation,1
2017,Change Parameter Type,87
2017,Remove Class Modifier,26
2017,Remove Variable Modifier,51
2017,Extract Attribute,70
2017,Rename Class,3
2017,Remove Parameter,35
2017,Change Thrown Exception Type,18
2017,Merge Variable,1
2017,Add Class Annotation,239
2017,Change Attribute Access Modifier,68
2017,Parameterize Variable,13
2017,Remove Attribute Modifier,80
2017,Modify Class Annotation,1
2017,Add Class Modifier,2
