time,refact,number
2005,Localize Parameter,5
2005,Move And Rename Method,6
2005,Collapse Hierarchy,1
2005,Move Source Folder,1
2005,Pull Up Attribute,1
2005,Move Attribute,12
2005,Move Class,59
2005,Replace Attribute With Variable,3
2005,Move And Rename Class,4
2005,Extract Variable,26
2005,Inline Variable,11
2005,Rename Method,36
2005,Split Package,1
2005,Change Method Access Modifier,14
2005,Extract And Move Method,9
2005,Rename Package,1
2005,Add Parameter Modifier,7
2005,Encapsulate Attribute,9
2005,Change Variable Type,75
2005,Add Thrown Exception Type,6
2005,Add Parameter,93
2005,Rename Variable,56
2005,Inline Method,5
2005,Add Attribute Modifier,1
2005,Rename Attribute,23
2005,Extract Superclass,3
2005,Change Class Access Modifier,3
2005,Change Parameter Type,32
2005,Remove Class Modifier,5
2005,Rename Class,2
2005,Extract Attribute,2
2005,Remove Parameter,19
2005,Merge Variable,1
2005,Change Thrown Exception Type,3
2005,Change Attribute Access Modifier,23
2005,Parameterize Variable,6
2005,Remove Attribute Modifier,1
2005,Add Class Modifier,3
2005,Move And Inline Method,1
2005,Move Method,28
2005,Add Method Modifier,26
2005,Extract Class,1
2005,Extract Method,24
2005,Pull Up Method,2
2005,Change Return Type,26
2005,Remove Thrown Exception Type,23
2005,Extract Interface,1
2005,Change Attribute Type,24
2005,Rename Parameter,29
2006,Merge Attribute,1
2006,Localize Parameter,4
2006,Move And Rename Method,2
2006,Extract Subclass,2
2006,Remove Parameter Modifier,1
2006,Collapse Hierarchy,5
2006,Move Source Folder,1
2006,Pull Up Attribute,28
2006,Move Attribute,17
2006,Move Class,18
2006,Move And Rename Class,5
2006,Extract Variable,27
2006,Inline Variable,19
2006,Split Attribute,3
2006,Rename Method,13
2006,Split Package,1
2006,Change Method Access Modifier,17
2006,Replace Variable With Attribute,3
2006,Extract And Move Method,3
2006,Rename Package,1
2006,Add Parameter Modifier,11
2006,Push Down Attribute,3
2006,Move And Rename Attribute,1
2006,Remove Method Modifier,86
2006,Encapsulate Attribute,11
2006,Change Variable Type,262
2006,Add Thrown Exception Type,20
2006,Parameterize Attribute,4
2006,Push Down Method,5
2006,Add Variable Modifier,18
2006,Add Parameter,164
2006,Rename Variable,72
2006,Inline Method,18
2006,Add Attribute Modifier,18
2006,Rename Attribute,105
2006,Extract Superclass,3
2006,Change Class Access Modifier,5
2006,Change Type Declaration Kind,1
2006,Change Parameter Type,292
2006,Remove Class Modifier,2
2006,Extract Attribute,9
2006,Rename Class,3
2006,Remove Variable Modifier,1
2006,Remove Parameter,13
2006,Merge Variable,1
2006,Change Thrown Exception Type,6
2006,Change Attribute Access Modifier,38
2006,Parameterize Variable,10
2006,Remove Attribute Modifier,88
2006,Add Class Modifier,1
2006,Move And Inline Method,7
2006,Move Method,6
2006,Add Method Modifier,2
2006,Extract Class,3
2006,Split Parameter,2
2006,Extract Method,38
2006,Pull Up Method,10
2006,Inline Attribute,4
2006,Change Return Type,84
2006,Remove Thrown Exception Type,24
2006,Extract Interface,7
2006,Change Attribute Type,222
2006,Rename Parameter,95
2007,Add Method Annotation,1
2007,Localize Parameter,7
2007,Remove Parameter Modifier,2
2007,Change Parameter Type,20
2007,Rename Class,1
2007,Move Attribute,1
2007,Extract Attribute,2
2007,Remove Variable Modifier,3
2007,Replace Attribute With Variable,7
2007,Move Class,1
2007,Remove Parameter,17
2007,Extract Variable,25
2007,Inline Variable,3
2007,Add Class Annotation,13
2007,Rename Method,4
2007,Change Method Access Modifier,10
2007,Parameterize Variable,4
2007,Move Method,10
2007,Extract Class,1
2007,Add Parameter Modifier,2
2007,Remove Method Annotation,3
2007,Encapsulate Attribute,2
2007,Change Variable Type,128
2007,Extract Method,8
2007,Add Thrown Exception Type,3
2007,Parameterize Attribute,1
2007,Add Variable Modifier,7
2007,Add Parameter,16
2007,Rename Variable,12
2007,Inline Method,1
2007,Add Attribute Modifier,4
2007,Change Return Type,45
2007,Remove Thrown Exception Type,2
2007,Extract Superclass,1
2007,Rename Attribute,1
2007,Extract Interface,1
2007,Change Attribute Type,58
2007,Rename Parameter,3
2008,Add Method Annotation,2
2008,Change Parameter Type,100
2008,Add Parameter Modifier,2
2008,Remove Parameter,5
2008,Remove Method Annotation,1
2008,Change Variable Type,13
2008,Extract Variable,10
2008,Add Thrown Exception Type,1
2008,Change Attribute Access Modifier,7
2008,Add Parameter,6
2008,Rename Variable,3
2008,Change Return Type,14
2008,Add Attribute Modifier,1
2008,Parameterize Variable,7
2008,Rename Attribute,4
2008,Remove Attribute Modifier,5
2008,Change Class Access Modifier,1
2008,Change Attribute Type,12
2009,Add Method Annotation,29
2009,Localize Parameter,1
2009,Move And Rename Method,1
2009,Remove Parameter Modifier,4
2009,Collapse Hierarchy,1
2009,Move Attribute,35
2009,Move Class,9
2009,Move And Rename Class,2
2009,Extract Variable,11
2009,Inline Variable,12
2009,Rename Method,4
2009,Change Method Access Modifier,5
2009,Extract And Move Method,4
2009,Remove Method Modifier,2
2009,Change Variable Type,67
2009,Add Thrown Exception Type,15
2009,Add Variable Modifier,77
2009,Add Parameter,27
2009,Inline Method,2
2009,Rename Variable,9
2009,Add Attribute Modifier,26
2009,Add Attribute Annotation,3
2009,Rename Attribute,4
2009,Change Type Declaration Kind,2
2009,Change Class Access Modifier,2
2009,Change Parameter Type,112
2009,Remove Class Modifier,2
2009,Rename Class,2
2009,Remove Variable Modifier,2
2009,Change Thrown Exception Type,5
2009,Merge Variable,3
2009,Remove Parameter,34
2009,Add Class Annotation,7
2009,Change Attribute Access Modifier,9
2009,Parameterize Variable,6
2009,Remove Attribute Modifier,3
2009,Add Variable Annotation,2
2009,Move And Inline Method,6
2009,Move Method,15
2009,Add Method Modifier,1
2009,Extract Class,6
2009,Extract Method,3
2009,Pull Up Method,3
2009,Change Return Type,46
2009,Merge Class,1
2009,Remove Thrown Exception Type,2
2009,Extract Interface,1
2009,Change Attribute Type,35
2009,Rename Parameter,38
2010,Add Method Annotation,73
2010,Localize Parameter,3
2010,Move And Rename Method,2
2010,Move Source Folder,1
2010,Pull Up Attribute,16
2010,Move Attribute,46
2010,Move Class,11
2010,Replace Attribute With Variable,2
2010,Move And Rename Class,6
2010,Extract Variable,9
2010,Inline Variable,7
2010,Rename Method,42
2010,Reorder Parameter,1
2010,Change Method Access Modifier,27
2010,Replace Variable With Attribute,2
2010,Extract And Move Method,1
2010,Rename Package,1
2010,Remove Method Annotation,22
2010,Merge Parameter,1
2010,Encapsulate Attribute,4
2010,Remove Method Modifier,39
2010,Change Variable Type,91
2010,Add Thrown Exception Type,18
2010,Add Variable Modifier,20
2010,Add Parameter,43
2010,Rename Variable,52
2010,Add Attribute Modifier,19
2010,Merge Package,2
2010,Rename Attribute,37
2010,Extract Superclass,1
2010,Change Type Declaration Kind,1
2010,Change Class Access Modifier,4
2010,Move Package,1
2010,Change Parameter Type,109
2010,Remove Class Modifier,2
2010,Rename Class,10
2010,Extract Attribute,2
2010,Remove Variable Modifier,13
2010,Remove Parameter,48
2010,Change Thrown Exception Type,5
2010,Add Class Annotation,3
2010,Change Attribute Access Modifier,20
2010,Parameterize Variable,6
2010,Remove Attribute Modifier,14
2010,Move Method,47
2010,Add Method Modifier,4
2010,Extract Class,5
2010,Extract Method,16
2010,Pull Up Method,3
2010,Change Return Type,52
2010,Merge Class,4
2010,Remove Thrown Exception Type,4
2010,Extract Interface,1
2010,Change Attribute Type,133
2010,Remove Class Annotation,1
2010,Rename Parameter,83
2011,Move And Rename Method,1
2011,Move Package,1
2011,Change Parameter Type,15
2011,Move Source Folder,1
2011,Move Attribute,4
2011,Extract Attribute,1
2011,Remove Variable Modifier,1
2011,Replace Attribute With Variable,3
2011,Move Class,1
2011,Move And Rename Class,1
2011,Change Thrown Exception Type,7
2011,Remove Parameter,6
2011,Extract Variable,13
2011,Inline Variable,5
2011,Rename Method,5
2011,Parameterize Variable,1
2011,Extract And Move Method,1
2011,Move Method,6
2011,Rename Package,1
2011,Add Method Modifier,2
2011,Extract Class,1
2011,Encapsulate Attribute,2
2011,Change Variable Type,14
2011,Extract Method,9
2011,Add Thrown Exception Type,5
2011,Add Variable Modifier,3
2011,Add Parameter,12
2011,Rename Variable,12
2011,Change Return Type,4
2011,Add Attribute Modifier,1
2011,Remove Thrown Exception Type,1
2011,Rename Attribute,2
2011,Change Attribute Type,121
2011,Rename Parameter,5
2012,Add Method Annotation,3
2012,Change Parameter Type,4
2012,Change Thrown Exception Type,1
2012,Remove Method Annotation,1
2012,Remove Method Modifier,4
2012,Change Variable Type,16
2012,Extract Variable,2
2012,Extract Method,2
2012,Add Class Annotation,2
2012,Change Attribute Access Modifier,2
2012,Add Parameter,7
2012,Rename Variable,4
2012,Add Attribute Modifier,5
2012,Change Return Type,6
2012,Rename Attribute,3
2012,Change Attribute Type,3
2012,Rename Parameter,2
2013,Add Method Annotation,11
2013,Change Parameter Type,25
2013,Rename Class,1
2013,Move Class,2
2013,Move And Rename Class,4
2013,Remove Parameter,1
2013,Extract Variable,5
2013,Inline Variable,2
2013,Add Class Annotation,1
2013,Rename Method,1
2013,Change Attribute Access Modifier,6
2013,Change Method Access Modifier,8
2013,Replace Variable With Attribute,1
2013,Extract And Move Method,4
2013,Add Class Modifier,1
2013,Add Method Modifier,6
2013,Encapsulate Attribute,1
2013,Change Variable Type,55
2013,Extract Method,1
2013,Parameterize Attribute,1
2013,Push Down Method,1
2013,Add Parameter,1
2013,Rename Variable,3
2013,Change Return Type,11
2013,Rename Attribute,2
2013,Change Class Access Modifier,3
2013,Change Attribute Type,35
2013,Rename Parameter,3
2014,Add Method Annotation,174
2014,Change Parameter Type,5
2014,Move Source Folder,1
2014,Rename Class,1
2014,Move Class,3
2014,Remove Parameter,5
2014,Extract Variable,7
2014,Inline Variable,5
2014,Rename Method,1
2014,Change Attribute Access Modifier,1
2014,Change Method Access Modifier,20
2014,Parameterize Variable,1
2014,Remove Attribute Modifier,3
2014,Add Variable Annotation,9
2014,Extract And Move Method,1
2014,Rename Package,1
2014,Remove Method Annotation,2
2014,Encapsulate Attribute,1
2014,Remove Method Modifier,2
2014,Change Variable Type,21
2014,Extract Method,7
2014,Pull Up Method,1
2014,Add Parameter,3
2014,Rename Variable,15
2014,Change Return Type,3
2014,Change Attribute Type,8
2014,Rename Parameter,1
2015,Add Method Annotation,22
2015,Modify Method Annotation,2
2015,Change Parameter Type,31
2015,Remove Class Modifier,4
2015,Move Source Folder,1
2015,Pull Up Attribute,2
2015,Move Class,5
2015,Remove Parameter,4
2015,Merge Variable,3
2015,Change Thrown Exception Type,1
2015,Extract Variable,30
2015,Inline Variable,4
2015,Rename Method,9
2015,Change Attribute Access Modifier,6
2015,Change Method Access Modifier,6
2015,Replace Variable With Attribute,1
2015,Modify Class Annotation,1
2015,Add Variable Annotation,1
2015,Move Method,2
2015,Add Method Modifier,2
2015,Remove Method Annotation,3
2015,Encapsulate Attribute,5
2015,Remove Method Modifier,2
2015,Change Variable Type,9
2015,Extract Method,15
2015,Add Thrown Exception Type,7
2015,Add Parameter,36
2015,Rename Variable,13
2015,Change Return Type,21
2015,Remove Thrown Exception Type,1
2015,Add Attribute Annotation,2
2015,Rename Attribute,2
2015,Change Class Access Modifier,5
2015,Change Attribute Type,8
2015,Rename Parameter,14
2016,Add Method Annotation,6
2016,Change Parameter Type,3
2016,Extract Attribute,4
2016,Move Attribute,1
2016,Rename Class,1
2016,Replace Attribute With Variable,5
2016,Remove Parameter,8
2016,Change Thrown Exception Type,3
2016,Extract Variable,5
2016,Inline Variable,7
2016,Rename Method,4
2016,Change Attribute Access Modifier,2
2016,Change Method Access Modifier,2
2016,Replace Variable With Attribute,3
2016,Parameterize Variable,1
2016,Add Variable Annotation,12
2016,Remove Method Annotation,3
2016,Change Variable Type,13
2016,Extract Method,11
2016,Add Thrown Exception Type,6
2016,Add Variable Modifier,1
2016,Add Parameter,25
2016,Rename Variable,15
2016,Change Return Type,1
2016,Add Attribute Modifier,1
2016,Add Attribute Annotation,1
2016,Rename Attribute,5
2016,Change Attribute Type,3
2016,Rename Parameter,4
2017,Add Method Annotation,4
2017,Move And Rename Method,2
2017,Change Parameter Type,17
2017,Pull Up Attribute,4
2017,Remove Variable Modifier,8
2017,Move Class,8
2017,Remove Parameter,7
2017,Extract Variable,24
2017,Inline Variable,15
2017,Rename Method,4
2017,Change Attribute Access Modifier,95
2017,Change Method Access Modifier,7
2017,Replace Variable With Attribute,1
2017,Parameterize Variable,1
2017,Extract And Move Method,3
2017,Replace Anonymous With Lambda,8
2017,Rename Package,1
2017,Remove Method Annotation,2
2017,Encapsulate Attribute,2
2017,Change Variable Type,39
2017,Extract Method,8
2017,Add Parameter,8
2017,Rename Variable,11
2017,Change Return Type,9
2017,Add Attribute Modifier,11
2017,Remove Thrown Exception Type,2
2017,Extract Superclass,2
2017,Rename Attribute,7
2017,Change Class Access Modifier,1
2017,Change Attribute Type,7
2017,Rename Parameter,6
2018,Add Method Annotation,122
2018,Merge Attribute,1
2018,Localize Parameter,20
2018,Move And Rename Method,8
2018,Remove Parameter Modifier,6
2018,Move Source Folder,2
2018,Pull Up Attribute,2
2018,Move Attribute,113
2018,Move Class,16
2018,Move And Rename Class,1
2018,Extract Variable,49
2018,Inline Variable,9
2018,Rename Method,29
2018,Change Method Access Modifier,10
2018,Replace Variable With Attribute,5
2018,Extract And Move Method,1
2018,Remove Method Annotation,13
2018,Merge Parameter,5
2018,Remove Method Modifier,3
2018,Encapsulate Attribute,3
2018,Change Variable Type,123
2018,Add Thrown Exception Type,140
2018,Parameterize Attribute,3
2018,Add Variable Modifier,2
2018,Add Parameter,77
2018,Rename Variable,26
2018,Inline Method,1
2018,Add Attribute Modifier,4
2018,Add Attribute Annotation,20
2018,Rename Attribute,23
2018,Extract Superclass,1
2018,Move Package,1
2018,Change Parameter Type,87
2018,Remove Variable Modifier,3
2018,Extract Attribute,1
2018,Rename Class,1
2018,Change Thrown Exception Type,2
2018,Remove Parameter,103
2018,Change Attribute Access Modifier,7
2018,Parameterize Variable,3
2018,Remove Attribute Modifier,41
2018,Add Variable Annotation,44
2018,Move Method,42
2018,Add Method Modifier,7
2018,Extract Class,20
2018,Extract Method,17
2018,Pull Up Method,1
2018,Change Return Type,23
2018,Remove Thrown Exception Type,10
2018,Change Attribute Type,21
2018,Rename Parameter,51
2019,Add Method Annotation,7
2019,Remove Class Modifier,1
2019,Change Parameter Type,9
2019,Remove Variable Modifier,1
2019,Replace Attribute With Variable,1
2019,Change Thrown Exception Type,1
2019,Merge Variable,1
2019,Remove Method Annotation,1
2019,Extract Variable,13
2019,Change Variable Type,16
2019,Extract Method,23
2019,Inline Variable,3
2019,Change Attribute Access Modifier,3
2019,Add Parameter,2
2019,Rename Variable,12
2019,Change Return Type,13
2019,Parameterize Variable,3
2019,Add Attribute Annotation,2
2019,Remove Attribute Modifier,18
2019,Change Attribute Type,20
2020,Add Method Annotation,107
2020,Change Parameter Type,1
2020,Rename Package,2
2020,Pull Up Attribute,32
2020,Extract Attribute,1
