time,refact,number
2011,Add Method Annotation,222
2011,Localize Parameter,4
2011,Move And Rename Method,10
2011,Collapse Hierarchy,1
2011,Move Source Folder,2
2011,Pull Up Attribute,8
2011,Move Attribute,25
2011,Move And Rename Class,5
2011,Replace Attribute With Variable,2
2011,Move Class,4
2011,Extract Variable,40
2011,Inline Variable,6
2011,Rename Method,60
2011,Reorder Parameter,1
2011,Change Method Access Modifier,40
2011,Replace Variable With Attribute,2
2011,Extract And Move Method,7
2011,Add Parameter Modifier,23
2011,Remove Method Annotation,19
2011,Encapsulate Attribute,10
2011,Remove Method Modifier,12
2011,Change Variable Type,83
2011,Add Thrown Exception Type,23
2011,Parameterize Attribute,2
2011,Push Down Method,1
2011,Add Variable Modifier,8
2011,Add Parameter,78
2011,Rename Variable,91
2011,Inline Method,1
2011,Add Attribute Modifier,30
2011,Add Attribute Annotation,73
2011,Rename Attribute,48
2011,Extract Superclass,6
2011,Change Class Access Modifier,1
2011,Change Type Declaration Kind,1
2011,Modify Method Annotation,2
2011,Move Package,2
2011,Change Parameter Type,25
2011,Remove Class Modifier,2
2011,Extract Attribute,7
2011,Remove Variable Modifier,6
2011,Rename Class,15
2011,Remove Parameter,11
2011,Change Thrown Exception Type,16
2011,Add Class Annotation,12
2011,Change Attribute Access Modifier,17
2011,Parameterize Variable,3
2011,Remove Attribute Modifier,13
2011,Modify Class Annotation,26
2011,Add Class Modifier,4
2011,Modify Attribute Annotation,3
2011,Move Method,17
2011,Add Method Modifier,12
2011,Extract Class,3
2011,Extract Method,33
2011,Pull Up Method,25
2011,Change Return Type,35
2011,Remove Attribute Annotation,6
2011,Remove Thrown Exception Type,3
2011,Change Attribute Type,12
2011,Rename Parameter,19
2012,Add Method Annotation,22
2012,Localize Parameter,1
2012,Modify Method Annotation,1
2012,Move And Rename Method,6
2012,Change Parameter Type,13
2012,Move Source Folder,1
2012,Pull Up Attribute,5
2012,Extract Attribute,3
2012,Rename Class,5
2012,Move Attribute,3
2012,Remove Parameter,36
2012,Change Thrown Exception Type,8
2012,Extract Variable,52
2012,Inline Variable,12
2012,Rename Method,41
2012,Change Attribute Access Modifier,10
2012,Change Method Access Modifier,67
2012,Parameterize Variable,16
2012,Remove Attribute Modifier,1
2012,Modify Class Annotation,9
2012,Extract And Move Method,11
2012,Move And Inline Method,3
2012,Move Method,10
2012,Add Method Modifier,5
2012,Add Parameter Modifier,4
2012,Remove Method Annotation,6
2012,Merge Parameter,1
2012,Encapsulate Attribute,3
2012,Remove Method Modifier,1
2012,Change Variable Type,67
2012,Add Thrown Exception Type,17
2012,Extract Method,49
2012,Pull Up Method,4
2012,Add Variable Modifier,13
2012,Add Parameter,84
2012,Rename Variable,60
2012,Inline Method,6
2012,Change Return Type,25
2012,Add Attribute Modifier,1
2012,Merge Class,1
2012,Remove Thrown Exception Type,19
2012,Add Attribute Annotation,5
2012,Extract Superclass,1
2012,Rename Attribute,3
2012,Change Attribute Type,10
2012,Rename Parameter,24
2013,Add Method Annotation,105
2013,Localize Parameter,5
2013,Move And Rename Method,17
2013,Extract Subclass,1
2013,Move Source Folder,12
2013,Move Attribute,194
2013,Move Class,7
2013,Move And Rename Class,2
2013,Replace Attribute With Variable,2
2013,Extract Variable,56
2013,Inline Variable,10
2013,Split Attribute,1
2013,Rename Method,77
2013,Reorder Parameter,1
2013,Change Method Access Modifier,63
2013,Replace Variable With Attribute,2
2013,Extract And Move Method,11
2013,Add Parameter Modifier,3
2013,Push Down Attribute,1
2013,Remove Method Annotation,81
2013,Merge Parameter,1
2013,Encapsulate Attribute,65
2013,Remove Method Modifier,4
2013,Change Variable Type,122
2013,Add Thrown Exception Type,30
2013,Parameterize Attribute,2
2013,Push Down Method,3
2013,Add Variable Modifier,3
2013,Add Parameter,105
2013,Rename Variable,107
2013,Inline Method,12
2013,Add Attribute Modifier,5
2013,Add Attribute Annotation,97
2013,Rename Attribute,34
2013,Extract Superclass,5
2013,Change Class Access Modifier,7
2013,Change Type Declaration Kind,2
2013,Change Parameter Type,19
2013,Remove Class Modifier,1
2013,Extract Attribute,5
2013,Rename Class,15
2013,Remove Variable Modifier,1
2013,Remove Parameter,62
2013,Change Thrown Exception Type,6
2013,Add Class Annotation,43
2013,Change Attribute Access Modifier,36
2013,Parameterize Variable,21
2013,Remove Attribute Modifier,3
2013,Modify Class Annotation,75
2013,Add Class Modifier,2
2013,Move And Inline Method,4
2013,Modify Attribute Annotation,18
2013,Move Method,77
2013,Add Method Modifier,7
2013,Extract Class,2
2013,Extract Method,57
2013,Pull Up Method,15
2013,Inline Attribute,4
2013,Change Return Type,50
2013,Remove Attribute Annotation,40
2013,Remove Thrown Exception Type,7
2013,Merge Class,1
2013,Extract Interface,2
2013,Remove Variable Annotation,2
2013,Change Attribute Type,90
2013,Remove Class Annotation,2
2013,Rename Parameter,28
2014,Add Method Annotation,15
2014,Localize Parameter,3
2014,Move And Rename Method,4
2014,Move Source Folder,3
2014,Pull Up Attribute,1
2014,Replace Attribute With Variable,1
2014,Move And Rename Class,1
2014,Extract Variable,39
2014,Split Attribute,1
2014,Inline Variable,8
2014,Rename Method,29
2014,Change Method Access Modifier,26
2014,Extract And Move Method,48
2014,Remove Method Annotation,10
2014,Encapsulate Attribute,2
2014,Remove Method Modifier,2
2014,Move And Rename Attribute,1
2014,Change Variable Type,48
2014,Add Thrown Exception Type,21
2014,Parameterize Attribute,2
2014,Add Variable Modifier,8
2014,Add Parameter,58
2014,Rename Variable,28
2014,Inline Method,2
2014,Add Attribute Modifier,6
2014,Add Attribute Annotation,1
2014,Extract Superclass,1
2014,Rename Attribute,17
2014,Change Class Access Modifier,1
2014,Modify Method Annotation,1
2014,Change Parameter Type,22
2014,Remove Class Modifier,1
2014,Rename Class,5
2014,Remove Variable Modifier,2
2014,Remove Parameter,25
2014,Change Thrown Exception Type,1
2014,Add Class Annotation,2
2014,Change Attribute Access Modifier,33
2014,Parameterize Variable,5
2014,Remove Attribute Modifier,6
2014,Modify Class Annotation,36
2014,Split Class,1
2014,Move Method,6
2014,Add Method Modifier,5
2014,Split Parameter,1
2014,Extract Method,61
2014,Pull Up Method,8
2014,Change Return Type,15
2014,Remove Thrown Exception Type,1
2014,Remove Class Annotation,2
2014,Change Attribute Type,7
2014,Remove Variable Annotation,2
2014,Rename Parameter,19
2015,Add Method Annotation,36
2015,Modify Method Annotation,1
2015,Change Parameter Type,7
2015,Move Source Folder,1
2015,Extract Attribute,4
2015,Move Attribute,3
2015,Change Thrown Exception Type,4
2015,Remove Parameter,30
2015,Extract Variable,21
2015,Inline Variable,18
2015,Rename Method,13
2015,Add Class Annotation,1
2015,Change Attribute Access Modifier,16
2015,Change Method Access Modifier,14
2015,Parameterize Variable,12
2015,Replace Variable With Attribute,1
2015,Modify Class Annotation,11
2015,Extract And Move Method,36
2015,Add Variable Annotation,3
2015,Move And Inline Method,1
2015,Move Method,7
2015,Add Method Modifier,7
2015,Remove Method Annotation,8
2015,Merge Parameter,1
2015,Encapsulate Attribute,1
2015,Change Variable Type,32
2015,Split Variable,1
2015,Add Thrown Exception Type,3
2015,Extract Method,79
2015,Pull Up Method,5
2015,Push Down Method,1
2015,Add Variable Modifier,2
2015,Add Parameter,44
2015,Inline Method,3
2015,Rename Variable,20
2015,Add Attribute Modifier,1
2015,Change Return Type,5
2015,Remove Attribute Annotation,1
2015,Merge Class,1
2015,Remove Thrown Exception Type,2
2015,Add Attribute Annotation,7
2015,Rename Attribute,7
2015,Extract Superclass,1
2015,Change Class Access Modifier,2
2015,Change Attribute Type,1
2015,Remove Variable Annotation,1
2015,Rename Parameter,14
2016,Add Method Annotation,5
2016,Localize Parameter,3
2016,Move And Rename Method,2
2016,Change Parameter Type,4
2016,Remove Class Modifier,11
2016,Pull Up Attribute,5
2016,Extract Attribute,6
2016,Move Attribute,1
2016,Move Class,1
2016,Replace Attribute With Variable,1
2016,Change Thrown Exception Type,1
2016,Remove Parameter,7
2016,Extract Variable,9
2016,Inline Variable,2
2016,Rename Method,10
2016,Reorder Parameter,2
2016,Change Attribute Access Modifier,6
2016,Change Method Access Modifier,17
2016,Replace Variable With Attribute,3
2016,Parameterize Variable,9
2016,Remove Attribute Modifier,594
2016,Modify Class Annotation,1
2016,Extract And Move Method,5
2016,Add Variable Annotation,1
2016,Move And Inline Method,5
2016,Move Method,8
2016,Add Method Modifier,3
2016,Add Parameter Modifier,4
2016,Extract Class,1
2016,Remove Method Annotation,2
2016,Merge Parameter,2
2016,Encapsulate Attribute,3
2016,Change Variable Type,20
2016,Extract Method,41
2016,Add Thrown Exception Type,3
2016,Push Down Method,1
2016,Add Variable Modifier,2
2016,Add Parameter,24
2016,Rename Variable,20
2016,Inline Method,1
2016,Change Return Type,8
2016,Remove Thrown Exception Type,1
2016,Rename Attribute,5
2016,Extract Superclass,1
2016,Change Class Access Modifier,13
2016,Change Attribute Type,6
2016,Rename Parameter,5
2017,Add Method Annotation,26
2017,Localize Parameter,3
2017,Move And Rename Method,6
2017,Remove Parameter Modifier,6
2017,Move Source Folder,4
2017,Move Attribute,43
2017,Move Class,5
2017,Move And Rename Class,2
2017,Replace Attribute With Variable,12
2017,Extract Variable,19
2017,Inline Variable,6
2017,Rename Method,44
2017,Reorder Parameter,1
2017,Change Method Access Modifier,61
2017,Remove Parameter Annotation,2
2017,Replace Variable With Attribute,21
2017,Extract And Move Method,5
2017,Add Parameter Modifier,141
2017,Remove Method Annotation,33
2017,Merge Parameter,1
2017,Remove Method Modifier,8
2017,Encapsulate Attribute,3
2017,Change Variable Type,160
2017,Add Thrown Exception Type,17
2017,Push Down Method,1
2017,Add Variable Modifier,246
2017,Add Parameter,59
2017,Rename Variable,87
2017,Inline Method,21
2017,Add Attribute Modifier,14
2017,Add Attribute Annotation,10
2017,Rename Attribute,17
2017,Extract Superclass,1
2017,Change Class Access Modifier,5
2017,Change Type Declaration Kind,1
2017,Modify Method Annotation,1
2017,Add Parameter Annotation,2
2017,Change Parameter Type,28
2017,Remove Class Modifier,1
2017,Extract Attribute,16
2017,Remove Variable Modifier,17
2017,Rename Class,3
2017,Change Thrown Exception Type,11
2017,Remove Parameter,36
2017,Add Class Annotation,3
2017,Change Attribute Access Modifier,37
2017,Parameterize Variable,11
2017,Remove Attribute Modifier,9
2017,Modify Class Annotation,4
2017,Add Variable Annotation,5
2017,Add Class Modifier,2
2017,Move Method,23
2017,Add Method Modifier,12
2017,Extract Class,8
2017,Extract Method,133
2017,Pull Up Method,34
2017,Change Return Type,47
2017,Remove Attribute Annotation,3
2017,Remove Thrown Exception Type,1
2017,Change Attribute Type,13
2017,Remove Variable Annotation,1
2017,Remove Class Annotation,1
2017,Rename Parameter,26
2018,Add Method Annotation,18
2018,Localize Parameter,1
2018,Move And Rename Method,2
2018,Remove Parameter Modifier,2
2018,Pull Up Attribute,7
2018,Move Attribute,7
2018,Move Class,4
2018,Move And Rename Class,2
2018,Extract Variable,26
2018,Inline Variable,5
2018,Rename Method,15
2018,Reorder Parameter,2
2018,Change Method Access Modifier,37
2018,Replace Variable With Attribute,4
2018,Extract And Move Method,15
2018,Add Parameter Modifier,38
2018,Push Down Attribute,2
2018,Remove Method Annotation,5
2018,Encapsulate Attribute,2
2018,Change Variable Type,31
2018,Add Thrown Exception Type,15
2018,Add Variable Modifier,92
2018,Add Parameter,23
2018,Rename Variable,23
2018,Inline Method,2
2018,Add Attribute Modifier,20
2018,Add Attribute Annotation,7
2018,Rename Attribute,7
2018,Extract Superclass,2
2018,Change Class Access Modifier,2
2018,Change Parameter Type,5
2018,Remove Class Modifier,5
2018,Extract Attribute,2
2018,Rename Class,1
2018,Remove Variable Modifier,3
2018,Remove Parameter,9
2018,Change Thrown Exception Type,16
2018,Add Class Annotation,5
2018,Change Attribute Access Modifier,28
2018,Parameterize Variable,3
2018,Remove Attribute Modifier,5
2018,Modify Class Annotation,11
2018,Add Class Modifier,1
2018,Move Method,21
2018,Add Method Modifier,5
2018,Extract Class,4
2018,Extract Method,107
2018,Pull Up Method,23
2018,Change Return Type,8
2018,Remove Thrown Exception Type,6
2018,Change Attribute Type,3
2018,Rename Parameter,3
2019,Add Method Annotation,122
2019,Modify Method Annotation,1
2019,Move And Rename Method,2
2019,Change Parameter Type,12
2019,Remove Variable Modifier,10
2019,Extract Attribute,8
2019,Extract Variable,2
2019,Inline Variable,3
2019,Add Class Annotation,1
2019,Rename Method,27
2019,Change Attribute Access Modifier,3
2019,Change Method Access Modifier,10
2019,Parameterize Variable,28
2019,Modify Class Annotation,1
2019,Add Class Modifier,1
2019,Replace Anonymous With Lambda,2
2019,Move Method,1
2019,Remove Method Annotation,1
2019,Remove Method Modifier,1
2019,Change Variable Type,69
2019,Extract Method,92
2019,Add Thrown Exception Type,13
2019,Add Variable Modifier,13
2019,Add Parameter,2
2019,Rename Variable,29
2019,Change Return Type,1
2019,Remove Thrown Exception Type,29
2019,Add Attribute Annotation,1
2019,Change Type Declaration Kind,1
2019,Change Attribute Type,3
2019,Rename Parameter,5
2020,Rename Method,5
2020,Add Method Annotation,1
2020,Remove Parameter Modifier,2
2020,Change Attribute Access Modifier,2
2020,Add Parameter,2
2020,Rename Variable,3
2020,Change Method Access Modifier,3
2020,Remove Variable Modifier,2
2020,Rename Attribute,1
2020,Remove Attribute Modifier,1
2020,Extract Method,2
2020,Rename Parameter,4
2021,Change Parameter Type,1
2021,Remove Attribute Modifier,1
2021,Change Attribute Type,2
2022,Add Class Annotation,6
2022,Pull Up Method,1
2022,Rename Variable,4
2022,Change Method Access Modifier,1
2022,Remove Thrown Exception Type,1
2022,Parameterize Variable,1
2022,Remove Method Annotation,1
2022,Change Variable Type,3
2022,Extract Method,2
2022,Modify Class Annotation,2
2022,Remove Class Annotation,1
2023,Add Method Annotation,5
2023,Replace Anonymous With Lambda,1
2023,Change Variable Type,1
