time,refact,number
2010,Change Method Access Modifier,1
2010,Move Source Folder,1
2010,Extract Attribute,1
2011,Add Method Annotation,141
2011,Merge Attribute,1
2011,Localize Parameter,1
2011,Move And Rename Method,11
2011,Pull Up Attribute,4
2011,Move Attribute,4
2011,Move And Rename Class,8
2011,Move Class,19
2011,Replace Attribute With Variable,2
2011,Extract Variable,22
2011,Inline Variable,9
2011,Rename Method,8
2011,Change Method Access Modifier,23
2011,Extract And Move Method,5
2011,Remove Method Annotation,9
2011,Remove Method Modifier,6
2011,Change Variable Type,163
2011,Add Thrown Exception Type,1
2011,Parameterize Attribute,1
2011,Push Down Method,1
2011,Add Parameter,39
2011,Rename Variable,34
2011,Inline Method,14
2011,Add Attribute Modifier,17
2011,Add Attribute Annotation,3
2011,Extract Superclass,8
2011,Rename Attribute,3
2011,Change Class Access Modifier,6
2011,Modify Method Annotation,32
2011,Remove Class Modifier,3
2011,Change Parameter Type,61
2011,Rename Class,10
2011,Extract Attribute,3
2011,Remove Parameter,23
2011,Add Class Annotation,3
2011,Change Attribute Access Modifier,1
2011,Parameterize Variable,5
2011,Remove Attribute Modifier,1
2011,Add Class Modifier,2
2011,Add Variable Annotation,1
2011,Move And Inline Method,7
2011,Move Method,56
2011,Add Method Modifier,4
2011,Extract Class,23
2011,Extract Method,60
2011,Pull Up Method,23
2011,Change Return Type,41
2011,Remove Attribute Annotation,1
2011,Remove Thrown Exception Type,6
2011,Extract Interface,8
2011,Change Attribute Type,20
2011,Rename Parameter,15
2012,Add Method Annotation,2
2012,Merge Attribute,2
2012,Localize Parameter,2
2012,Modify Method Annotation,6
2012,Change Parameter Type,9
2012,Collapse Hierarchy,1
2012,Pull Up Attribute,1
2012,Rename Class,4
2012,Extract Attribute,1
2012,Move Attribute,11
2012,Replace Attribute With Variable,1
2012,Move Class,11
2012,Remove Parameter,16
2012,Merge Variable,1
2012,Extract Variable,12
2012,Inline Variable,1
2012,Rename Method,7
2012,Add Class Annotation,2
2012,Change Attribute Access Modifier,12
2012,Change Method Access Modifier,27
2012,Replace Variable With Attribute,1
2012,Remove Attribute Modifier,1
2012,Extract And Move Method,3
2012,Move Method,3
2012,Extract Class,2
2012,Merge Parameter,1
2012,Remove Method Annotation,1
2012,Encapsulate Attribute,3
2012,Remove Method Modifier,1
2012,Change Variable Type,19
2012,Extract Method,26
2012,Add Thrown Exception Type,6
2012,Pull Up Method,10
2012,Push Down Method,2
2012,Add Parameter,16
2012,Rename Variable,13
2012,Change Return Type,14
2012,Add Attribute Modifier,2
2012,Rename Attribute,4
2012,Extract Superclass,2
2012,Change Type Declaration Kind,4
2012,Change Class Access Modifier,7
2012,Extract Interface,1
2012,Change Attribute Type,6
2012,Rename Parameter,2
2013,Add Method Annotation,5
2013,Localize Parameter,2
2013,Change Parameter Type,40
2013,Rename Class,1
2013,Move Class,108
2013,Remove Parameter,11
2013,Inline Variable,1
2013,Rename Method,4
2013,Change Attribute Access Modifier,5
2013,Change Method Access Modifier,8
2013,Replace Variable With Attribute,1
2013,Parameterize Variable,1
2013,Extract And Move Method,6
2013,Move And Inline Method,1
2013,Move Method,5
2013,Add Method Modifier,1
2013,Remove Method Modifier,4
2013,Encapsulate Attribute,2
2013,Change Variable Type,39
2013,Extract Method,1
2013,Pull Up Method,1
2013,Add Parameter,5
2013,Rename Variable,7
2013,Change Return Type,18
2013,Rename Attribute,3
2013,Extract Superclass,2
2013,Change Class Access Modifier,1
2013,Change Attribute Type,3
2013,Rename Parameter,3
2014,Add Method Annotation,60
2014,Move And Rename Method,5
2014,Change Parameter Type,36
2014,Rename Class,3
2014,Move Attribute,27
2014,Move Class,7
2014,Move And Rename Class,3
2014,Remove Parameter,16
2014,Change Thrown Exception Type,2
2014,Extract Variable,12
2014,Rename Method,29
2014,Reorder Parameter,1
2014,Change Attribute Access Modifier,23
2014,Change Method Access Modifier,7
2014,Parameterize Variable,2
2014,Remove Attribute Modifier,8
2014,Add Class Modifier,1
2014,Move And Inline Method,2
2014,Move Method,14
2014,Add Method Modifier,2
2014,Add Parameter Modifier,14
2014,Extract Class,2
2014,Remove Method Annotation,14
2014,Encapsulate Attribute,3
2014,Remove Method Modifier,1
2014,Change Variable Type,86
2014,Extract Method,12
2014,Add Thrown Exception Type,13
2014,Replace Attribute,1
2014,Add Parameter,27
2014,Rename Variable,15
2014,Inline Method,7
2014,Change Return Type,17
2014,Add Attribute Modifier,3
2014,Merge Class,1
2014,Remove Thrown Exception Type,4
2014,Rename Attribute,8
2014,Extract Superclass,1
2014,Change Class Access Modifier,7
2014,Change Attribute Type,8
2014,Rename Parameter,5
2015,Add Method Annotation,3
2015,Add Parameter,4
2015,Change Parameter Type,2
2015,Rename Variable,1
2015,Change Method Access Modifier,4
2015,Rename Class,2
2015,Change Variable Type,1
2015,Inline Variable,1
2015,Change Attribute Type,1
2015,Rename Parameter,1
2016,Add Method Annotation,5
2016,Modify Method Annotation,2
2016,Remove Class Modifier,5
2016,Change Parameter Type,5
2016,Collapse Hierarchy,1
2016,Move Source Folder,1
2016,Pull Up Attribute,1
2016,Replace Attribute With Variable,1
2016,Remove Parameter,9
2016,Merge Variable,2
2016,Extract Variable,6
2016,Inline Variable,7
2016,Add Class Annotation,4
2016,Change Attribute Access Modifier,16
2016,Change Method Access Modifier,8
2016,Remove Attribute Modifier,5
2016,Extract And Move Method,3
2016,Add Variable Annotation,3
2016,Replace Anonymous With Lambda,10
2016,Move And Inline Method,3
2016,Add Parameter Modifier,6
2016,Remove Method Annotation,4
2016,Merge Parameter,2
2016,Remove Method Modifier,23
2016,Encapsulate Attribute,1
2016,Change Variable Type,52
2016,Extract Method,2
2016,Add Thrown Exception Type,3
2016,Pull Up Method,3
2016,Add Variable Modifier,6
2016,Add Parameter,8
2016,Rename Variable,12
2016,Change Return Type,7
2016,Add Attribute Modifier,6
2016,Remove Thrown Exception Type,48
2016,Rename Attribute,1
2016,Change Type Declaration Kind,1
2016,Change Attribute Type,9
2016,Remove Class Annotation,1
2016,Rename Parameter,4
2017,Add Method Annotation,154
2017,Localize Parameter,5
2017,Move And Rename Method,2
2017,Extract Subclass,1
2017,Collapse Hierarchy,1
2017,Pull Up Attribute,9
2017,Move Attribute,12
2017,Move Class,29
2017,Move And Rename Class,2
2017,Extract Variable,12
2017,Inline Variable,10
2017,Split Attribute,1
2017,Rename Method,29
2017,Change Method Access Modifier,138
2017,Replace Variable With Attribute,4
2017,Extract And Move Method,15
2017,Replace Anonymous With Lambda,13
2017,Push Down Attribute,3
2017,Remove Method Annotation,35
2017,Remove Method Modifier,21
2017,Encapsulate Attribute,1
2017,Move And Rename Attribute,2
2017,Change Variable Type,78
2017,Replace Loop With Pipeline,1
2017,Add Thrown Exception Type,5
2017,Push Down Method,2
2017,Add Variable Modifier,18
2017,Add Parameter,4
2017,Rename Variable,43
2017,Inline Method,4
2017,Add Attribute Modifier,34
2017,Add Attribute Annotation,2
2017,Extract Superclass,3
2017,Rename Attribute,9
2017,Change Class Access Modifier,40
2017,Change Type Declaration Kind,1
2017,Modify Method Annotation,9
2017,Remove Class Modifier,25
2017,Change Parameter Type,50
2017,Rename Class,7
2017,Extract Attribute,1
2017,Remove Variable Modifier,1
2017,Remove Parameter,11
2017,Change Thrown Exception Type,26
2017,Merge Variable,1
2017,Add Class Annotation,35
2017,Change Attribute Access Modifier,46
2017,Parameterize Variable,2
2017,Remove Attribute Modifier,14
2017,Add Class Modifier,8
2017,Move Method,6
2017,Add Method Modifier,2
2017,Extract Class,3
2017,Split Parameter,1
2017,Extract Method,29
2017,Pull Up Method,98
2017,Change Return Type,15
2017,Remove Thrown Exception Type,30
2017,Extract Interface,1
2017,Remove Class Annotation,1
2017,Change Attribute Type,13
2017,Remove Variable Annotation,1
2017,Rename Parameter,9
2018,Add Method Annotation,5
2018,Change Parameter Type,2
2018,Encapsulate Attribute,1
2018,Change Variable Type,17
2018,Inline Variable,1
2018,Rename Method,3
2018,Add Class Annotation,1
2018,Pull Up Method,8
2018,Change Attribute Access Modifier,1
2018,Rename Variable,1
2018,Change Return Type,3
2018,Remove Thrown Exception Type,6
2018,Rename Attribute,1
2018,Extract Superclass,1
2018,Change Attribute Type,3
2018,Extract And Move Method,4
2018,Rename Parameter,2
2020,Change Attribute Access Modifier,1
2020,Rename Variable,2
2020,Remove Thrown Exception Type,2
2020,Change Variable Type,3
2020,Replace Loop With Pipeline,1
2020,Extract Method,1
2021,Change Variable Type,2
2022,Add Method Annotation,449
2022,Modify Method Annotation,57
2022,Move And Rename Method,3
2022,Change Parameter Type,55
2022,Remove Class Modifier,2
2022,Pull Up Attribute,4
2022,Extract Attribute,3
2022,Rename Class,3
2022,Remove Variable Modifier,2
2022,Move Attribute,15
2022,Change Thrown Exception Type,9
2022,Remove Parameter,4
2022,Extract Variable,4
2022,Inline Variable,8
2022,Rename Method,29
2022,Add Class Annotation,38
2022,Change Attribute Access Modifier,13
2022,Change Method Access Modifier,941
2022,Parameterize Variable,1
2022,Add Class Modifier,11
2022,Add Variable Annotation,1
2022,Move Method,5
2022,Add Parameter Modifier,2
2022,Remove Method Annotation,69
2022,Remove Method Modifier,9
2022,Encapsulate Attribute,1
2022,Change Variable Type,56
2022,Add Thrown Exception Type,2
2022,Extract Method,2
2022,Pull Up Method,8
2022,Add Variable Modifier,6
2022,Add Parameter,7
2022,Rename Variable,6
2022,Add Attribute Modifier,262
2022,Change Return Type,21
2022,Remove Attribute Annotation,2
2022,Remove Thrown Exception Type,176
2022,Add Attribute Annotation,2
2022,Rename Attribute,15
2022,Extract Superclass,8
2022,Extract Interface,2
2022,Change Class Access Modifier,3
2022,Change Attribute Type,9
2022,Remove Class Annotation,1
2022,Rename Parameter,35
2023,Add Method Annotation,248
2023,Modify Method Annotation,5
2023,Change Parameter Type,14
2023,Pull Up Attribute,25
2023,Remove Variable Modifier,1
2023,Move Attribute,9
2023,Rename Class,1
2023,Move Class,1
2023,Change Thrown Exception Type,7
2023,Remove Parameter,1
2023,Extract Variable,10
2023,Inline Variable,7
2023,Rename Method,6
2023,Add Class Annotation,63
2023,Change Attribute Access Modifier,12
2023,Change Method Access Modifier,20
2023,Replace Variable With Attribute,3
2023,Remove Attribute Modifier,9
2023,Add Class Modifier,11
2023,Replace Anonymous With Lambda,2
2023,Move And Inline Method,15
2023,Move Method,9
2023,Extract Class,1
2023,Add Parameter Modifier,2
2023,Remove Method Annotation,5
2023,Encapsulate Attribute,1
2023,Remove Method Modifier,2
2023,Move And Rename Attribute,4
2023,Change Variable Type,36
2023,Extract Method,4
2023,Add Thrown Exception Type,4
2023,Pull Up Method,10
2023,Add Variable Modifier,37
2023,Inline Attribute,1
2023,Add Parameter,4
2023,Rename Variable,23
2023,Inline Method,11
2023,Change Return Type,7
2023,Add Attribute Modifier,99
2023,Remove Attribute Annotation,3
2023,Remove Thrown Exception Type,5
2023,Extract Superclass,5
2023,Rename Attribute,8
2023,Change Class Access Modifier,19
2023,Change Attribute Type,5
2023,Remove Class Annotation,1
2023,Rename Parameter,12
2024,Change Attribute Access Modifier,1
2024,Inline Method,1
2024,Add Attribute Modifier,1
2024,Extract Variable,1
2024,Change Variable Type,2
