time,refact,number
2014,Add Method Annotation,57
2014,Localize Parameter,2
2014,Move And Rename Method,6
2014,Extract Subclass,1
2014,Move Source Folder,1
2014,Pull Up Attribute,4
2014,Move Attribute,19
2014,Move Class,332
2014,Move And Rename Class,40
2014,Replace Attribute With Variable,9
2014,Extract Variable,31
2014,Inline Variable,7
2014,Rename Method,53
2014,Change Method Access Modifier,15
2014,Extract And Move Method,3
2014,Push Down Attribute,18
2014,Add Parameter Modifier,3
2014,Remove Method Annotation,17
2014,Merge Parameter,1
2014,Encapsulate Attribute,6
2014,Remove Method Modifier,1
2014,Change Variable Type,66
2014,Add Thrown Exception Type,1
2014,Push Down Method,30
2014,Add Variable Modifier,2
2014,Add Parameter,24
2014,Rename Variable,20
2014,Inline Method,2
2014,Merge Package,1
2014,Add Attribute Annotation,48
2014,Rename Attribute,58
2014,Extract Superclass,3
2014,Modify Method Annotation,12
2014,Move Package,4
2014,Change Parameter Type,64
2014,Rename Class,25
2014,Extract Attribute,10
2014,Remove Parameter,14
2014,Change Thrown Exception Type,3
2014,Merge Variable,1
2014,Add Class Annotation,6
2014,Change Attribute Access Modifier,25
2014,Parameterize Variable,5
2014,Modify Class Annotation,2
2014,Add Variable Annotation,1
2014,Add Class Modifier,2
2014,Modify Attribute Annotation,18
2014,Move Method,18
2014,Add Method Modifier,7
2014,Extract Class,1
2014,Extract Method,18
2014,Pull Up Method,36
2014,Inline Attribute,1
2014,Change Return Type,29
2014,Remove Attribute Annotation,1
2014,Merge Class,1
2014,Change Attribute Type,90
2014,Remove Class Annotation,5
2014,Rename Parameter,116
2015,Add Method Annotation,191
2015,Merge Attribute,1
2015,Localize Parameter,8
2015,Move And Rename Method,35
2015,Remove Parameter Modifier,1
2015,Extract Subclass,3
2015,Move Source Folder,8
2015,Pull Up Attribute,53
2015,Move Attribute,60
2015,Replace Attribute With Variable,16
2015,Move Class,43
2015,Move And Rename Class,9
2015,Extract Variable,124
2015,Inline Variable,40
2015,Rename Method,385
2015,Modify Parameter Annotation,25
2015,Reorder Parameter,4
2015,Change Method Access Modifier,65
2015,Remove Parameter Annotation,5
2015,Replace Variable With Attribute,13
2015,Extract And Move Method,25
2015,Rename Package,2
2015,Add Parameter Modifier,11
2015,Push Down Attribute,3
2015,Merge Parameter,3
2015,Remove Method Annotation,49
2015,Encapsulate Attribute,27
2015,Remove Method Modifier,12
2015,Move And Rename Attribute,2
2015,Change Variable Type,420
2015,Add Thrown Exception Type,38
2015,Parameterize Attribute,6
2015,Push Down Method,96
2015,Add Variable Modifier,48
2015,Add Parameter,308
2015,Rename Variable,267
2015,Inline Method,16
2015,Add Attribute Modifier,52
2015,Add Attribute Annotation,11
2015,Rename Attribute,112
2015,Extract Superclass,10
2015,Change Class Access Modifier,6
2015,Change Type Declaration Kind,1
2015,Modify Method Annotation,68
2015,Move Package,3
2015,Add Parameter Annotation,4
2015,Change Parameter Type,197
2015,Remove Class Modifier,8
2015,Remove Variable Modifier,2
2015,Extract Attribute,7
2015,Rename Class,33
2015,Merge Variable,1
2015,Remove Parameter,178
2015,Change Thrown Exception Type,1
2015,Add Class Annotation,78
2015,Change Attribute Access Modifier,96
2015,Parameterize Variable,22
2015,Remove Attribute Modifier,18
2015,Modify Class Annotation,26
2015,Add Class Modifier,6
2015,Add Variable Annotation,3
2015,Move And Inline Method,19
2015,Modify Attribute Annotation,42
2015,Move Method,88
2015,Add Method Modifier,17
2015,Extract Class,12
2015,Split Parameter,1
2015,Extract Method,127
2015,Pull Up Method,87
2015,Inline Attribute,1
2015,Change Return Type,242
2015,Remove Attribute Annotation,3
2015,Remove Thrown Exception Type,6
2015,Extract Interface,2
2015,Change Attribute Type,87
2015,Remove Variable Annotation,4
2015,Remove Class Annotation,9
2015,Rename Parameter,242
2016,Add Method Annotation,46
2016,Localize Parameter,10
2016,Move And Rename Method,7
2016,Remove Parameter Modifier,1
2016,Move Source Folder,4
2016,Pull Up Attribute,27
2016,Move Attribute,19
2016,Replace Attribute With Variable,1
2016,Move Class,2
2016,Move And Rename Class,3
2016,Extract Variable,35
2016,Inline Variable,8
2016,Split Attribute,1
2016,Rename Method,81
2016,Reorder Parameter,1
2016,Change Method Access Modifier,35
2016,Replace Variable With Attribute,16
2016,Extract And Move Method,15
2016,Rename Package,2
2016,Add Parameter Modifier,45
2016,Merge Parameter,1
2016,Remove Method Annotation,29
2016,Encapsulate Attribute,14
2016,Remove Method Modifier,33
2016,Change Variable Type,196
2016,Add Thrown Exception Type,42
2016,Parameterize Attribute,1
2016,Add Variable Modifier,21
2016,Add Parameter,203
2016,Rename Variable,88
2016,Inline Method,8
2016,Add Attribute Modifier,19
2016,Rename Attribute,27
2016,Extract Superclass,3
2016,Change Class Access Modifier,13
2016,Modify Method Annotation,9
2016,Change Parameter Type,87
2016,Remove Class Modifier,4
2016,Rename Class,7
2016,Extract Attribute,3
2016,Remove Variable Modifier,1
2016,Remove Parameter,79
2016,Change Thrown Exception Type,3
2016,Merge Variable,1
2016,Add Class Annotation,6
2016,Change Attribute Access Modifier,57
2016,Parameterize Variable,10
2016,Remove Attribute Modifier,618
2016,Add Class Modifier,9
2016,Move And Inline Method,4
2016,Modify Attribute Annotation,2
2016,Move Method,16
2016,Add Method Modifier,14
2016,Extract Class,3
2016,Split Parameter,1
2016,Extract Method,44
2016,Pull Up Method,46
2016,Change Return Type,43
2016,Remove Thrown Exception Type,4
2016,Extract Interface,2
2016,Change Attribute Type,20
2016,Rename Parameter,46
2017,Merge Attribute,1
2017,Localize Parameter,2
2017,Move And Rename Method,5
2017,Pull Up Attribute,8
2017,Move Attribute,12
2017,Move Class,7
2017,Move And Rename Class,1
