time,refact,number
2003,Change Parameter Type,25
2003,Remove Class Modifier,1
2003,Move Method,2
2003,Extract Class,1
2003,Move Attribute,1
2003,Move Class,2
2003,Change Thrown Exception Type,1
2003,Remove Parameter,5
2003,Change Variable Type,87
2003,Add Thrown Exception Type,3
2003,Extract Method,1
2003,Rename Method,3
2003,Push Down Method,1
2003,Add Parameter,9
2003,Rename Variable,3
2003,Change Method Access Modifier,3
2003,Inline Method,3
2003,Change Return Type,23
2003,Replace Variable With Attribute,1
2003,Rename Attribute,3
2003,Change Class Access Modifier,1
2003,Change Attribute Type,11
2003,Extract And Move Method,1
2003,Rename Parameter,3
2004,Change Parameter Type,3
2004,Move Method,4
2004,Add Method Modifier,1
2004,Extract Class,1
2004,Change Variable Type,6
2004,Extract Variable,2
2004,Extract Method,7
2004,Inline Variable,1
2004,Rename Method,1
2004,Add Parameter,3
2004,Inline Method,5
2004,Rename Variable,7
2004,Change Method Access Modifier,1
2004,Extract And Move Method,1
2005,Change Parameter Type,31
2005,Remove Class Modifier,1
2005,Pull Up Attribute,13
2005,Move Attribute,2
2005,Rename Class,2
2005,Remove Variable Modifier,2
2005,Move Class,3
2005,Replace Attribute With Variable,1
2005,Move And Rename Class,1
2005,Remove Parameter,11
2005,Extract Variable,22
2005,Inline Variable,19
2005,Split Attribute,3
2005,Rename Method,39
2005,Change Attribute Access Modifier,47
2005,Change Method Access Modifier,34
2005,Replace Variable With Attribute,3
2005,Parameterize Variable,10
2005,Add Class Modifier,3
2005,Extract And Move Method,9
2005,Move And Inline Method,1
2005,Move Method,9
2005,Add Method Modifier,1
2005,Push Down Attribute,1
2005,Add Parameter Modifier,10
2005,Merge Parameter,3
2005,Encapsulate Attribute,7
2005,Remove Method Modifier,1
2005,Change Variable Type,59
2005,Extract Method,20
2005,Add Thrown Exception Type,3
2005,Parameterize Attribute,1
2005,Push Down Method,1
2005,Pull Up Method,24
2005,Add Variable Modifier,18
2005,Add Parameter,37
2005,Rename Variable,41
2005,Inline Method,2
2005,Change Return Type,36
2005,Add Attribute Modifier,4
2005,Remove Thrown Exception Type,7
2005,Rename Attribute,12
2005,Extract Superclass,2
2005,Change Class Access Modifier,3
2005,Extract Interface,1
2005,Change Attribute Type,24
2005,Rename Parameter,30
2006,Localize Parameter,4
2006,Change Parameter Type,15
2006,Extract Attribute,1
2006,Move Attribute,1
2006,Rename Class,1
2006,Move Class,5
2006,Remove Parameter,2
2006,Change Thrown Exception Type,2
2006,Extract Variable,26
2006,Inline Variable,1
2006,Rename Method,9
2006,Change Attribute Access Modifier,20
2006,Change Method Access Modifier,17
2006,Replace Variable With Attribute,3
2006,Extract And Move Method,2
2006,Add Class Modifier,3
2006,Move Method,16
2006,Add Method Modifier,3
2006,Add Parameter Modifier,1
2006,Encapsulate Attribute,3
2006,Remove Method Modifier,1
2006,Change Variable Type,26
2006,Extract Method,8
2006,Add Thrown Exception Type,3
2006,Pull Up Method,6
2006,Add Variable Modifier,4
2006,Add Parameter,20
2006,Rename Variable,13
2006,Inline Method,6
2006,Change Return Type,23
2006,Rename Attribute,38
2006,Extract Superclass,3
2006,Change Class Access Modifier,2
2006,Change Attribute Type,25
2006,Rename Parameter,11
2007,Change Parameter Type,5
2007,Move Source Folder,3
2007,Pull Up Attribute,1
2007,Extract Attribute,3
2007,Remove Variable Modifier,5
2007,Move Attribute,3
2007,Replace Attribute With Variable,9
2007,Move And Rename Class,5
2007,Remove Parameter,10
2007,Extract Variable,41
2007,Inline Variable,10
