time,refact,number
2014,Add Method Annotation,59
2014,Merge Attribute,1
2014,Move And Rename Method,14
2014,Remove Parameter Modifier,2
2014,Move Source Folder,3
2014,Move Attribute,28
2014,Move Class,146
2014,Replace Attribute With Variable,1
2014,Move And Rename Class,6
2014,Extract Variable,27
2014,Inline Variable,8
2014,Rename Method,179
2014,Modify Parameter Annotation,10
2014,Split Package,1
2014,Reorder Parameter,1
2014,Change Method Access Modifier,12
2014,Remove Parameter Annotation,5
2014,Replace Variable With Attribute,2
2014,Extract And Move Method,5
2014,Rename Package,3
2014,Add Parameter Modifier,12
2014,Push Down Attribute,2
2014,Remove Method Annotation,51
2014,Merge Parameter,3
2014,Encapsulate Attribute,47
2014,Change Variable Type,154
2014,Push Down Method,10
2014,Add Variable Modifier,2
2014,Add Parameter,198
2014,Rename Variable,157
2014,Add Attribute Annotation,3
2014,Rename Attribute,71
2014,Extract Superclass,1
2014,Change Class Access Modifier,9
2014,Change Type Declaration Kind,5
2014,Modify Method Annotation,48
2014,Add Parameter Annotation,19
2014,Move Package,1
2014,Change Parameter Type,126
2014,Remove Class Modifier,2
2014,Rename Class,25
2014,Extract Attribute,3
2014,Remove Variable Modifier,4
2014,Remove Parameter,53
2014,Merge Variable,1
2014,Add Class Annotation,37
2014,Change Attribute Access Modifier,42
2014,Parameterize Variable,6
2014,Remove Attribute Modifier,1
2014,Modify Class Annotation,4
2014,Add Class Modifier,1
2014,Move And Inline Method,3
2014,Move Method,88
2014,Add Method Modifier,7
2014,Extract Class,8
2014,Extract Method,31
2014,Pull Up Method,4
2014,Change Return Type,185
2014,Remove Attribute Annotation,29
2014,Merge Class,1
2014,Remove Thrown Exception Type,3
2014,Extract Interface,4
2014,Change Attribute Type,48
2014,Remove Class Annotation,52
2014,Rename Parameter,166
2015,Add Method Annotation,54
2015,Localize Parameter,2
2015,Move And Rename Method,8
2015,Remove Parameter Modifier,5
2015,Move Source Folder,6
2015,Pull Up Attribute,5
2015,Move Attribute,4
2015,Move Class,202
2015,Extract Variable,36
2015,Inline Variable,19
2015,Rename Method,43
2015,Modify Parameter Annotation,2
2015,Change Method Access Modifier,17
2015,Remove Parameter Annotation,7
2015,Replace Variable With Attribute,3
2015,Extract And Move Method,3
2015,Rename Package,1
2015,Remove Method Annotation,14
2015,Merge Parameter,2
2015,Encapsulate Attribute,10
2015,Remove Method Modifier,4
2015,Change Variable Type,76
2015,Add Thrown Exception Type,1
2015,Add Variable Modifier,3
2015,Add Parameter,63
2015,Rename Variable,51
2015,Inline Method,2
2015,Add Attribute Modifier,4
2015,Merge Package,1
2015,Rename Attribute,12
2015,Extract Superclass,1
2015,Modify Method Annotation,40
2015,Move Package,4
2015,Add Parameter Annotation,3
2015,Change Parameter Type,77
2015,Rename Class,5
2015,Extract Attribute,2
2015,Remove Variable Modifier,1
2015,Remove Parameter,92
2015,Merge Variable,2
2015,Add Class Annotation,18
2015,Change Attribute Access Modifier,75
2015,Parameterize Variable,7
2015,Remove Attribute Modifier,3
2015,Modify Class Annotation,3
2015,Add Class Modifier,2
2015,Add Variable Annotation,11
2015,Move And Inline Method,5
2015,Move Method,39
2015,Add Method Modifier,1
2015,Extract Class,3
2015,Extract Method,33
2015,Pull Up Method,14
2015,Change Return Type,115
2015,Remove Attribute Annotation,10
2015,Remove Thrown Exception Type,2
2015,Extract Interface,1
2015,Remove Class Annotation,12
2015,Change Attribute Type,24
2015,Rename Parameter,69
2016,Modify Method Annotation,3
2016,Localize Parameter,2
2016,Change Parameter Type,5
2016,Rename Class,7
2016,Extract Attribute,4
2016,Remove Variable Modifier,1
2016,Replace Attribute With Variable,2
2016,Remove Parameter,2
2016,Extract Variable,17
2016,Inline Variable,3
2016,Rename Method,33
2016,Change Method Access Modifier,1
2016,Remove Parameter Annotation,1
2016,Replace Variable With Attribute,5
2016,Parameterize Variable,1
2016,Modify Class Annotation,2
2016,Extract And Move Method,2
2016,Remove Method Annotation,1
2016,Change Variable Type,26
2016,Extract Method,11
2016,Add Variable Modifier,2
2016,Add Parameter,10
2016,Rename Variable,14
2016,Inline Method,2
2016,Change Return Type,32
2016,Rename Attribute,4
2016,Change Attribute Type,3
2016,Rename Parameter,3
2017,Add Method Annotation,37
2017,Localize Parameter,4
2017,Move And Rename Method,9
2017,Pull Up Attribute,33
2017,Move Attribute,14
2017,Move Class,7
2017,Move And Rename Class,2
2017,Replace Attribute With Variable,2
2017,Extract Variable,11
2017,Inline Variable,5
2017,Rename Method,46
2017,Modify Parameter Annotation,6
2017,Change Method Access Modifier,10
2017,Extract And Move Method,11
2017,Remove Method Annotation,13
2017,Encapsulate Attribute,5
2017,Change Variable Type,33
2017,Add Thrown Exception Type,25
2017,Parameterize Attribute,1
2017,Add Variable Modifier,1
2017,Add Parameter,44
2017,Rename Variable,52
2017,Inline Method,5
2017,Add Attribute Annotation,4
2017,Rename Attribute,22
2017,Extract Superclass,7
2017,Change Class Access Modifier,4
2017,Modify Method Annotation,6
2017,Move Package,1
2017,Add Parameter Annotation,4
2017,Change Parameter Type,25
2017,Remove Class Modifier,4
2017,Extract Attribute,38
2017,Rename Class,13
2017,Remove Parameter,17
2017,Add Class Annotation,2
2017,Change Attribute Access Modifier,25
2017,Parameterize Variable,8
2017,Remove Attribute Modifier,2
2017,Modify Class Annotation,15
2017,Add Class Modifier,1
2017,Move And Inline Method,4
2017,Move Method,16
2017,Add Method Modifier,2
2017,Extract Class,1
2017,Extract Method,17
2017,Pull Up Method,43
2017,Change Return Type,19
2017,Remove Attribute Annotation,2
2017,Remove Thrown Exception Type,2
2017,Extract Interface,1
2017,Change Attribute Type,21
2017,Rename Parameter,39
2018,Merge Attribute,2
2018,Add Method Annotation,11
2018,Modify Method Annotation,1
2018,Localize Parameter,3
2018,Move And Rename Method,8
2018,Remove Parameter Modifier,3
2018,Change Parameter Type,14
2018,Pull Up Attribute,3
2018,Rename Class,16
2018,Extract Attribute,22
2018,Move Attribute,5
2018,Remove Parameter,7
2018,Extract Variable,20
2018,Inline Variable,5
2018,Add Class Annotation,16
2018,Rename Method,31
2018,Reorder Parameter,1
2018,Change Attribute Access Modifier,24
2018,Change Method Access Modifier,19
2018,Replace Variable With Attribute,2
2018,Remove Attribute Modifier,1
2018,Modify Class Annotation,10
2018,Extract And Move Method,6
2018,Modify Attribute Annotation,11
2018,Move Method,2
2018,Extract Class,1
2018,Remove Method Annotation,10
2018,Encapsulate Attribute,1
2018,Change Variable Type,18
2018,Extract Method,19
2018,Add Thrown Exception Type,3
2018,Parameterize Attribute,1
2018,Pull Up Method,4
2018,Add Variable Modifier,1
2018,Add Parameter,19
2018,Rename Variable,31
2018,Inline Method,3
2018,Change Return Type,11
2018,Add Attribute Modifier,2
2018,Remove Thrown Exception Type,3
