time,refact,number
2014,Add Method Annotation,18
2014,Modify Method Annotation,1
2014,Add Parameter Annotation,1
2014,Change Parameter Type,2
2014,Move Method,2
2014,Remove Variable Modifier,1
2014,Remove Method Annotation,4
2014,Change Variable Type,1
2014,Extract Variable,1
2014,Extract Method,3
2014,Pull Up Method,1
2014,Push Down Method,13
2014,Reorder Parameter,1
2014,Add Parameter,2
2014,Change Return Type,16
2014,Remove Variable Annotation,2
2014,Add Class Modifier,2
2014,Rename Parameter,1
2015,Add Method Annotation,2
2015,Change Parameter Type,7
2015,Add Method Modifier,2
2015,Remove Method Annotation,1
2015,Change Variable Type,1
2015,Extract Variable,1
2015,Extract Method,1
2015,Rename Method,2
2015,Add Variable Modifier,3
2015,Add Parameter,16
2015,Change Method Access Modifier,1
2015,Inline Method,2
2015,Rename Variable,1
2015,Rename Attribute,2
2015,Rename Parameter,4
2016,Add Method Annotation,2
2016,Localize Parameter,1
2016,Move Method,12
2016,Add Method Modifier,12
2016,Remove Method Annotation,4
2016,Extract Variable,3
2016,Change Variable Type,1
2016,Extract Method,2
2016,Inline Variable,1
2016,Add Thrown Exception Type,4
2016,Rename Method,2
2016,Add Parameter,4
2016,Change Method Access Modifier,14
2016,Inline Method,1
2016,Change Return Type,1
2016,Remove Thrown Exception Type,6
2017,Add Method Annotation,259
2017,Localize Parameter,7
2017,Move And Rename Method,24
2017,Move Source Folder,9
2017,Pull Up Attribute,18
2017,Move Attribute,14
2017,Move Class,260
2017,Move And Rename Class,3
2017,Replace Attribute With Variable,1
2017,Extract Variable,32
2017,Inline Variable,11
2017,Rename Method,76
2017,Modify Parameter Annotation,5
2017,Reorder Parameter,2
2017,Remove Parameter Annotation,16
2017,Change Method Access Modifier,83
2017,Replace Variable With Attribute,5
2017,Extract And Move Method,15
2017,Replace Anonymous With Lambda,12
2017,Rename Package,1
2017,Add Parameter Modifier,2
2017,Merge Parameter,13
2017,Remove Method Annotation,59
2017,Encapsulate Attribute,6
2017,Remove Method Modifier,12
2017,Move And Rename Attribute,7
2017,Change Variable Type,206
2017,Replace Loop With Pipeline,11
2017,Add Thrown Exception Type,30
2017,Push Down Method,2
2017,Add Variable Modifier,20
2017,Add Parameter,112
2017,Inline Method,37
2017,Rename Variable,58
2017,Add Attribute Modifier,15
2017,Add Attribute Annotation,43
2017,Extract Superclass,8
2017,Rename Attribute,70
2017,Change Class Access Modifier,4
2017,Modify Method Annotation,22
2017,Add Parameter Annotation,19
2017,Move Package,2
2017,Change Parameter Type,199
2017,Remove Class Modifier,3
2017,Remove Variable Modifier,2
2017,Rename Class,21
2017,Extract Attribute,1
2017,Change Thrown Exception Type,19
2017,Remove Parameter,34
2017,Add Class Annotation,51
2017,Change Attribute Access Modifier,56
2017,Parameterize Variable,3
2017,Remove Attribute Modifier,10
2017,Modify Class Annotation,3
2017,Add Class Modifier,9
2017,Add Variable Annotation,4
2017,Move And Inline Method,3
2017,Modify Attribute Annotation,8
2017,Move Method,75
2017,Add Method Modifier,9
2017,Extract Class,4
2017,Extract Method,83
2017,Pull Up Method,39
2017,Change Return Type,204
2017,Remove Attribute Annotation,25
2017,Remove Thrown Exception Type,13
2017,Extract Interface,3
2017,Change Attribute Type,37
2017,Remove Class Annotation,10
2017,Rename Parameter,77
2018,Add Method Annotation,49
2018,Move And Rename Method,2
2018,Pull Up Attribute,4
2018,Move Class,25
2018,Extract Variable,13
2018,Inline Variable,5
2018,Rename Method,60
2018,Change Method Access Modifier,24
2018,Replace Variable With Attribute,4
2018,Extract And Move Method,5
2018,Rename Package,1
2018,Remove Method Annotation,10
2018,Merge Parameter,3
2018,Encapsulate Attribute,2
2018,Remove Method Modifier,16
