time,refact,number
2004,Localize Parameter,3
2004,Remove Parameter Modifier,4
2004,Change Parameter Type,12
2004,Move Attribute,24
2004,Extract Attribute,5
2004,Replace Attribute With Variable,4
2004,Move And Rename Class,2
2004,Move Class,3
2004,Remove Parameter,7
2004,Change Thrown Exception Type,50
2004,Extract Variable,6
2004,Inline Variable,2
2004,Rename Method,19
2004,Reorder Parameter,1
2004,Change Attribute Access Modifier,14
2004,Change Method Access Modifier,8
2004,Replace Variable With Attribute,1
2004,Parameterize Variable,3
2004,Remove Attribute Modifier,13
2004,Extract And Move Method,5
2004,Move Method,3
2004,Add Method Modifier,1
2004,Extract Class,2
2004,Encapsulate Attribute,5
2004,Remove Method Modifier,1
2004,Change Variable Type,44
2004,Extract Method,15
2004,Add Thrown Exception Type,11
2004,Parameterize Attribute,3
2004,Add Parameter,65
2004,Rename Variable,19
2004,Inline Method,3
2004,Change Return Type,16
2004,Add Attribute Modifier,4
2004,Remove Thrown Exception Type,2
2004,Rename Attribute,14
2004,Change Type Declaration Kind,1
2004,Change Attribute Type,7
2004,Rename Parameter,16
2005,Localize Parameter,2
2005,Move And Rename Method,12
2005,Extract Subclass,1
2005,Change Parameter Type,9
2005,Move Source Folder,2
2005,Pull Up Attribute,18
2005,Move Attribute,7
2005,Rename Class,2
2005,Replace Attribute With Variable,1
2005,Move Class,113
2005,Change Thrown Exception Type,49
2005,Remove Parameter,9
2005,Extract Variable,8
2005,Inline Variable,2
2005,Rename Method,7
2005,Reorder Parameter,1
2005,Change Attribute Access Modifier,36
2005,Change Method Access Modifier,38
2005,Replace Variable With Attribute,2
2005,Remove Attribute Modifier,1
2005,Extract And Move Method,9
2005,Add Class Modifier,1
2005,Move And Inline Method,3
2005,Move Method,47
2005,Add Method Modifier,4
2005,Extract Class,7
2005,Push Down Attribute,4
2005,Encapsulate Attribute,19
2005,Change Variable Type,23
2005,Add Thrown Exception Type,9
2005,Extract Method,13
2005,Parameterize Attribute,5
2005,Pull Up Method,53
2005,Push Down Method,6
2005,Add Parameter,35
2005,Rename Variable,7
2005,Inline Method,11
2005,Change Return Type,8
2005,Add Attribute Modifier,15
2005,Remove Thrown Exception Type,5
2005,Extract Superclass,7
2005,Rename Attribute,3
2005,Change Class Access Modifier,2
2005,Change Attribute Type,3
2005,Rename Parameter,12
2006,Localize Parameter,1
2006,Change Parameter Type,7
2006,Pull Up Attribute,11
2006,Move Attribute,5
2006,Rename Class,11
2006,Remove Parameter,20
2006,Change Thrown Exception Type,6
2006,Extract Variable,2
2006,Inline Variable,5
2006,Rename Method,14
2006,Change Attribute Access Modifier,25
2006,Change Method Access Modifier,19
2006,Parameterize Variable,2
2006,Extract And Move Method,1
2006,Move And Inline Method,18
2006,Move Method,8
2006,Add Method Modifier,1
2006,Push Down Attribute,1
2006,Encapsulate Attribute,10
2006,Move And Rename Attribute,2
