type of refactory in a commit,the number of commit
0,6870
1,520
2,295
3,166
4,133
5,64
6,68
7,59
8,45
9,33
10,37
11,32
12,28
13,11
14,27
15,17
16,25
17,15
18,18
19,13
20,5
21,11
22,5
23,11
24,11
25,10
26,6
27,10
28,4
29,7
30,5
31,6
32,7
33,12
34,8
35,8
36,2
37,5
38,7
39,1
40,3
41,3
42,4
43,8
44,3
45,1
46,1
47,1
48,1
49,3
50,4
51,3
52,2
53,1
54,2
55,8
56,1
57,2
58,3
59,1
60,1
61,2
64,2
65,1
66,2
69,2
71,2
74,3
75,1
76,1
79,1
80,1
81,1
84,1
87,1
88,2
89,1
90,1
91,3
95,1
96,1
100,1
101,1
108,1
109,1
112,1
114,1
117,1
122,1
124,2
127,2
128,1
131,2
136,2
140,1
141,1
144,1
157,1
159,1
160,1
185,1
191,1
200,1
207,1
250,1
257,1
265,1
268,1
311,1
408,1
476,1
1593,1
