type of refactory in a commit,the number of commit
0,9624
1,703
2,347
3,219
4,187
5,103
6,92
7,81
8,49
9,45
10,43
11,34
12,25
13,26
14,17
15,17
16,24
17,14
18,14
19,11
20,11
21,10
22,7
23,9
24,11
25,8
26,5
27,5
28,13
29,11
30,4
31,4
32,3
33,6
34,3
35,3
36,4
37,3
38,3
40,2
42,2
45,1
46,2
47,1
48,3
49,3
50,1
52,2
54,4
59,2
62,2
63,1
65,1
67,3
68,1
69,3
70,1
73,1
74,1
83,1
84,1
88,1
91,1
92,1
93,1
94,1
95,1
96,1
103,1
106,1
111,1
114,1
129,1
132,1
139,1
141,1
152,1
156,1
187,1
371,1
396,1
666,1
708,1
