time,refact,number
2016,Modify Method Annotation,1
2016,Modify Attribute Annotation,1
2016,Move Method,2
2016,Add Parameter Modifier,6
2016,Change Variable Type,6
2016,Extract Variable,1
2016,Extract Method,12
2016,Rename Parameter,1
2017,Merge Attribute,2
2017,Add Method Annotation,27
2017,Localize Parameter,4
2017,Move And Rename Method,4
2017,Move Source Folder,9
2017,Move Attribute,2
2017,Move Class,8
2017,Move And Rename Class,1
2017,Extract Variable,37
2017,Inline Variable,2
2017,Rename Method,25
2017,Change Method Access Modifier,10
2017,Replace Variable With Attribute,6
2017,Extract And Move Method,7
2017,Replace Anonymous With Lambda,1
2017,Add Parameter Modifier,9
2017,Push Down Attribute,2
2017,Merge Parameter,2
2017,Remove Method Annotation,12
2017,Encapsulate Attribute,4
2017,Change Variable Type,887
2017,Replace Loop With Pipeline,8
2017,Add Thrown Exception Type,33
2017,Parameterize Attribute,1
2017,Push Down Method,17
2017,Add Variable Modifier,1
2017,Add Parameter,28
2017,Rename Variable,21
2017,Inline Method,1
2017,Add Attribute Modifier,4
2017,Add Attribute Annotation,16
2017,Rename Attribute,10
2017,Extract Superclass,1
2017,Modify Method Annotation,1
2017,Change Parameter Type,209
2017,Remove Variable Modifier,1
2017,Extract Attribute,2
2017,Rename Class,2
2017,Remove Parameter,27
2017,Change Thrown Exception Type,10
2017,Merge Variable,1
2017,Add Class Annotation,5
2017,Change Attribute Access Modifier,8
2017,Parameterize Variable,1
2017,Remove Attribute Modifier,4
2017,Modify Class Annotation,4
2017,Move And Inline Method,1
2017,Move Method,6
2017,Add Method Modifier,3
2017,Extract Class,1
2017,Split Parameter,3
2017,Extract Method,23
2017,Pull Up Method,6
2017,Change Return Type,91
2017,Remove Attribute Annotation,10
2017,Remove Thrown Exception Type,10
2017,Extract Interface,2
2017,Remove Class Annotation,6
2017,Change Attribute Type,67
2017,Rename Parameter,24
2018,Add Method Annotation,27
2018,Localize Parameter,1
2018,Move And Rename Method,3
2018,Change Parameter Type,36
2018,Move Source Folder,3
2018,Move Attribute,3
2018,Move Class,7
2018,Replace Attribute With Variable,1
2018,Remove Parameter,7
2018,Change Thrown Exception Type,2
2018,Extract Variable,8
2018,Inline Variable,1
2018,Rename Method,4
2018,Add Class Annotation,4
2018,Change Attribute Access Modifier,4
2018,Change Method Access Modifier,9
2018,Remove Attribute Modifier,1
2018,Modify Class Annotation,2
2018,Add Variable Annotation,4
2018,Extract And Move Method,1
2018,Move And Inline Method,2
2018,Move Method,5
2018,Add Method Modifier,5
2018,Extract Class,2
2018,Push Down Attribute,1
2018,Remove Method Annotation,4
2018,Encapsulate Attribute,1
2018,Change Variable Type,65
2018,Extract Method,10
2018,Add Thrown Exception Type,13
2018,Add Parameter,6
2018,Rename Variable,27
2018,Add Attribute Modifier,2
2018,Change Return Type,12
2018,Remove Thrown Exception Type,15
2018,Add Attribute Annotation,1
2018,Rename Attribute,9
2018,Extract Superclass,1
2018,Change Attribute Type,30
2018,Rename Parameter,9
2019,Add Method Annotation,39
2019,Merge Attribute,1
2019,Localize Parameter,9
2019,Extract Subclass,2
2019,Remove Parameter Modifier,3
2019,Move Source Folder,20
2019,Pull Up Attribute,1
2019,Move Attribute,15
2019,Move Class,64
2019,Move And Rename Class,1
2019,Replace Attribute With Variable,12
2019,Extract Variable,31
2019,Inline Variable,21
2019,Rename Method,70
2019,Reorder Parameter,10
2019,Change Method Access Modifier,21
2019,Remove Parameter Annotation,87
2019,Replace Variable With Attribute,8
2019,Extract And Move Method,6
2019,Rename Package,3
2019,Add Parameter Modifier,15
2019,Push Down Attribute,2
2019,Remove Method Annotation,14
2019,Merge Parameter,9
2019,Encapsulate Attribute,18
2019,Remove Method Modifier,4
2019,Move And Rename Attribute,2
2019,Change Variable Type,319
2019,Add Thrown Exception Type,65
2019,Parameterize Attribute,4
2019,Push Down Method,7
2019,Add Variable Modifier,12
2019,Add Parameter,261
2019,Rename Variable,36
2019,Inline Method,5
2019,Add Attribute Modifier,11
2019,Add Attribute Annotation,7
2019,Extract Superclass,4
2019,Rename Attribute,20
2019,Change Type Declaration Kind,1
2019,Change Class Access Modifier,1
2019,Move Package,1
2019,Add Parameter Annotation,78
2019,Change Parameter Type,282
2019,Rename Class,10
2019,Extract Attribute,9
2019,Remove Variable Modifier,1
2019,Change Thrown Exception Type,4
2019,Remove Parameter,45
2019,Add Class Annotation,6
2019,Change Attribute Access Modifier,19
2019,Parameterize Variable,3
2019,Remove Attribute Modifier,25
2019,Modify Class Annotation,3
2019,Add Class Modifier,1
2019,Move And Inline Method,4
2019,Move Method,22
2019,Add Method Modifier,6
2019,Extract Class,3
2019,Extract Method,48
2019,Replace Attribute,1
