time,refact,number
2011,Add Class Annotation,2
2011,Move And Rename Method,1
2011,Add Parameter,1
2011,Move Method,1
2011,Add Method Modifier,7
2011,Rename Attribute,1
2011,Change Variable Type,1
2011,Change Type Declaration Kind,1
2011,Add Class Modifier,3
2012,Add Method Annotation,118
2012,Merge Attribute,1
2012,Localize Parameter,4
2012,Move And Rename Method,11
2012,Remove Parameter Modifier,1
2012,Move Source Folder,5
2012,Pull Up Attribute,3
2012,Move Attribute,18
2012,Move Class,147
2012,Replace Attribute With Variable,2
2012,Move And Rename Class,11
2012,Extract Variable,27
2012,Inline Variable,7
2012,Rename Method,61
2012,Reorder Parameter,4
2012,Change Method Access Modifier,92
2012,Remove Parameter Annotation,4
2012,Replace Variable With Attribute,1
2012,Extract And Move Method,12
2012,Modify Variable Annotation,1
2012,Rename Package,3
2012,Push Down Attribute,3
2012,Remove Method Annotation,54
2012,Merge Parameter,1
2012,Encapsulate Attribute,18
2012,Remove Method Modifier,7
2012,Change Variable Type,68
2012,Add Thrown Exception Type,1
2012,Add Variable Modifier,6
2012,Add Parameter,49
2012,Rename Variable,75
2012,Inline Method,10
2012,Add Attribute Modifier,9
2012,Merge Package,2
2012,Add Attribute Annotation,7
2012,Rename Attribute,33
2012,Extract Superclass,1
2012,Change Class Access Modifier,23
2012,Change Type Declaration Kind,2
2012,Modify Method Annotation,7
2012,Add Parameter Annotation,7
2012,Move Package,2
2012,Remove Class Modifier,2
2012,Change Parameter Type,91
2012,Rename Class,35
2012,Remove Variable Modifier,2
2012,Extract Attribute,4
2012,Remove Parameter,28
2012,Merge Variable,1
2012,Add Class Annotation,99
2012,Change Attribute Access Modifier,20
2012,Parameterize Variable,4
2012,Remove Attribute Modifier,18
2012,Modify Class Annotation,7
2012,Add Class Modifier,8
2012,Add Variable Annotation,3
2012,Move And Inline Method,1
2012,Modify Attribute Annotation,1
2012,Move Method,54
2012,Add Method Modifier,10
2012,Extract Class,8
2012,Extract Method,45
2012,Pull Up Method,28
2012,Change Return Type,57
2012,Remove Attribute Annotation,11
2012,Remove Thrown Exception Type,7
2012,Extract Interface,2
2012,Change Attribute Type,34
2012,Remove Class Annotation,29
2012,Remove Variable Annotation,1
2012,Rename Parameter,54
2013,Add Method Annotation,9
2013,Merge Attribute,1
2013,Move And Rename Method,1
2013,Remove Parameter Modifier,2
2013,Move Source Folder,1
2013,Pull Up Attribute,4
2013,Move Attribute,3
2013,Move Class,50
2013,Replace Attribute With Variable,3
2013,Move And Rename Class,7
2013,Extract Variable,10
2013,Inline Variable,5
2013,Split Attribute,2
2013,Modify Parameter Annotation,4
2013,Rename Method,15
2013,Change Method Access Modifier,8
2013,Remove Parameter Annotation,8
2013,Extract And Move Method,2
2013,Rename Package,8
2013,Add Parameter Modifier,1
2013,Remove Method Annotation,9
2013,Remove Method Modifier,3
2013,Encapsulate Attribute,6
2013,Change Variable Type,24
2013,Add Thrown Exception Type,14
2013,Push Down Method,8
2013,Add Variable Modifier,22
2013,Add Parameter,27
2013,Rename Variable,14
2013,Inline Method,3
2013,Add Attribute Modifier,14
2013,Add Attribute Annotation,4
2013,Extract Superclass,5
2013,Rename Attribute,7
2013,Change Class Access Modifier,4
2013,Modify Method Annotation,7
2013,Add Parameter Annotation,1
2013,Move Package,3
2013,Change Parameter Type,18
2013,Remove Class Modifier,2
2013,Rename Class,16
2013,Remove Variable Modifier,3
2013,Extract Attribute,1
2013,Remove Parameter,13
2013,Add Class Annotation,77
2013,Change Attribute Access Modifier,2
2013,Parameterize Variable,3
2013,Remove Attribute Modifier,2
2013,Modify Class Annotation,4
2013,Add Class Modifier,10
2013,Add Variable Annotation,1
2013,Modify Attribute Annotation,8
2013,Move Method,4
2013,Add Method Modifier,1
2013,Extract Class,1
2013,Split Parameter,1
2013,Extract Method,15
2013,Pull Up Method,7
2013,Change Return Type,17
2013,Remove Attribute Annotation,5
2013,Remove Thrown Exception Type,5
2013,Change Attribute Type,17
2013,Remove Class Annotation,66
2013,Rename Parameter,7
2014,Add Method Annotation,32
2014,Move And Rename Method,1
2014,Remove Parameter Modifier,2
2014,Pull Up Attribute,1
2014,Move Attribute,11
2014,Move Class,33
2014,Replace Attribute With Variable,1
2014,Move And Rename Class,4
2014,Extract Variable,15
2014,Inline Variable,4
2014,Split Attribute,1
2014,Rename Method,18
2014,Modify Parameter Annotation,7
2014,Change Method Access Modifier,20
2014,Remove Parameter Annotation,7
2014,Replace Variable With Attribute,1
2014,Extract And Move Method,5
2014,Rename Package,2
2014,Add Parameter Modifier,3
2014,Push Down Attribute,1
