time,refact,number
2005,Localize Parameter,1
2005,Remove Class Modifier,1
2005,Change Parameter Type,3
2005,Pull Up Attribute,16
2005,Remove Parameter,2
2005,Encapsulate Attribute,2
2005,Split Parameter,1
2005,Extract Variable,7
2005,Change Variable Type,8
2005,Extract Method,14
2005,Add Thrown Exception Type,4
2005,Inline Variable,1
2005,Parameterize Attribute,2
2005,Rename Method,2
2005,Pull Up Method,28
2005,Add Parameter,20
2005,Rename Variable,7
2005,Change Method Access Modifier,2
2005,Extract Superclass,1
2005,Rename Attribute,1
2005,Rename Parameter,3
2005,Extract And Move Method,1
2006,Localize Parameter,6
2006,Move And Rename Method,2
2006,Remove Parameter Modifier,1
2006,Pull Up Attribute,17
2006,Move Attribute,35
2006,Replace Attribute With Variable,15
2006,Move Class,6
2006,Move And Rename Class,2
2006,Extract Variable,51
2006,Inline Variable,10
2006,Rename Method,31
2006,Reorder Parameter,3
2006,Change Method Access Modifier,66
2006,Replace Variable With Attribute,5
2006,Extract And Move Method,19
2006,Add Parameter Modifier,4
2006,Push Down Attribute,1
2006,Merge Parameter,3
2006,Encapsulate Attribute,11
2006,Remove Method Modifier,7
2006,Change Variable Type,35
2006,Split Variable,1
2006,Add Thrown Exception Type,10
2006,Parameterize Attribute,3
2006,Push Down Method,2
2006,Add Variable Modifier,5
2006,Add Parameter,92
2006,Rename Variable,25
2006,Inline Method,5
2006,Add Attribute Modifier,4
2006,Rename Attribute,11
2006,Extract Superclass,11
2006,Change Class Access Modifier,1
2006,Change Parameter Type,22
2006,Remove Class Modifier,1
2006,Rename Class,8
2006,Remove Variable Modifier,1
2006,Extract Attribute,1
2006,Remove Parameter,22
2006,Change Thrown Exception Type,1
2006,Change Attribute Access Modifier,4
2006,Parameterize Variable,8
2006,Remove Attribute Modifier,4
2006,Move Method,38
2006,Add Method Modifier,9
2006,Extract Class,4
2006,Split Parameter,1
2006,Extract Method,108
2006,Pull Up Method,51
2006,Change Return Type,16
2006,Remove Thrown Exception Type,2
2006,Change Attribute Type,18
2006,Rename Parameter,18
2007,Localize Parameter,22
2007,Remove Parameter Modifier,10
2007,Collapse Hierarchy,2
2007,Move Source Folder,2
2007,Pull Up Attribute,3
2007,Move Attribute,72
2007,Replace Attribute With Variable,3
2007,Move Class,541
2007,Move And Rename Class,4
2007,Extract Variable,64
2007,Inline Variable,8
2007,Split Attribute,3
2007,Rename Method,91
2007,Reorder Parameter,1
2007,Split Package,1
2007,Change Method Access Modifier,37
2007,Replace Variable With Attribute,11
2007,Extract And Move Method,28
2007,Add Parameter Modifier,1
2007,Merge Parameter,19
2007,Encapsulate Attribute,16
2007,Remove Method Modifier,12
2007,Change Variable Type,102
2007,Add Thrown Exception Type,16
2007,Parameterize Attribute,6
2007,Push Down Method,5
2007,Add Variable Modifier,2
2007,Add Parameter,62
2007,Rename Variable,71
2007,Inline Method,12
2007,Add Attribute Modifier,21
2007,Rename Attribute,817
2007,Extract Superclass,5
2007,Change Type Declaration Kind,3
2007,Change Class Access Modifier,7
2007,Move Package,5
2007,Change Parameter Type,106
2007,Rename Class,9
2007,Remove Variable Modifier,1
2007,Extract Attribute,11
2007,Remove Parameter,119
2007,Change Attribute Access Modifier,28
2007,Parameterize Variable,3
2007,Remove Attribute Modifier,11
2007,Add Class Modifier,34
2007,Move And Inline Method,11
2007,Move Method,195
2007,Add Method Modifier,4
2007,Extract Class,18
2007,Split Parameter,1
2007,Extract Method,90
2007,Pull Up Method,18
2007,Change Return Type,31
2007,Remove Thrown Exception Type,13
2007,Extract Interface,10
2007,Change Attribute Type,38
2007,Rename Parameter,114
2008,Localize Parameter,3
2008,Move And Rename Method,3
2008,Remove Parameter Modifier,2
2008,Change Parameter Type,31
2008,Remove Class Modifier,1
2008,Pull Up Attribute,4
2008,Extract Attribute,24
2008,Move Attribute,27
2008,Rename Class,3
2008,Remove Variable Modifier,1
2008,Move Class,2
2008,Remove Parameter,31
2008,Change Thrown Exception Type,1
2008,Extract Variable,30
2008,Split Attribute,1
2008,Inline Variable,3
2008,Rename Method,20
2008,Reorder Parameter,1
2008,Change Attribute Access Modifier,24
2008,Change Method Access Modifier,48
2008,Parameterize Variable,5
2008,Replace Variable With Attribute,6
2008,Remove Attribute Modifier,1
2008,Extract And Move Method,9
2008,Add Class Modifier,21
2008,Move And Inline Method,2
2008,Move Method,16
2008,Add Method Modifier,2
2008,Extract Class,3
2008,Merge Parameter,6
2008,Encapsulate Attribute,28
2008,Change Variable Type,43
2008,Extract Method,87
2008,Add Thrown Exception Type,5
2008,Parameterize Attribute,7
2008,Pull Up Method,4
2008,Add Variable Modifier,1
2008,Add Parameter,46
2008,Rename Variable,28
2008,Inline Method,4
2008,Add Attribute Modifier,12
2008,Change Return Type,27
2008,Remove Thrown Exception Type,4
2008,Rename Attribute,61
2008,Extract Superclass,1
2008,Change Class Access Modifier,1
2008,Change Attribute Type,13
2008,Rename Parameter,26
2009,Change Parameter Type,2
2009,Remove Parameter,1
2009,Change Thrown Exception Type,1
2009,Extract Variable,13
2009,Extract Method,6
2009,Rename Method,1
2009,Pull Up Method,1
2009,Inline Attribute,1
2009,Add Parameter,13
2009,Inline Method,2
2009,Change Method Access Modifier,1
2009,Remove Thrown Exception Type,1
2009,Parameterize Variable,1
2009,Rename Parameter,3
2010,Localize Parameter,2
2010,Move Package,1
2010,Extract Subclass,1
2010,Remove Parameter Modifier,3
2010,Change Parameter Type,41
2010,Remove Variable Modifier,10
2010,Move Attribute,3
2010,Move Class,5
2010,Move And Rename Class,2
2010,Replace Attribute With Variable,1
2010,Remove Parameter,9
2010,Change Thrown Exception Type,1
2010,Extract Variable,14
2010,Rename Method,7
2010,Change Attribute Access Modifier,1
2010,Change Method Access Modifier,12
2010,Parameterize Variable,3
2010,Replace Variable With Attribute,1
2010,Add Class Modifier,4
2010,Extract And Move Method,1
2010,Move Method,4
2010,Add Method Modifier,1
2010,Push Down Attribute,2
2010,Extract Class,1
2010,Remove Method Annotation,118
2010,Merge Parameter,1
2010,Encapsulate Attribute,1
2010,Change Variable Type,79
2010,Extract Method,9
2010,Add Thrown Exception Type,1
2010,Push Down Method,1
2010,Add Variable Modifier,1
2010,Add Parameter,14
2010,Inline Method,2
2010,Rename Variable,6
2010,Change Return Type,35
2010,Add Attribute Modifier,4
2010,Rename Attribute,13
2010,Change Type Declaration Kind,2
2010,Change Attribute Type,41
2010,Remove Variable Annotation,1
2010,Rename Parameter,5
2011,Change Parameter Type,20
2011,Pull Up Attribute,1
2011,Extract Attribute,5
2011,Move Attribute,7
2011,Rename Class,2
2011,Move Class,1
2011,Remove Parameter,10
2011,Merge Variable,1
2011,Extract Variable,9
2011,Inline Variable,3
2011,Rename Method,6
2011,Change Method Access Modifier,2
2011,Parameterize Variable,3
2011,Extract And Move Method,4
2011,Move And Inline Method,3
2011,Move Method,1
2011,Add Parameter Modifier,8
2011,Encapsulate Attribute,1
2011,Move And Rename Attribute,28
2011,Change Variable Type,27
2011,Add Thrown Exception Type,5
2011,Extract Method,6
2011,Pull Up Method,7
2011,Add Variable Modifier,2
2011,Add Parameter,16
2011,Rename Variable,9
2011,Inline Method,2
2011,Change Return Type,6
2011,Rename Attribute,5
2011,Extract Superclass,1
2011,Change Class Access Modifier,9
2011,Change Attribute Type,11
2011,Rename Parameter,12
