time,refact,number
2013,Add Method Annotation,37
2013,Merge Attribute,1
2013,Localize Parameter,2
2013,Move And Rename Method,1
2013,Move Source Folder,2
2013,Move Attribute,10
2013,Move Class,28
2013,Move And Rename Class,3
2013,Extract Variable,25
2013,Inline Variable,9
2013,Rename Method,51
2013,Modify Parameter Annotation,1
2013,Change Method Access Modifier,14
2013,Remove Parameter Annotation,38
2013,Replace Variable With Attribute,1
2013,Extract And Move Method,2
2013,Rename Package,1
2013,Add Parameter Modifier,4
2013,Remove Method Annotation,39
2013,Remove Method Modifier,2
2013,Encapsulate Attribute,6
2013,Change Variable Type,82
2013,Split Variable,1
2013,Add Thrown Exception Type,61
2013,Parameterize Attribute,6
2013,Add Variable Modifier,1
2013,Add Parameter,233
2013,Rename Variable,28
2013,Inline Method,1
2013,Add Attribute Modifier,6
2013,Add Attribute Annotation,10
2013,Extract Superclass,2
2013,Rename Attribute,6
2013,Change Type Declaration Kind,3
2013,Change Class Access Modifier,3
2013,Modify Method Annotation,19
2013,Add Parameter Annotation,39
2013,Change Parameter Type,39
2013,Remove Class Modifier,1
2013,Rename Class,6
2013,Extract Attribute,2
2013,Remove Variable Modifier,1
2013,Change Thrown Exception Type,8
2013,Merge Variable,1
2013,Remove Parameter,30
2013,Add Class Annotation,16
2013,Change Attribute Access Modifier,35
2013,Parameterize Variable,4
2013,Remove Attribute Modifier,17
2013,Modify Class Annotation,7
2013,Add Class Modifier,1
2013,Move And Inline Method,3
2013,Move Method,11
2013,Add Method Modifier,11
2013,Extract Class,3
2013,Extract Method,45
2013,Pull Up Method,3
2013,Change Return Type,65
2013,Remove Thrown Exception Type,8
2013,Change Attribute Type,22
2013,Remove Class Annotation,1
2013,Rename Parameter,24
2014,Add Method Annotation,27
2014,Merge Attribute,1
2014,Localize Parameter,3
2014,Move And Rename Method,2
2014,Extract Subclass,1
2014,Move Source Folder,9
2014,Pull Up Attribute,27
2014,Move Attribute,65
2014,Replace Attribute With Variable,9
2014,Move Class,373
2014,Move And Rename Class,18
2014,Extract Variable,46
2014,Inline Variable,40
2014,Rename Method,170
2014,Modify Parameter Annotation,108
2014,Reorder Parameter,1
2014,Split Package,6
2014,Change Method Access Modifier,48
2014,Remove Parameter Annotation,4
2014,Replace Variable With Attribute,3
2014,Extract And Move Method,12
2014,Add Parameter Modifier,6
2014,Push Down Attribute,2
2014,Remove Method Annotation,25
2014,Encapsulate Attribute,12
2014,Remove Method Modifier,12
2014,Change Variable Type,527
2014,Add Thrown Exception Type,44
2014,Parameterize Attribute,2
2014,Push Down Method,12
2014,Add Variable Modifier,12
2014,Add Parameter,218
2014,Rename Variable,93
2014,Inline Method,21
2014,Add Attribute Modifier,44
2014,Merge Package,4
2014,Add Attribute Annotation,96
2014,Rename Attribute,135
2014,Extract Superclass,8
2014,Change Class Access Modifier,5
2014,Change Type Declaration Kind,3
2014,Modify Method Annotation,205
2014,Add Parameter Annotation,6
2014,Move Package,6
2014,Change Parameter Type,500
2014,Remove Class Modifier,4
2014,Rename Class,85
2014,Extract Attribute,10
2014,Remove Variable Modifier,8
2014,Remove Parameter,49
2014,Merge Variable,3
2014,Change Thrown Exception Type,388
2014,Add Class Annotation,47
2014,Change Attribute Access Modifier,88
2014,Parameterize Variable,8
2014,Remove Attribute Modifier,66
2014,Modify Class Annotation,19
2014,Add Class Modifier,5
2014,Move And Inline Method,8
2014,Move Method,96
2014,Add Method Modifier,27
2014,Extract Class,10
2014,Split Parameter,1
2014,Extract Method,73
2014,Pull Up Method,26
2014,Inline Attribute,1
2014,Change Return Type,200
2014,Remove Attribute Annotation,27
2014,Remove Thrown Exception Type,27
2014,Merge Class,1
2014,Extract Interface,2
2014,Change Attribute Type,104
2014,Remove Class Annotation,1
2014,Rename Parameter,186
2015,Add Method Annotation,34
2015,Merge Attribute,1
2015,Localize Parameter,11
2015,Move And Rename Method,15
2015,Remove Parameter Modifier,2
2015,Move Source Folder,7
2015,Pull Up Attribute,4
2015,Move Attribute,25
2015,Move And Rename Class,8
2015,Move Class,73
2015,Replace Attribute With Variable,3
2015,Extract Variable,90
2015,Inline Variable,19
2015,Split Attribute,2
2015,Modify Parameter Annotation,127
2015,Rename Method,130
2015,Reorder Parameter,6
2015,Split Package,2
2015,Change Method Access Modifier,96
2015,Remove Parameter Annotation,5
2015,Replace Variable With Attribute,8
2015,Extract And Move Method,56
2015,Rename Package,5
2015,Add Parameter Modifier,30
2015,Push Down Attribute,1
2015,Remove Method Annotation,35
2015,Merge Parameter,5
2015,Remove Method Modifier,46
2015,Move And Rename Attribute,2
2015,Encapsulate Attribute,6
2015,Change Variable Type,339
2015,Add Thrown Exception Type,141
2015,Parameterize Attribute,5
2015,Push Down Method,6
2015,Add Variable Modifier,3
2015,Add Parameter,156
2015,Rename Variable,137
2015,Inline Method,7
2015,Add Attribute Modifier,64
2015,Merge Package,6
2015,Add Attribute Annotation,119
2015,Rename Attribute,55
2015,Extract Superclass,5
2015,Change Class Access Modifier,11
2015,Change Type Declaration Kind,5
2015,Modify Method Annotation,117
2015,Add Parameter Annotation,24
2015,Move Package,2
2015,Change Parameter Type,154
2015,Remove Class Modifier,9
2015,Rename Class,13
2015,Remove Variable Modifier,7
2015,Extract Attribute,2
2015,Remove Parameter,60
2015,Change Thrown Exception Type,178
2015,Merge Variable,2
2015,Add Class Annotation,193
2015,Change Attribute Access Modifier,43
2015,Parameterize Variable,21
2015,Remove Attribute Modifier,14
2015,Modify Class Annotation,20
2015,Add Class Modifier,25
2015,Move And Inline Method,3
2015,Move Method,50
2015,Add Method Modifier,20
2015,Extract Class,6
2015,Split Parameter,2
2015,Extract Method,186
2015,Replace Attribute,3
2015,Pull Up Method,12
2015,Remove Attribute Annotation,48
2015,Change Return Type,168
2015,Remove Thrown Exception Type,111
2015,Extract Interface,3
2015,Change Attribute Type,58
2015,Remove Class Annotation,12
2015,Rename Parameter,124
2016,Add Method Annotation,41
2016,Merge Attribute,1
2016,Localize Parameter,6
2016,Pull Up Attribute,9
2016,Move Attribute,6
2016,Move Class,40
2016,Move And Rename Class,3
2016,Replace Attribute With Variable,1
2016,Extract Variable,45
2016,Inline Variable,14
2016,Rename Method,119
2016,Modify Parameter Annotation,16
2016,Change Method Access Modifier,33
2016,Remove Parameter Annotation,25
2016,Replace Variable With Attribute,2
2016,Extract And Move Method,7
2016,Rename Package,2
2016,Add Parameter Modifier,2
2016,Remove Method Annotation,45
2016,Merge Parameter,1
2016,Remove Method Modifier,9
2016,Change Variable Type,207
2016,Add Thrown Exception Type,130
2016,Push Down Method,1
2016,Add Variable Modifier,4
2016,Add Parameter,198
2016,Rename Variable,72
2016,Inline Method,21
2016,Add Attribute Modifier,9
2016,Add Attribute Annotation,25
2016,Rename Attribute,18
2016,Extract Superclass,5
2016,Change Class Access Modifier,5
2016,Change Type Declaration Kind,1
2016,Modify Method Annotation,204
2016,Add Parameter Annotation,21
2016,Move Package,1
2016,Change Parameter Type,97
2016,Remove Class Modifier,4
2016,Extract Attribute,4
2016,Rename Class,13
2016,Remove Variable Modifier,1
2016,Change Thrown Exception Type,81
2016,Remove Parameter,62
2016,Add Class Annotation,50
2016,Change Attribute Access Modifier,34
