time,refact,number
2006,Add Method Annotation,4
2006,Localize Parameter,5
2006,Move And Rename Method,6
2006,Extract Subclass,6
2006,Move Source Folder,4
2006,Pull Up Attribute,2
2006,Move Attribute,16
2006,Replace Attribute With Variable,17
2006,Move And Rename Class,1
2006,Move Class,5
2006,Extract Variable,44
2006,Inline Variable,36
2006,Rename Method,37
2006,Reorder Parameter,79
2006,Change Method Access Modifier,54
2006,Replace Variable With Attribute,9
2006,Extract And Move Method,27
2006,Rename Package,1
2006,Push Down Attribute,14
2006,Merge Parameter,27
2006,Encapsulate Attribute,13
2006,Remove Method Modifier,53
2006,Change Variable Type,64
2006,Add Thrown Exception Type,7
2006,Parameterize Attribute,5
2006,Push Down Method,101
2006,Add Parameter,415
2006,Rename Variable,39
2006,Inline Method,37
2006,Add Attribute Modifier,46
2006,Rename Attribute,23
2006,Extract Superclass,2
2006,Change Class Access Modifier,21
2006,Change Type Declaration Kind,6
2006,Change Parameter Type,556
2006,Extract Attribute,1
2006,Rename Class,2
2006,Remove Parameter,339
2006,Change Thrown Exception Type,1
2006,Add Class Annotation,1
2006,Change Attribute Access Modifier,28
2006,Parameterize Variable,8
2006,Remove Attribute Modifier,14
2006,Modify Class Annotation,1
2006,Add Class Modifier,2
2006,Move And Inline Method,17
2006,Modify Attribute Annotation,1
2006,Move Method,68
2006,Add Method Modifier,8
2006,Extract Class,2
2006,Extract Method,45
2006,Pull Up Method,45
2006,Change Return Type,118
2006,Remove Thrown Exception Type,1
2006,Extract Interface,2
2006,Change Attribute Type,38
2006,Rename Parameter,569
2007,Add Method Annotation,4
2007,Localize Parameter,1
2007,Move And Rename Method,6
2007,Extract Subclass,1
2007,Remove Parameter Modifier,1
2007,Move Source Folder,6
2007,Pull Up Attribute,7
2007,Move Attribute,4
2007,Move Class,5
2007,Replace Attribute With Variable,5
2007,Extract Variable,48
2007,Inline Variable,10
2007,Rename Method,81
2007,Change Method Access Modifier,46
2007,Replace Variable With Attribute,6
2007,Extract And Move Method,14
2007,Rename Package,1
2007,Add Parameter Modifier,1
2007,Push Down Attribute,1
2007,Remove Method Annotation,3
2007,Encapsulate Attribute,16
2007,Remove Method Modifier,3
2007,Change Variable Type,52
2007,Add Thrown Exception Type,8
2007,Parameterize Attribute,9
2007,Push Down Method,20
2007,Add Variable Modifier,2
2007,Add Parameter,69
2007,Rename Variable,17
2007,Inline Method,4
2007,Add Attribute Modifier,44
2007,Rename Attribute,8
2007,Extract Superclass,4
2007,Change Class Access Modifier,16
2007,Change Parameter Type,76
2007,Remove Class Modifier,45
2007,Rename Class,9
2007,Extract Attribute,5
2007,Remove Parameter,33
2007,Change Thrown Exception Type,1
2007,Change Attribute Access Modifier,33
2007,Parameterize Variable,5
2007,Remove Attribute Modifier,17
2007,Modify Class Annotation,4
2007,Modify Attribute Annotation,4
2007,Move Method,26
2007,Add Method Modifier,3
2007,Extract Class,1
2007,Split Parameter,1
2007,Extract Method,56
2007,Pull Up Method,29
2007,Change Return Type,93
2007,Remove Thrown Exception Type,12
2007,Extract Interface,5
2007,Remove Class Annotation,32
2007,Change Attribute Type,22
2007,Rename Parameter,52
2008,Add Method Annotation,24
2008,Localize Parameter,2
2008,Move And Rename Method,4
2008,Move Source Folder,5
2008,Pull Up Attribute,5
2008,Move Attribute,3
2008,Replace Attribute With Variable,7
2008,Move And Rename Class,1
2008,Move Class,4
2008,Extract Variable,81
2008,Inline Variable,6
2008,Rename Method,46
2008,Change Method Access Modifier,26
2008,Replace Variable With Attribute,4
2008,Extract And Move Method,6
2008,Encapsulate Attribute,33
2008,Remove Method Modifier,6
2008,Change Variable Type,104
2008,Add Thrown Exception Type,2
2008,Parameterize Attribute,1
2008,Add Parameter,54
2008,Rename Variable,45
2008,Inline Method,8
2008,Add Attribute Modifier,3
2008,Add Attribute Annotation,11
2008,Rename Attribute,6
2008,Extract Superclass,3
2008,Change Class Access Modifier,19
2008,Change Type Declaration Kind,1
2008,Change Parameter Type,55
2008,Remove Class Modifier,1
2008,Rename Class,4
2008,Remove Variable Modifier,2
2008,Extract Attribute,4
2008,Remove Parameter,7
2008,Add Class Annotation,98
2008,Change Attribute Access Modifier,26
2008,Parameterize Variable,8
2008,Remove Attribute Modifier,4
2008,Modify Class Annotation,9
2008,Move And Inline Method,5
2008,Modify Attribute Annotation,4
2008,Move Method,17
2008,Add Method Modifier,2
2008,Extract Class,1
2008,Extract Method,102
2008,Pull Up Method,8
2008,Change Return Type,194
2008,Remove Attribute Annotation,3
2008,Remove Thrown Exception Type,1
2008,Extract Interface,1
2008,Change Attribute Type,63
2008,Rename Parameter,23
2009,Add Method Annotation,100
2009,Localize Parameter,5
2009,Move And Rename Method,37
2009,Move Source Folder,4
2009,Pull Up Attribute,9
2009,Move Attribute,29
2009,Move Class,76
2009,Move And Rename Class,6
2009,Replace Attribute With Variable,12
2009,Extract Variable,206
2009,Inline Variable,30
2009,Rename Method,201
2009,Reorder Parameter,2
2009,Change Method Access Modifier,149
2009,Replace Variable With Attribute,8
2009,Extract And Move Method,44
2009,Rename Package,2
2009,Add Parameter Modifier,1
2009,Remove Method Annotation,248
2009,Merge Parameter,2
2009,Encapsulate Attribute,90
2009,Remove Method Modifier,46
2009,Move And Rename Attribute,1
2009,Change Variable Type,880
2009,Add Thrown Exception Type,31
2009,Parameterize Attribute,7
2009,Push Down Method,4
2009,Add Variable Modifier,2
2009,Add Parameter,181
2009,Rename Variable,188
2009,Inline Method,32
2009,Add Attribute Modifier,51
2009,Add Attribute Annotation,53
2009,Rename Attribute,30
2009,Extract Superclass,11
2009,Change Class Access Modifier,63
2009,Change Type Declaration Kind,3
2009,Modify Method Annotation,58
2009,Change Parameter Type,638
2009,Remove Class Modifier,5
2009,Extract Attribute,10
2009,Rename Class,29
2009,Remove Variable Modifier,1
2009,Remove Parameter,131
2009,Add Class Annotation,182
2009,Change Attribute Access Modifier,66
2009,Parameterize Variable,14
2009,Remove Attribute Modifier,23
2009,Modify Class Annotation,79
2009,Add Class Modifier,42
2009,Add Variable Annotation,2
2009,Modify Attribute Annotation,44
2009,Move Method,113
2009,Add Method Modifier,28
2009,Extract Class,9
2009,Extract Method,190
2009,Pull Up Method,52
2009,Change Return Type,443
2009,Remove Attribute Annotation,29
2009,Remove Thrown Exception Type,10
2009,Extract Interface,1
2009,Change Attribute Type,451
2009,Remove Class Annotation,91
2009,Rename Parameter,87
