time,refact,number
2016,Add Method Annotation,1
2016,Localize Parameter,5
2016,Move Package,1
2016,Move And Rename Method,2
2016,Remove Parameter Modifier,3
2016,Change Parameter Type,42
2016,Move Source Folder,3
2016,Move Attribute,1
2016,Rename Class,2
2016,Move Class,5
2016,Move And Rename Class,1
2016,Remove Parameter,37
2016,Extract Variable,11
2016,Rename Method,4
2016,Change Attribute Access Modifier,5
2016,Change Method Access Modifier,31
2016,Remove Parameter Annotation,2
2016,Replace Variable With Attribute,2
2016,Parameterize Variable,1
2016,Remove Attribute Modifier,5
2016,Extract And Move Method,3
2016,Add Class Modifier,1
2016,Move And Inline Method,1
2016,Move Method,12
2016,Extract Class,1
2016,Add Parameter Modifier,1
2016,Merge Parameter,8
2016,Remove Method Annotation,4
2016,Encapsulate Attribute,5
2016,Remove Method Modifier,1
2016,Change Variable Type,26
2016,Extract Method,6
2016,Add Thrown Exception Type,3
2016,Pull Up Method,2
2016,Add Variable Modifier,4
2016,Add Parameter,51
2016,Rename Variable,3
2016,Add Attribute Modifier,3
2016,Change Return Type,6
2016,Remove Thrown Exception Type,4
2016,Rename Attribute,5
2016,Extract Superclass,1
2016,Change Class Access Modifier,1
2016,Change Attribute Type,7
2016,Rename Parameter,33
2017,Add Method Annotation,3
2017,Modify Method Annotation,2
2017,Move And Rename Method,2
2017,Extract Subclass,1
2017,Remove Class Modifier,20
2017,Change Parameter Type,28
2017,Move Source Folder,2
2017,Move Attribute,14
2017,Rename Class,2
2017,Move Class,27
2017,Remove Parameter,4
2017,Extract Variable,11
2017,Inline Variable,1
2017,Rename Method,2
2017,Change Attribute Access Modifier,8
2017,Change Method Access Modifier,66
2017,Parameterize Variable,1
2017,Replace Variable With Attribute,2
2017,Remove Attribute Modifier,4
2017,Add Class Modifier,4
2017,Extract And Move Method,2
2017,Move Method,6
2017,Extract Class,2
2017,Push Down Attribute,18
2017,Change Variable Type,11
2017,Add Thrown Exception Type,2
2017,Extract Method,9
2017,Push Down Method,15
2017,Add Variable Modifier,2
2017,Add Parameter,24
2017,Rename Variable,1
2017,Inline Method,2
2017,Add Attribute Modifier,5
2017,Change Return Type,11
2017,Rename Attribute,2
2017,Extract Superclass,1
2017,Change Class Access Modifier,27
2017,Extract Interface,2
2017,Change Type Declaration Kind,1
2017,Change Attribute Type,9
2017,Rename Parameter,2
2018,Merge Attribute,2
2018,Add Method Annotation,8
2018,Localize Parameter,1
2018,Move And Rename Method,3
2018,Remove Parameter Modifier,2
2018,Change Parameter Type,10
2018,Collapse Hierarchy,1
2018,Move Source Folder,2
2018,Pull Up Attribute,3
2018,Rename Class,1
2018,Move Attribute,8
2018,Remove Variable Modifier,3
2018,Move Class,21
2018,Replace Attribute With Variable,2
2018,Remove Parameter,15
2018,Extract Variable,14
2018,Inline Variable,2
2018,Rename Method,8
2018,Add Class Annotation,5
2018,Change Attribute Access Modifier,9
2018,Change Method Access Modifier,15
2018,Parameterize Variable,5
2018,Remove Attribute Modifier,7
2018,Modify Attribute Annotation,2
2018,Move Method,9
2018,Add Method Modifier,4
2018,Extract Class,3
2018,Merge Parameter,1
2018,Remove Method Annotation,3
2018,Remove Method Modifier,5
2018,Change Variable Type,18
2018,Extract Method,22
2018,Add Thrown Exception Type,2
2018,Pull Up Method,6
2018,Add Variable Modifier,6
2018,Add Parameter,28
2018,Rename Variable,9
2018,Change Return Type,3
2018,Remove Attribute Annotation,1
2018,Remove Thrown Exception Type,20
2018,Merge Class,1
2018,Rename Attribute,3
2018,Change Class Access Modifier,6
2018,Extract Interface,1
2018,Change Type Declaration Kind,1
2018,Change Attribute Type,18
2018,Remove Class Annotation,10
2018,Rename Parameter,11
2019,Merge Attribute,2
2019,Add Method Annotation,1
2019,Localize Parameter,6
2019,Move And Rename Method,3
2019,Remove Parameter Modifier,2
2019,Pull Up Attribute,3
2019,Move Attribute,3
2019,Move Class,3
2019,Move And Rename Class,2
2019,Extract Variable,22
2019,Inline Variable,10
2019,Rename Method,27
2019,Change Method Access Modifier,33
2019,Replace Variable With Attribute,4
2019,Extract And Move Method,2
2019,Replace Anonymous With Lambda,1
2019,Merge Parameter,40
2019,Remove Method Annotation,1
2019,Remove Method Modifier,4
2019,Encapsulate Attribute,7
2019,Move And Rename Attribute,7
2019,Change Variable Type,28
2019,Add Thrown Exception Type,19
2019,Add Variable Modifier,2
2019,Add Parameter,87
2019,Rename Variable,28
2019,Inline Method,3
2019,Add Attribute Modifier,5
2019,Rename Attribute,15
2019,Change Class Access Modifier,6
2019,Add Parameter Annotation,3
2019,Remove Class Modifier,8
2019,Change Parameter Type,51
2019,Remove Variable Modifier,4
2019,Extract Attribute,1
2019,Remove Parameter,91
2019,Merge Variable,3
2019,Add Class Annotation,1
2019,Change Attribute Access Modifier,18
2019,Parameterize Variable,2
