time,refact,number
2005,Localize Parameter,8
2005,Move And Rename Method,4
2005,Move Package,1
2005,Change Parameter Type,101
2005,Move Source Folder,2
2005,Pull Up Attribute,1
2005,Remove Variable Modifier,3
2005,Move Attribute,10
2005,Rename Class,6
2005,Move Class,13
2005,Replace Attribute With Variable,9
2005,Change Thrown Exception Type,13
2005,Remove Parameter,27
2005,Merge Variable,1
2005,Extract Variable,54
2005,Inline Variable,9
2005,Rename Method,70
2005,Change Attribute Access Modifier,174
2005,Change Method Access Modifier,16
2005,Parameterize Variable,9
2005,Replace Variable With Attribute,4
2005,Extract And Move Method,5
2005,Move And Inline Method,34
2005,Move Method,19
2005,Rename Package,1
2005,Add Method Modifier,13
2005,Extract Class,4
2005,Push Down Attribute,2
2005,Encapsulate Attribute,3
2005,Remove Method Modifier,3
2005,Change Variable Type,168
2005,Extract Method,13
2005,Add Thrown Exception Type,19
2005,Parameterize Attribute,2
2005,Pull Up Method,3
2005,Push Down Method,6
2005,Add Parameter,105
2005,Rename Variable,141
2005,Inline Method,10
2005,Change Return Type,74
2005,Remove Thrown Exception Type,14
2005,Rename Attribute,33
2005,Extract Interface,1
2005,Change Attribute Type,53
2005,Rename Parameter,50
2006,Merge Attribute,4
2006,Localize Parameter,11
2006,Move And Rename Method,34
2006,Extract Subclass,4
2006,Collapse Hierarchy,1
2006,Move Source Folder,7
2006,Move Attribute,45
2006,Move Class,370
2006,Replace Attribute With Variable,3
2006,Move And Rename Class,10
2006,Extract Variable,85
2006,Inline Variable,59
2006,Split Attribute,5
2006,Rename Method,149
2006,Split Package,6
2006,Reorder Parameter,10
2006,Change Method Access Modifier,74
2006,Replace Variable With Attribute,20
2006,Extract And Move Method,42
2006,Rename Package,2
2006,Push Down Attribute,41
2006,Merge Parameter,13
2006,Encapsulate Attribute,31
2006,Remove Method Modifier,4
2006,Move And Rename Attribute,103
2006,Change Variable Type,163
2006,Add Thrown Exception Type,43
2006,Parameterize Attribute,2
2006,Push Down Method,61
2006,Add Parameter,251
2006,Inline Method,31
2006,Rename Variable,149
2006,Add Attribute Modifier,5
2006,Merge Package,5
2006,Rename Attribute,84
2006,Extract Superclass,2
2006,Change Type Declaration Kind,4
2006,Change Class Access Modifier,20
2006,Move Package,7
2006,Change Parameter Type,106
2006,Remove Class Modifier,1
2006,Rename Class,42
2006,Extract Attribute,8
2006,Remove Parameter,173
2006,Merge Variable,3
2006,Change Thrown Exception Type,144
2006,Change Attribute Access Modifier,159
2006,Parameterize Variable,17
2006,Remove Attribute Modifier,4
2006,Add Class Modifier,6
2006,Split Class,1
2006,Move And Inline Method,50
2006,Move Method,51
2006,Add Method Modifier,4
2006,Extract Class,6
2006,Split Parameter,5
2006,Extract Method,32
2006,Pull Up Method,11
2006,Change Return Type,86
2006,Remove Thrown Exception Type,106
2006,Extract Interface,6
2006,Change Attribute Type,47
2006,Rename Parameter,158
2007,Merge Attribute,3
2007,Add Method Annotation,66
2007,Localize Parameter,13
2007,Move And Rename Method,24
2007,Extract Subclass,4
2007,Move Source Folder,8
2007,Pull Up Attribute,11
2007,Move Attribute,40
2007,Move And Rename Class,12
2007,Move Class,667
2007,Replace Attribute With Variable,7
2007,Extract Variable,40
2007,Inline Variable,23
2007,Rename Method,132
2007,Reorder Parameter,2
2007,Split Package,1
2007,Change Method Access Modifier,77
2007,Replace Variable With Attribute,6
2007,Extract And Move Method,20
2007,Rename Package,5
2007,Push Down Attribute,22
2007,Merge Parameter,4
2007,Encapsulate Attribute,28
2007,Remove Method Modifier,97
2007,Change Variable Type,1456
2007,Add Thrown Exception Type,29
2007,Parameterize Attribute,2
2007,Push Down Method,48
2007,Add Variable Modifier,1
2007,Add Parameter,117
2007,Rename Variable,120
2007,Inline Method,22
2007,Add Attribute Modifier,119
2007,Rename Attribute,42
2007,Extract Superclass,7
2007,Change Class Access Modifier,6
2007,Change Type Declaration Kind,2
2007,Move Package,10
2007,Change Parameter Type,1007
2007,Remove Class Modifier,6
2007,Rename Class,63
2007,Remove Parameter,73
2007,Change Thrown Exception Type,777
2007,Merge Variable,1
2007,Add Class Annotation,35
2007,Change Attribute Access Modifier,86
