time,refact,number
2011,Add Method Annotation,3
2011,Merge Attribute,1
2011,Localize Parameter,1
2011,Move And Rename Method,13
2011,Extract Subclass,1
2011,Change Parameter Type,691
2011,Remove Class Modifier,1
2011,Move Source Folder,2
2011,Pull Up Attribute,1
2011,Rename Class,5
2011,Move Attribute,4
2011,Extract Attribute,1
2011,Move Class,3
2011,Remove Parameter,3
2011,Extract Variable,9
2011,Inline Variable,5
2011,Rename Method,49
2011,Change Attribute Access Modifier,1
2011,Change Method Access Modifier,15
2011,Extract And Move Method,2
2011,Add Class Modifier,14
2011,Move Method,17
2011,Extract Class,1
2011,Add Parameter Modifier,3
2011,Remove Method Annotation,13
2011,Encapsulate Attribute,4
2011,Change Variable Type,431
2011,Extract Method,10
2011,Add Thrown Exception Type,7
2011,Parameterize Attribute,4
2011,Push Down Method,2
2011,Pull Up Method,15
2011,Add Variable Modifier,2
2011,Add Parameter,15
2011,Rename Variable,248
2011,Change Return Type,88
2011,Remove Thrown Exception Type,4
2011,Rename Attribute,7
2011,Extract Superclass,2
2011,Extract Interface,4
2011,Change Attribute Type,362
2011,Rename Parameter,52
2012,Add Method Annotation,20
2012,Merge Attribute,2
2012,Move And Rename Method,8
2012,Extract Subclass,1
2012,Move Source Folder,3
2012,Pull Up Attribute,10
2012,Move Attribute,45
2012,Move Class,32
2012,Move And Rename Class,5
2012,Replace Attribute With Variable,2
2012,Extract Variable,26
2012,Inline Variable,4
2012,Split Attribute,1
2012,Rename Method,39
2012,Reorder Parameter,1
2012,Change Method Access Modifier,11
2012,Replace Variable With Attribute,10
2012,Push Down Attribute,8
2012,Add Parameter Modifier,5
2012,Remove Method Annotation,7
2012,Encapsulate Attribute,10
2012,Remove Method Modifier,1
2012,Change Variable Type,131
2012,Add Thrown Exception Type,5
2012,Parameterize Attribute,1
2012,Push Down Method,53
2012,Add Parameter,80
2012,Rename Variable,110
2012,Inline Method,3
2012,Add Attribute Modifier,2
2012,Rename Attribute,30
2012,Extract Superclass,9
2012,Change Class Access Modifier,3
2012,Change Type Declaration Kind,2
2012,Change Parameter Type,161
2012,Remove Class Modifier,2
2012,Rename Class,22
2012,Remove Parameter,29
2012,Add Class Annotation,3
2012,Change Attribute Access Modifier,13
2012,Parameterize Variable,3
2012,Remove Attribute Modifier,1
2012,Move Method,50
2012,Add Method Modifier,2
2012,Extract Class,11
2012,Split Parameter,1
2012,Extract Method,34
2012,Pull Up Method,54
2012,Change Return Type,119
2012,Remove Thrown Exception Type,1
2012,Merge Class,1
2012,Extract Interface,5
2012,Change Attribute Type,86
2012,Rename Parameter,44
2013,Localize Parameter,1
2013,Move And Rename Method,15
2013,Change Parameter Type,41
2013,Remove Class Modifier,4
2013,Move Source Folder,4
2013,Rename Class,10
2013,Move Attribute,8
2013,Move Class,15
2013,Move And Rename Class,4
2013,Remove Parameter,20
2013,Extract Variable,11
2013,Inline Variable,4
2013,Rename Method,19
2013,Change Attribute Access Modifier,24
2013,Change Method Access Modifier,16
2013,Parameterize Variable,6
2013,Replace Variable With Attribute,1
2013,Remove Attribute Modifier,2
2013,Extract And Move Method,4
2013,Move Method,10
2013,Add Method Modifier,2
2013,Extract Class,2
2013,Add Parameter Modifier,2
2013,Remove Method Annotation,19
2013,Remove Method Modifier,5
2013,Encapsulate Attribute,8
2013,Change Variable Type,51
2013,Split Parameter,2
2013,Add Thrown Exception Type,4
2013,Extract Method,8
2013,Pull Up Method,1
2013,Add Variable Modifier,1
2013,Add Parameter,23
2013,Rename Variable,24
2013,Inline Method,1
2013,Change Return Type,31
2013,Add Attribute Modifier,111
2013,Remove Thrown Exception Type,1
2013,Rename Attribute,9
2013,Change Type Declaration Kind,1
2013,Change Class Access Modifier,6
2013,Change Attribute Type,16
2013,Rename Parameter,23
2014,Add Method Annotation,19
2014,Localize Parameter,4
2014,Move And Rename Method,5
2014,Extract Subclass,1
2014,Pull Up Attribute,21
2014,Move Attribute,9
2014,Move Class,13
2014,Move And Rename Class,1
2014,Replace Attribute With Variable,1
2014,Extract Variable,30
2014,Inline Variable,5
2014,Rename Method,14
2014,Reorder Parameter,1
2014,Change Method Access Modifier,13
2014,Replace Variable With Attribute,1
2014,Extract And Move Method,5
2014,Rename Package,1
2014,Push Down Attribute,1
2014,Merge Parameter,5
2014,Encapsulate Attribute,8
2014,Remove Method Modifier,5
2014,Change Variable Type,345
2014,Add Thrown Exception Type,112
2014,Push Down Method,21
2014,Add Variable Modifier,8
2014,Add Parameter,71
2014,Rename Variable,24
2014,Inline Method,4
2014,Add Attribute Modifier,19
2014,Rename Attribute,21
2014,Extract Superclass,2
2014,Change Class Access Modifier,3
2014,Modify Method Annotation,2
2014,Move Package,1
2014,Change Parameter Type,394
2014,Remove Class Modifier,1
2014,Rename Class,9
2014,Remove Variable Modifier,1
2014,Extract Attribute,1
2014,Remove Parameter,15
2014,Merge Variable,1
2014,Change Thrown Exception Type,5
2014,Add Class Annotation,1
2014,Change Attribute Access Modifier,69
2014,Parameterize Variable,1
2014,Remove Attribute Modifier,26
2014,Add Class Modifier,1
2014,Move Method,16
2014,Add Method Modifier,7
2014,Extract Class,3
2014,Extract Method,18
2014,Pull Up Method,52
2014,Change Return Type,53
2014,Remove Thrown Exception Type,9
2014,Extract Interface,1
2014,Change Attribute Type,263
2014,Rename Parameter,52
2015,Add Method Annotation,115
2015,Merge Attribute,5
2015,Localize Parameter,4
2015,Move And Rename Method,8
2015,Remove Parameter Modifier,2
2015,Move Source Folder,1
2015,Pull Up Attribute,13
2015,Move Attribute,44
2015,Move And Rename Class,14
2015,Move Class,54
2015,Replace Attribute With Variable,6
2015,Extract Variable,39
2015,Inline Variable,14
2015,Rename Method,77
2015,Reorder Parameter,2
2015,Change Method Access Modifier,127
2015,Replace Variable With Attribute,11
2015,Extract And Move Method,13
2015,Rename Package,2
2015,Add Parameter Modifier,3
2015,Push Down Attribute,2
2015,Remove Method Annotation,9
2015,Merge Parameter,4
2015,Encapsulate Attribute,26
2015,Remove Method Modifier,10
2015,Move And Rename Attribute,2
2015,Change Variable Type,155
2015,Add Thrown Exception Type,78
2015,Parameterize Attribute,5
2015,Push Down Method,3
2015,Add Variable Modifier,4
2015,Add Parameter,130
2015,Rename Variable,1730
2015,Inline Method,11
2015,Add Attribute Modifier,88
2015,Add Attribute Annotation,330
2015,Rename Attribute,54
2015,Extract Superclass,7
2015,Change Class Access Modifier,50
2015,Modify Method Annotation,2
2015,Move Package,2
