time,refact,number
2015,Add Method Annotation,9
2015,Move And Rename Method,33
2015,Move Source Folder,6
2015,Move Attribute,37
2015,Move Class,45
2015,Move And Rename Class,7
2015,Extract Variable,2
2015,Rename Method,234
2015,Reorder Parameter,2
2015,Change Method Access Modifier,7
2015,Rename Package,4
2015,Add Parameter Modifier,1
2015,Remove Method Annotation,1
2015,Encapsulate Attribute,5
2015,Remove Method Modifier,1
2015,Change Variable Type,81
2015,Add Thrown Exception Type,6
2015,Add Parameter,23
2015,Rename Variable,67
2015,Inline Method,3
2015,Add Attribute Modifier,1
2015,Rename Attribute,114
2015,Extract Superclass,6
2015,Change Type Declaration Kind,1
2015,Change Class Access Modifier,1
2015,Move Package,6
2015,Change Parameter Type,90
2015,Rename Class,32
2015,Extract Attribute,9
2015,Remove Variable Modifier,1
2015,Remove Parameter,11
2015,Change Thrown Exception Type,2
2015,Add Class Annotation,2
2015,Change Attribute Access Modifier,8
2015,Parameterize Variable,1
2015,Modify Class Annotation,6
2015,Add Class Modifier,1
2015,Split Class,2
2015,Move And Inline Method,9
2015,Move Method,57
2015,Add Method Modifier,2
2015,Extract Class,9
2015,Extract Method,19
2015,Pull Up Method,17
2015,Change Return Type,97
2015,Merge Class,5
2015,Remove Thrown Exception Type,2
2015,Extract Interface,3
2015,Change Attribute Type,34
2015,Rename Parameter,56
2016,Add Method Annotation,38
2016,Localize Parameter,2
2016,Move And Rename Method,13
2016,Remove Parameter Modifier,7
2016,Move Source Folder,22
2016,Pull Up Attribute,30
2016,Move Attribute,11
2016,Move Class,211
2016,Move And Rename Class,13
2016,Replace Attribute With Variable,2
2016,Extract Variable,6
2016,Inline Variable,6
2016,Rename Method,39
2016,Modify Parameter Annotation,38
2016,Split Package,1
2016,Change Method Access Modifier,11
2016,Remove Parameter Annotation,24
2016,Extract And Move Method,12
2016,Rename Package,7
2016,Add Parameter Modifier,4
2016,Push Down Attribute,1
2016,Remove Method Annotation,39
2016,Encapsulate Attribute,8
2016,Remove Method Modifier,4
2016,Change Variable Type,40
2016,Add Thrown Exception Type,4
2016,Push Down Method,3
2016,Add Variable Modifier,6
2016,Add Parameter,78
2016,Inline Method,22
2016,Rename Variable,15
2016,Merge Package,3
2016,Add Attribute Annotation,3
2016,Extract Superclass,9
2016,Rename Attribute,15
2016,Change Type Declaration Kind,1
2016,Modify Method Annotation,29
2016,Add Parameter Annotation,36
2016,Move Package,10
2016,Change Parameter Type,80
2016,Remove Class Modifier,3
2016,Rename Class,10
2016,Extract Attribute,11
2016,Remove Variable Modifier,5
2016,Remove Parameter,13
2016,Change Thrown Exception Type,3
2016,Add Class Annotation,15
2016,Change Attribute Access Modifier,39
2016,Parameterize Variable,1
2016,Remove Attribute Modifier,1
2016,Modify Class Annotation,19
2016,Add Class Modifier,2
2016,Modify Attribute Annotation,2
2016,Move Method,30
2016,Add Method Modifier,2
2016,Extract Class,6
2016,Extract Method,19
2016,Pull Up Method,10
2016,Change Return Type,73
2016,Merge Class,1
2016,Remove Thrown Exception Type,10
2016,Extract Interface,1
2016,Change Attribute Type,22
2016,Remove Class Annotation,12
2016,Rename Parameter,44
2017,Add Method Annotation,32
2017,Localize Parameter,2
2017,Move And Rename Method,8
2017,Remove Parameter Modifier,4
2017,Move Source Folder,15
2017,Pull Up Attribute,3
2017,Move Attribute,28
2017,Move Class,192
2017,Move And Rename Class,25
2017,Extract Variable,19
2017,Inline Variable,3
2017,Rename Method,20
2017,Modify Parameter Annotation,1
2017,Split Package,6
2017,Change Method Access Modifier,19
2017,Remove Parameter Annotation,1
2017,Rename Package,6
2017,Add Parameter Modifier,1
2017,Push Down Attribute,3
2017,Remove Method Annotation,12
2017,Encapsulate Attribute,6
2017,Change Variable Type,125
2017,Add Thrown Exception Type,8
2017,Parameterize Attribute,2
2017,Add Parameter,58
2017,Rename Variable,17
2017,Inline Method,3
2017,Merge Package,6
2017,Add Attribute Annotation,3
2017,Rename Attribute,11
2017,Extract Superclass,2
2017,Change Class Access Modifier,1
2017,Modify Method Annotation,12
2017,Move Package,12
2017,Add Parameter Annotation,2
2017,Change Parameter Type,102
2017,Remove Class Modifier,3
2017,Rename Class,22
2017,Extract Attribute,4
2017,Remove Variable Modifier,1
2017,Remove Parameter,25
2017,Change Thrown Exception Type,6
2017,Add Class Annotation,8
2017,Change Attribute Access Modifier,54
2017,Parameterize Variable,2
2017,Remove Attribute Modifier,4
2017,Modify Class Annotation,4
2017,Add Class Modifier,5
2017,Modify Attribute Annotation,2
2017,Move Method,74
2017,Extract Class,4
2017,Extract Method,17
2017,Pull Up Method,9
2017,Change Return Type,146
2017,Merge Class,3
2017,Remove Thrown Exception Type,3
2017,Extract Interface,1
2017,Change Attribute Type,42
2017,Remove Class Annotation,9
2017,Remove Variable Annotation,1
2017,Rename Parameter,24
2018,Add Method Annotation,73
2018,Merge Attribute,2
2018,Localize Parameter,2
2018,Move And Rename Method,8
2018,Remove Parameter Modifier,2
2018,Move Source Folder,40
2018,Pull Up Attribute,14
2018,Move Attribute,37
2018,Move Class,166
2018,Replace Attribute With Variable,2
2018,Move And Rename Class,15
2018,Extract Variable,41
2018,Inline Variable,6
2018,Split Attribute,2
2018,Rename Method,61
2018,Modify Parameter Annotation,27
2018,Split Package,3
2018,Reorder Parameter,1
2018,Change Method Access Modifier,15
2018,Remove Parameter Annotation,5
2018,Replace Variable With Attribute,3
2018,Extract And Move Method,2
2018,Rename Package,3
2018,Add Parameter Modifier,1
2018,Push Down Attribute,4
2018,Remove Method Annotation,44
2018,Merge Parameter,3
2018,Move And Rename Attribute,2
2018,Remove Method Modifier,3
2018,Encapsulate Attribute,9
2018,Change Variable Type,186
2018,Replace Loop With Pipeline,1
2018,Add Thrown Exception Type,29
2018,Push Down Method,1
2018,Add Variable Modifier,3
2018,Add Parameter,73
2018,Inline Method,6
2018,Rename Variable,59
2018,Merge Package,2
2018,Add Attribute Annotation,16
2018,Rename Attribute,10
2018,Extract Superclass,5
2018,Change Type Declaration Kind,1
2018,Modify Method Annotation,135
2018,Add Parameter Annotation,33
2018,Move Package,13
2018,Change Parameter Type,66
2018,Rename Class,11
2018,Remove Variable Modifier,8
2018,Remove Parameter,95
2018,Change Thrown Exception Type,2
2018,Add Class Annotation,40
2018,Replace Pipeline With Loop,2
2018,Change Attribute Access Modifier,43
2018,Parameterize Variable,15
2018,Remove Attribute Modifier,3
2018,Modify Class Annotation,37
2018,Move And Inline Method,2
2018,Modify Attribute Annotation,7
