time,refact,number
2004,Move Package,6
2004,Remove Parameter Modifier,5
2004,Change Parameter Type,25
2004,Remove Class Modifier,4
2004,Pull Up Attribute,7
2004,Rename Class,10
2004,Move Attribute,7
2004,Remove Variable Modifier,3
2004,Extract Attribute,2
2004,Move And Rename Class,1
2004,Move Class,160
2004,Remove Parameter,4
2004,Extract Variable,8
2004,Inline Variable,6
2004,Rename Method,11
2004,Change Attribute Access Modifier,3
2004,Change Method Access Modifier,18
2004,Parameterize Variable,2
2004,Replace Variable With Attribute,1
2004,Extract And Move Method,3
2004,Add Class Modifier,1
2004,Move And Inline Method,1
2004,Move Method,10
2004,Add Method Modifier,9
2004,Extract Class,3
2004,Add Parameter Modifier,11
2004,Encapsulate Attribute,2
2004,Remove Method Modifier,2
2004,Change Variable Type,37
2004,Extract Method,5
2004,Pull Up Method,15
2004,Push Down Method,1
2004,Add Variable Modifier,1
2004,Add Parameter,6
2004,Rename Variable,8
2004,Inline Method,2
2004,Change Return Type,33
2004,Add Attribute Modifier,2
2004,Rename Attribute,2
2004,Extract Superclass,10
2004,Extract Interface,1
2004,Change Class Access Modifier,2
2004,Change Attribute Type,11
2004,Rename Parameter,13
2005,Merge Attribute,1
2005,Localize Parameter,25
2005,Move And Rename Method,47
2005,Remove Parameter Modifier,40
2005,Extract Subclass,3
2005,Collapse Hierarchy,1
2005,Move Source Folder,1
2005,Pull Up Attribute,36
2005,Move Attribute,136
2005,Move Class,160
2005,Move And Rename Class,59
2005,Replace Attribute With Variable,7
2005,Extract Variable,151
2005,Inline Variable,72
2005,Split Attribute,2
2005,Rename Method,604
2005,Reorder Parameter,12
2005,Change Method Access Modifier,278
2005,Replace Variable With Attribute,21
2005,Extract And Move Method,56
2005,Rename Package,11
2005,Add Parameter Modifier,256
2005,Push Down Attribute,3
2005,Merge Parameter,13
2005,Encapsulate Attribute,65
2005,Remove Method Modifier,106
2005,Move And Rename Attribute,1
2005,Change Variable Type,402
2005,Add Thrown Exception Type,19
2005,Parameterize Attribute,4
2005,Push Down Method,38
2005,Add Variable Modifier,187
2005,Add Parameter,235
2005,Rename Variable,211
2005,Inline Method,45
2005,Add Attribute Modifier,80
2005,Rename Attribute,162
2005,Extract Superclass,50
2005,Change Class Access Modifier,30
2005,Change Type Declaration Kind,1
2005,Move Package,3
2005,Remove Class Modifier,46
2005,Change Parameter Type,412
2005,Rename Class,162
2005,Remove Variable Modifier,51
2005,Extract Attribute,13
2005,Remove Parameter,336
2005,Change Thrown Exception Type,22
2005,Merge Variable,1
2005,Change Attribute Access Modifier,88
2005,Parameterize Variable,20
2005,Remove Attribute Modifier,79
2005,Add Class Modifier,54
2005,Split Class,2
2005,Move And Inline Method,32
2005,Move Method,146
2005,Add Method Modifier,330
2005,Extract Class,17
2005,Split Parameter,2
2005,Extract Method,154
2005,Pull Up Method,105
2005,Change Return Type,302
2005,Remove Thrown Exception Type,33
2005,Merge Class,1
2005,Extract Interface,18
2005,Change Attribute Type,220
2005,Rename Parameter,485
2006,Add Method Annotation,1809
2006,Merge Attribute,1
2006,Localize Parameter,23
2006,Move And Rename Method,48
2006,Remove Parameter Modifier,60
2006,Extract Subclass,2
2006,Move Source Folder,18
2006,Pull Up Attribute,26
2006,Move Attribute,60
2006,Replace Attribute With Variable,13
2006,Move Class,218
2006,Move And Rename Class,36
2006,Extract Variable,186
