element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
"src/main/java/org/apache/commons/io/FileSystemUtils.java\package freeSpaceWindows(path String, timeout Duration) : long",2024/3/19 4:13,2021/2/15 0:51,Add Variable Modifier,bd22d7517a3dc71389f7d12dad341c6534e5563a0,Change Parameter Type,394158da4a719ba6beb56692145124d9d2f005831,bd22d7517a3dc71389f7d12dad341c6534e5563a,394158da4a719ba6beb56692145124d9d2f00583,bd22d7517a3dc71389f7d12dad341c6534e5563a0394158da4a719ba6beb56692145124d9d2f005831
"src/main/java/org/apache/commons/io/FileSystemUtils.java\package freeSpaceWindows(path String, timeout Duration) : long",2024/3/19 4:13,2021/2/15 0:51,Rename Variable,bd22d7517a3dc71389f7d12dad341c6534e5563a1,Change Parameter Type,394158da4a719ba6beb56692145124d9d2f005831,bd22d7517a3dc71389f7d12dad341c6534e5563a,394158da4a719ba6beb56692145124d9d2f00583,bd22d7517a3dc71389f7d12dad341c6534e5563a1394158da4a719ba6beb56692145124d9d2f005831
src/main/java/org/apache/commons/io/FileSystemUtils.java\path : String,2024/3/19 4:13,2017/9/28 3:29,Rename Parameter,bd22d7517a3dc71389f7d12dad341c6534e5563a2,Add Parameter Modifier,14b52eb4f630f32c66122977331bd894b94749780,bd22d7517a3dc71389f7d12dad341c6534e5563a,14b52eb4f630f32c66122977331bd894b9474978,bd22d7517a3dc71389f7d12dad341c6534e5563a214b52eb4f630f32c66122977331bd894b94749780
src/main/java/org/apache/commons/io/FileSystemUtils.java\path : String,2024/3/19 4:13,2012/12/1 4:51,Rename Parameter,bd22d7517a3dc71389f7d12dad341c6534e5563a2,Add Parameter Modifier,6aa00766b9103d75c763160280429af8e1f0549e196,bd22d7517a3dc71389f7d12dad341c6534e5563a,6aa00766b9103d75c763160280429af8e1f0549e,bd22d7517a3dc71389f7d12dad341c6534e5563a26aa00766b9103d75c763160280429af8e1f0549e196
src/main/java/org/apache/commons/io/FileSystemUtils.java\path : String,2024/3/19 4:13,2012/12/1 4:51,Rename Parameter,bd22d7517a3dc71389f7d12dad341c6534e5563a2,Add Parameter Modifier,6aa00766b9103d75c763160280429af8e1f0549e197,bd22d7517a3dc71389f7d12dad341c6534e5563a,6aa00766b9103d75c763160280429af8e1f0549e,bd22d7517a3dc71389f7d12dad341c6534e5563a26aa00766b9103d75c763160280429af8e1f0549e197
src/main/java/org/apache/commons/io/FileSystemUtils.java\path : String,2024/3/19 4:13,2012/12/1 4:51,Rename Parameter,bd22d7517a3dc71389f7d12dad341c6534e5563a2,Add Parameter Modifier,6aa00766b9103d75c763160280429af8e1f0549e198,bd22d7517a3dc71389f7d12dad341c6534e5563a,6aa00766b9103d75c763160280429af8e1f0549e,bd22d7517a3dc71389f7d12dad341c6534e5563a26aa00766b9103d75c763160280429af8e1f0549e198
src/main/java/org/apache/commons/io/FileSystemUtils.java\path : String,2024/3/19 4:13,2012/12/1 4:51,Rename Parameter,bd22d7517a3dc71389f7d12dad341c6534e5563a2,Add Parameter Modifier,6aa00766b9103d75c763160280429af8e1f0549e201,bd22d7517a3dc71389f7d12dad341c6534e5563a,6aa00766b9103d75c763160280429af8e1f0549e,bd22d7517a3dc71389f7d12dad341c6534e5563a26aa00766b9103d75c763160280429af8e1f0549e201
src/main/java/org/apache/commons/io/FileSystemUtils.java\path : String,2024/3/19 4:13,2012/12/1 4:51,Rename Parameter,bd22d7517a3dc71389f7d12dad341c6534e5563a2,Add Parameter Modifier,6aa00766b9103d75c763160280429af8e1f0549e213,bd22d7517a3dc71389f7d12dad341c6534e5563a,6aa00766b9103d75c763160280429af8e1f0549e,bd22d7517a3dc71389f7d12dad341c6534e5563a26aa00766b9103d75c763160280429af8e1f0549e213
src/main/java/org/apache/commons/io/FileSystemUtils.java\path : String,2024/3/19 4:13,2012/12/1 4:51,Rename Parameter,bd22d7517a3dc71389f7d12dad341c6534e5563a2,Add Parameter Modifier,6aa00766b9103d75c763160280429af8e1f0549e219,bd22d7517a3dc71389f7d12dad341c6534e5563a,6aa00766b9103d75c763160280429af8e1f0549e,bd22d7517a3dc71389f7d12dad341c6534e5563a26aa00766b9103d75c763160280429af8e1f0549e219
src/main/java/org/apache/commons/io/FileSystemUtils.java\path : String,2024/3/19 4:13,2012/12/1 4:51,Rename Parameter,bd22d7517a3dc71389f7d12dad341c6534e5563a2,Add Parameter Modifier,6aa00766b9103d75c763160280429af8e1f0549e226,bd22d7517a3dc71389f7d12dad341c6534e5563a,6aa00766b9103d75c763160280429af8e1f0549e,bd22d7517a3dc71389f7d12dad341c6534e5563a26aa00766b9103d75c763160280429af8e1f0549e226
"src/main/java/org/apache/commons/io/FileSystemUtils.java\package freeSpaceWindows(path String, timeout Duration) : long",2024/3/19 4:13,2021/2/15 0:51,Rename Parameter,bd22d7517a3dc71389f7d12dad341c6534e5563a2,Change Parameter Type,394158da4a719ba6beb56692145124d9d2f005831,bd22d7517a3dc71389f7d12dad341c6534e5563a,394158da4a719ba6beb56692145124d9d2f00583,bd22d7517a3dc71389f7d12dad341c6534e5563a2394158da4a719ba6beb56692145124d9d2f005831
src/main/java/org/apache/commons/io/input/BoundedInputStream.java\private getCountingInputStream() : CountingInputStream,2024/2/19 6:44,2023/12/27 21:02,Inline Method,812d8a4b53d9758b4f081d9b98a70ea9ef131a0e0,Extract Method,99702ec5ce4c25a909299c4f4a8be616d8ce04dc0,812d8a4b53d9758b4f081d9b98a70ea9ef131a0e,99702ec5ce4c25a909299c4f4a8be616d8ce04dc,812d8a4b53d9758b4f081d9b98a70ea9ef131a0e099702ec5ce4c25a909299c4f4a8be616d8ce04dc0
src/main/java/org/apache/commons/io/input/BoundedInputStream.java\null,2024/2/19 6:44,2023/12/27 21:02,Inline Method,812d8a4b53d9758b4f081d9b98a70ea9ef131a0e0,Extract Method,99702ec5ce4c25a909299c4f4a8be616d8ce04dc0,812d8a4b53d9758b4f081d9b98a70ea9ef131a0e,99702ec5ce4c25a909299c4f4a8be616d8ce04dc,812d8a4b53d9758b4f081d9b98a70ea9ef131a0e099702ec5ce4c25a909299c4f4a8be616d8ce04dc0
