element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
build-plugin/src/main/java/org/adrianwalker/multilinestring/MultilineProcessor.java\@SupportedSourceVersion(SourceVersion.RELEASE_7),2020/2/6 21:33,2016/2/5 9:04,Modify Class Annotation,90f42640f55e744c65706f7d995d36912ae0288c2,Modify Class Annotation,6a7739538133c63612856246999a9d5b7b444f6f0,90f42640f55e744c65706f7d995d36912ae0288c,6a7739538133c63612856246999a9d5b7b444f6f,90f42640f55e744c65706f7d995d36912ae0288c26a7739538133c63612856246999a9d5b7b444f6f0
build-plugin/src/main/java/org/adrianwalker/multilinestring/MultilineProcessor.java\org.adrianwalker.multilinestring.MultilineProcessor,2020/2/6 21:33,2016/2/5 9:04,Modify Class Annotation,90f42640f55e744c65706f7d995d36912ae0288c2,Modify Class Annotation,6a7739538133c63612856246999a9d5b7b444f6f0,90f42640f55e744c65706f7d995d36912ae0288c,6a7739538133c63612856246999a9d5b7b444f6f,90f42640f55e744c65706f7d995d36912ae0288c26a7739538133c63612856246999a9d5b7b444f6f0
build-plugin/src/main/java/org/adrianwalker/multilinestring/MultilineProcessor.java\org.adrianwalker.multilinestring.MultilineProcessor,2020/2/6 21:33,2015/5/28 4:06,Modify Class Annotation,90f42640f55e744c65706f7d995d36912ae0288c2,Modify Class Annotation,163fc26ad9abe30f3a9c0be4622c6e4e187e85050,90f42640f55e744c65706f7d995d36912ae0288c,163fc26ad9abe30f3a9c0be4622c6e4e187e8505,90f42640f55e744c65706f7d995d36912ae0288c2163fc26ad9abe30f3a9c0be4622c6e4e187e85050
build-plugin/src/main/java/org/adrianwalker/multilinestring/MultilineProcessor.java\@SupportedSourceVersion(SourceVersion.RELEASE_8),2016/2/5 9:04,2015/5/28 4:06,Modify Class Annotation,6a7739538133c63612856246999a9d5b7b444f6f0,Modify Class Annotation,163fc26ad9abe30f3a9c0be4622c6e4e187e85050,6a7739538133c63612856246999a9d5b7b444f6f,163fc26ad9abe30f3a9c0be4622c6e4e187e8505,6a7739538133c63612856246999a9d5b7b444f6f0163fc26ad9abe30f3a9c0be4622c6e4e187e85050
build-plugin/src/main/java/org/adrianwalker/multilinestring/MultilineProcessor.java\org.adrianwalker.multilinestring.MultilineProcessor,2016/2/5 9:04,2015/5/28 4:06,Modify Class Annotation,6a7739538133c63612856246999a9d5b7b444f6f0,Modify Class Annotation,163fc26ad9abe30f3a9c0be4622c6e4e187e85050,6a7739538133c63612856246999a9d5b7b444f6f,163fc26ad9abe30f3a9c0be4622c6e4e187e8505,6a7739538133c63612856246999a9d5b7b444f6f0163fc26ad9abe30f3a9c0be4622c6e4e187e85050
contrib/hourglass/src/java/datafu/hourglass/jobs/PartitionCollapsingExecutionPlanner.java\datafu.hourglass.jobs.PartitionCollapsingExecutionPlanner,2014/5/19 3:58,2013/12/6 7:45,Move Source Folder,e6715a42accf4e6bd25e89ca7f99477dcf85c8780,Extract Class,76413325d7715120c0f974b92fce46d5791b530113,e6715a42accf4e6bd25e89ca7f99477dcf85c878,76413325d7715120c0f974b92fce46d5791b5301,e6715a42accf4e6bd25e89ca7f99477dcf85c878076413325d7715120c0f974b92fce46d5791b530113
contrib/hourglass/test/java/datafu/hourglass/test/PartitionCollapsingTests.java\datafu.hourglass.test.PartitionCollapsingTests,2014/5/19 3:58,2013/12/5 2:27,Move Source Folder,e6715a42accf4e6bd25e89ca7f99477dcf85c8781,Rename Class,72edff9ee9d13c750abf1e2bc90fc05fbc742c342,e6715a42accf4e6bd25e89ca7f99477dcf85c878,72edff9ee9d13c750abf1e2bc90fc05fbc742c34,e6715a42accf4e6bd25e89ca7f99477dcf85c878172edff9ee9d13c750abf1e2bc90fc05fbc742c342
contrib/hourglass/test/java/datafu/hourglass/test/PartitionPreservingCollapsingIntegrationTests.java\datafu.hourglass.test.PartitionPreservingCollapsingIntegrationTests,2014/5/19 3:58,2013/12/5 2:27,Move Source Folder,e6715a42accf4e6bd25e89ca7f99477dcf85c8781,Rename Class,72edff9ee9d13c750abf1e2bc90fc05fbc742c340,e6715a42accf4e6bd25e89ca7f99477dcf85c878,72edff9ee9d13c750abf1e2bc90fc05fbc742c34,e6715a42accf4e6bd25e89ca7f99477dcf85c878172edff9ee9d13c750abf1e2bc90fc05fbc742c340
contrib/hourglass/test/java/datafu/hourglass/test/PartitionPreservingTests.java\datafu.hourglass.test.PartitionPreservingTests,2014/5/19 3:58,2013/12/5 2:27,Move Source Folder,e6715a42accf4e6bd25e89ca7f99477dcf85c8781,Rename Class,72edff9ee9d13c750abf1e2bc90fc05fbc742c341,e6715a42accf4e6bd25e89ca7f99477dcf85c878,72edff9ee9d13c750abf1e2bc90fc05fbc742c34,e6715a42accf4e6bd25e89ca7f99477dcf85c878172edff9ee9d13c750abf1e2bc90fc05fbc742c341
test/pig/datafu/test/pig/bags/BagTests.java\datafu.test.pig.bags.BagTests,2014/3/4 11:35,2013/6/25 9:10,Move Source Folder,778bef1eb64173891565a4c9ea15501619388aa60,Extract Class,c9b4f76181c1ee892442969cc9d28537b6eba65e1,778bef1eb64173891565a4c9ea15501619388aa6,c9b4f76181c1ee892442969cc9d28537b6eba65e,778bef1eb64173891565a4c9ea15501619388aa60c9b4f76181c1ee892442969cc9d28537b6eba65e1
test/pig/datafu/test/pig/random/NumberTests.java\datafu.test.pig.random.NumberTests,2014/3/4 11:35,2013/7/5 8:50,Move Source Folder,778bef1eb64173891565a4c9ea15501619388aa60,Rename Package,f7ee99d3778fdb0d4c082a8ce9d1324cc1ce8c332,778bef1eb64173891565a4c9ea15501619388aa6,f7ee99d3778fdb0d4c082a8ce9d1324cc1ce8c33,778bef1eb64173891565a4c9ea15501619388aa60f7ee99d3778fdb0d4c082a8ce9d1324cc1ce8c332
