element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/interpreter/PolicyExecutionPlannerImpl.java\private doParse() : PolicyExecutionPlan,2019/10/3 6:50,2016/12/9 14:22,Change Variable Type,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd25,Extract Variable,aa8d3c9b9a17ffa66c599fb88bd06e898328d4310,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd,aa8d3c9b9a17ffa66c599fb88bd06e898328d431,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd25aa8d3c9b9a17ffa66c599fb88bd06e898328d4310
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/interpreter/PolicyExecutionPlannerImpl.java\private doParse() : PolicyExecutionPlan,2019/10/3 6:50,2016/12/9 14:22,Change Variable Type,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd26,Extract Variable,aa8d3c9b9a17ffa66c599fb88bd06e898328d4310,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd,aa8d3c9b9a17ffa66c599fb88bd06e898328d431,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd26aa8d3c9b9a17ffa66c599fb88bd06e898328d4310
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/interpreter/PolicyExecutionPlannerImpl.java\private doParse() : PolicyExecutionPlan,2019/10/3 6:50,2016/12/9 14:22,Rename Variable,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd27,Extract Variable,aa8d3c9b9a17ffa66c599fb88bd06e898328d4310,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd,aa8d3c9b9a17ffa66c599fb88bd06e898328d431,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd27aa8d3c9b9a17ffa66c599fb88bd06e898328d4310
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/siddhi/extension/ContainsIgnoreCaseExtension.java\org.apache.eagle.alert.engine.siddhi.extension.ContainsIgnoreCaseExtension,2019/10/3 6:50,2016/8/19 11:18,Add Class Annotation,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd50,Move Class,34e77cafc4ef73802b9a5716dca6a6f7b54e10c51,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd,34e77cafc4ef73802b9a5716dca6a6f7b54e10c5,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd5034e77cafc4ef73802b9a5716dca6a6f7b54e10c51
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/siddhi/extension/EqualsIgnoreCaseExtension.java\org.apache.eagle.alert.engine.siddhi.extension.EqualsIgnoreCaseExtension,2019/10/3 6:50,2016/8/19 11:18,Add Class Annotation,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd57,Move Class,34e77cafc4ef73802b9a5716dca6a6f7b54e10c52,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd,34e77cafc4ef73802b9a5716dca6a6f7b54e10c5,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd5734e77cafc4ef73802b9a5716dca6a6f7b54e10c52
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/siddhi/extension/RegexpIgnoreCaseFunctionExtension.java\org.apache.eagle.alert.engine.siddhi.extension.RegexpIgnoreCaseFunctionExtension,2019/10/3 6:50,2016/8/19 11:18,Add Class Annotation,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd64,Move Class,34e77cafc4ef73802b9a5716dca6a6f7b54e10c50,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd,34e77cafc4ef73802b9a5716dca6a6f7b54e10c5,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd6434e77cafc4ef73802b9a5716dca6a6f7b54e10c50
eagle-security/eagle-security-hdfs-auditlog/src/main/java/org/apache/eagle/security/auditlog/HdfsUserCommandReassembler.java\public init() : void,2019/10/3 6:50,2016/8/14 14:26,Change Variable Type,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd87,Remove Method Annotation,0f11a591a1521bfd50b6646aa5f27ada4c68c4023,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd,0f11a591a1521bfd50b6646aa5f27ada4c68c402,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd870f11a591a1521bfd50b6646aa5f27ada4c68c4023
eagle-security/eagle-security-hdfs-auditlog/src/main/java/org/apache/eagle/security/auditlog/HdfsUserCommandReassembler.java\public init() : void,2019/10/3 6:50,2016/8/14 14:26,Rename Variable,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd88,Remove Method Annotation,0f11a591a1521bfd50b6646aa5f27ada4c68c4023,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd,0f11a591a1521bfd50b6646aa5f27ada4c68c402,d1326e2ad2f3bdd8b995bbc82c9d5abb1106ccfd880f11a591a1521bfd50b6646aa5f27ada4c68c4023
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/publisher/impl/DefaultDeduplicator.java\org.apache.eagle.alert.engine.publisher.impl.DefaultDeduplicator,2017/6/8 10:21,2016/9/9 19:44,Move Class,e2fbb861389ebfeb7d0c96743f7a79b185857e431,Extract Class,7f41d4278d47327f018d00291aaf0787aa40133617,e2fbb861389ebfeb7d0c96743f7a79b185857e43,7f41d4278d47327f018d00291aaf0787aa401336,e2fbb861389ebfeb7d0c96743f7a79b185857e4317f41d4278d47327f018d00291aaf0787aa40133617
eagle-core/eagle-alert-parent/eagle-alert/alert-engine/src/main/java/org/apache/eagle/alert/engine/runner/AlertPublisherBolt.java\null,2017/6/8 10:21,2016/12/5 14:12,Extract Variable,e2fbb861389ebfeb7d0c96743f7a79b185857e435,Extract Variable,1c81c0865c70b9a0a91b86d7813be923e86e1dba6,e2fbb861389ebfeb7d0c96743f7a79b185857e43,1c81c0865c70b9a0a91b86d7813be923e86e1dba,e2fbb861389ebfeb7d0c96743f7a79b185857e4351c81c0865c70b9a0a91b86d7813be923e86e1dba6
