element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/monitor/PollingConfigurationAnalyzer.java\public run() : void,2024/1/4 15:30,2023/10/4 19:14,Extract Method,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0,Change Variable Type,1da5edc9f044a83262f485e2cdb767384a92038c5,bb6719f3cad33cc89c990a2ab5bc61756c497d4f,1da5edc9f044a83262f485e2cdb767384a92038c,bb6719f3cad33cc89c990a2ab5bc61756c497d4f01da5edc9f044a83262f485e2cdb767384a92038c5
gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/monitor/PollingConfigurationAnalyzer.java\public run() : void,2024/1/4 15:30,2020/4/27 22:58,Extract Method,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0,Extract Method,f96b62d133d300519fc45f295f5e7a2b589229490,bb6719f3cad33cc89c990a2ab5bc61756c497d4f,f96b62d133d300519fc45f295f5e7a2b58922949,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0f96b62d133d300519fc45f295f5e7a2b589229490
gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/monitor/PollingConfigurationAnalyzer.java\public run() : void,2024/1/4 15:30,2020/4/27 22:58,Extract Method,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0,Add Variable Modifier,f96b62d133d300519fc45f295f5e7a2b589229493,bb6719f3cad33cc89c990a2ab5bc61756c497d4f,f96b62d133d300519fc45f295f5e7a2b58922949,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0f96b62d133d300519fc45f295f5e7a2b589229493
gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/monitor/PollingConfigurationAnalyzer.java\public run() : void,2024/1/4 15:30,2020/4/27 22:58,Extract Method,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0,Add Variable Modifier,f96b62d133d300519fc45f295f5e7a2b589229494,bb6719f3cad33cc89c990a2ab5bc61756c497d4f,f96b62d133d300519fc45f295f5e7a2b58922949,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0f96b62d133d300519fc45f295f5e7a2b589229494
gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/monitor/PollingConfigurationAnalyzer.java\public run() : void,2024/1/4 15:30,2020/4/9 2:38,Extract Method,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0,Change Variable Type,89206511aad7cacb91c7fa032490816e7cdd18ba3,bb6719f3cad33cc89c990a2ab5bc61756c497d4f,89206511aad7cacb91c7fa032490816e7cdd18ba,bb6719f3cad33cc89c990a2ab5bc61756c497d4f089206511aad7cacb91c7fa032490816e7cdd18ba3
gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/monitor/PollingConfigurationAnalyzer.java\public run() : void,2024/1/4 15:30,2020/4/9 2:38,Extract Method,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0,Change Variable Type,89206511aad7cacb91c7fa032490816e7cdd18ba4,bb6719f3cad33cc89c990a2ab5bc61756c497d4f,89206511aad7cacb91c7fa032490816e7cdd18ba,bb6719f3cad33cc89c990a2ab5bc61756c497d4f089206511aad7cacb91c7fa032490816e7cdd18ba4
gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/monitor/PollingConfigurationAnalyzer.java\public run() : void,2024/1/4 15:30,2020/4/9 2:38,Extract Method,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0,Rename Variable,89206511aad7cacb91c7fa032490816e7cdd18ba5,bb6719f3cad33cc89c990a2ab5bc61756c497d4f,89206511aad7cacb91c7fa032490816e7cdd18ba,bb6719f3cad33cc89c990a2ab5bc61756c497d4f089206511aad7cacb91c7fa032490816e7cdd18ba5
gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/monitor/PollingConfigurationAnalyzer.java\null,2024/1/4 15:30,2023/10/4 19:14,Extract Method,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0,Extract Method,1da5edc9f044a83262f485e2cdb767384a92038c2,bb6719f3cad33cc89c990a2ab5bc61756c497d4f,1da5edc9f044a83262f485e2cdb767384a92038c,bb6719f3cad33cc89c990a2ab5bc61756c497d4f01da5edc9f044a83262f485e2cdb767384a92038c2
gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/monitor/PollingConfigurationAnalyzer.java\null,2024/1/4 15:30,2023/5/5 23:38,Extract Method,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0,Extract Method,82d6d603933fd012ad692c7cce729f9b03db12083,bb6719f3cad33cc89c990a2ab5bc61756c497d4f,82d6d603933fd012ad692c7cce729f9b03db1208,bb6719f3cad33cc89c990a2ab5bc61756c497d4f082d6d603933fd012ad692c7cce729f9b03db12083
gateway-discovery-cm/src/main/java/org/apache/knox/gateway/topology/discovery/cm/monitor/PollingConfigurationAnalyzer.java\null,2024/1/4 15:30,2023/5/5 23:38,Extract Method,bb6719f3cad33cc89c990a2ab5bc61756c497d4f0,Extract Method,82d6d603933fd012ad692c7cce729f9b03db12084,bb6719f3cad33cc89c990a2ab5bc61756c497d4f,82d6d603933fd012ad692c7cce729f9b03db1208,bb6719f3cad33cc89c990a2ab5bc61756c497d4f082d6d603933fd012ad692c7cce729f9b03db12084
