element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable,leftCommitid,rightCommitid,sumLable
kura/org.eclipse.kura.web2/src/main/java/org/eclipse/kura/web/UserManager.java\@SuppressWarnings("restriction"),2024/3/11 22:01,2023/9/19 15:18,Remove Class Annotation,29fbc21dcea3608016a2d159fb5c419d4c023ec111,Add Class Annotation,7edaa6d88df851e54e9ffa3181c2ea533ab583789,29fbc21dcea3608016a2d159fb5c419d4c023ec1,7edaa6d88df851e54e9ffa3181c2ea533ab58378,29fbc21dcea3608016a2d159fb5c419d4c023ec1117edaa6d88df851e54e9ffa3181c2ea533ab583789
kura/org.eclipse.kura.web2/src/main/java/org/eclipse/kura/web/UserManager.java\org.eclipse.kura.web.UserManager,2024/3/11 22:01,2023/9/19 15:18,Remove Class Annotation,29fbc21dcea3608016a2d159fb5c419d4c023ec111,Add Class Annotation,7edaa6d88df851e54e9ffa3181c2ea533ab583789,29fbc21dcea3608016a2d159fb5c419d4c023ec1,7edaa6d88df851e54e9ffa3181c2ea533ab58378,29fbc21dcea3608016a2d159fb5c419d4c023ec1117edaa6d88df851e54e9ffa3181c2ea533ab583789
kura/org.eclipse.kura.web2/src/main/java/org/eclipse/kura/web/UserManager.java\org.eclipse.kura.web.UserManager,2024/3/11 22:01,2023/9/19 15:18,Remove Class Annotation,29fbc21dcea3608016a2d159fb5c419d4c023ec111,Extract Class,7edaa6d88df851e54e9ffa3181c2ea533ab5837835,29fbc21dcea3608016a2d159fb5c419d4c023ec1,7edaa6d88df851e54e9ffa3181c2ea533ab58378,29fbc21dcea3608016a2d159fb5c419d4c023ec1117edaa6d88df851e54e9ffa3181c2ea533ab5837835
kura/org.eclipse.kura.web2/src/main/java/org/eclipse/kura/web/UserManager.java\org.eclipse.kura.web.UserManager,2024/3/11 22:01,2020/12/14 16:25,Remove Class Annotation,29fbc21dcea3608016a2d159fb5c419d4c023ec111,Rename Class,7a21c09e6101555836bfc999e859ecd15ae2866463,29fbc21dcea3608016a2d159fb5c419d4c023ec1,7a21c09e6101555836bfc999e859ecd15ae28664,29fbc21dcea3608016a2d159fb5c419d4c023ec1117a21c09e6101555836bfc999e859ecd15ae2866463
kura/org.eclipse.kura.web2/src/main/java/org/eclipse/kura/web/UserManager.java\public isPasswordChangeRequired(username String) : boolean,2024/3/11 22:01,2023/9/19 15:18,Add Thrown Exception Type,29fbc21dcea3608016a2d159fb5c419d4c023ec114,Remove Thrown Exception Type,7edaa6d88df851e54e9ffa3181c2ea533ab5837810,29fbc21dcea3608016a2d159fb5c419d4c023ec1,7edaa6d88df851e54e9ffa3181c2ea533ab58378,29fbc21dcea3608016a2d159fb5c419d4c023ec1147edaa6d88df851e54e9ffa3181c2ea533ab5837810
kura/org.eclipse.kura.web2/src/main/java/org/eclipse/kura/web/UserManager.java\boolean,2024/3/11 22:01,2022/2/3 19:54,Change Return Type,29fbc21dcea3608016a2d159fb5c419d4c023ec122,Change Return Type,35e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c42,29fbc21dcea3608016a2d159fb5c419d4c023ec1,35e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c4,29fbc21dcea3608016a2d159fb5c419d4c023ec12235e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c42
"kura/org.eclipse.kura.web2/src/main/java/org/eclipse/kura/web/UserManager.java\public setUserPassword(userName String, userPassword String) : boolean",2024/3/11 22:01,2023/9/19 15:18,Change Return Type,29fbc21dcea3608016a2d159fb5c419d4c023ec122,Change Variable Type,7edaa6d88df851e54e9ffa3181c2ea533ab5837811,29fbc21dcea3608016a2d159fb5c419d4c023ec1,7edaa6d88df851e54e9ffa3181c2ea533ab58378,29fbc21dcea3608016a2d159fb5c419d4c023ec1227edaa6d88df851e54e9ffa3181c2ea533ab5837811
"kura/org.eclipse.kura.web2/src/main/java/org/eclipse/kura/web/UserManager.java\public setUserPassword(userName String, userPassword String) : boolean",2024/3/11 22:01,2023/9/19 15:18,Change Return Type,29fbc21dcea3608016a2d159fb5c419d4c023ec122,Remove Method Annotation,7edaa6d88df851e54e9ffa3181c2ea533ab5837812,29fbc21dcea3608016a2d159fb5c419d4c023ec1,7edaa6d88df851e54e9ffa3181c2ea533ab58378,29fbc21dcea3608016a2d159fb5c419d4c023ec1227edaa6d88df851e54e9ffa3181c2ea533ab5837812
"kura/org.eclipse.kura.web2/src/main/java/org/eclipse/kura/web/UserManager.java\public setUserPassword(userName String, userPassword String) : boolean",2024/3/11 22:01,2022/2/3 19:54,Change Return Type,29fbc21dcea3608016a2d159fb5c419d4c023ec122,Extract Variable,35e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c41,29fbc21dcea3608016a2d159fb5c419d4c023ec1,35e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c4,29fbc21dcea3608016a2d159fb5c419d4c023ec12235e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c41
"kura/org.eclipse.kura.web2/src/main/java/org/eclipse/kura/web/UserManager.java\public setUserPassword(userName String, userPassword String) : boolean",2024/3/11 22:01,2022/2/3 19:54,Change Return Type,29fbc21dcea3608016a2d159fb5c419d4c023ec122,Change Return Type,35e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c42,29fbc21dcea3608016a2d159fb5c419d4c023ec1,35e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c4,29fbc21dcea3608016a2d159fb5c419d4c023ec12235e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c42
"kura/org.eclipse.kura.web2/src/main/java/org/eclipse/kura/web/shared/model/GwtUserConfig.java\public GwtUserConfig(userName String, permissions Set<String>, isPasswordAuthEnabled boolean, isPasswordChangeNeeded boolean)",2024/3/11 22:01,2022/2/3 19:54,Add Parameter,29fbc21dcea3608016a2d159fb5c419d4c023ec140,Add Parameter,35e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c45,29fbc21dcea3608016a2d159fb5c419d4c023ec1,35e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c4,29fbc21dcea3608016a2d159fb5c419d4c023ec14035e354e8eaaad2d5bdd8ca5bc9ac9dadbe2264c45
