element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
sharelib/hive2/src/main/java/org/apache/oozie/action/hadoop/Hive2Main.java\protected run(args String[]) : void,2023/2/3 16:52,2017/5/26 17:03,Add Method Annotation,b5d2b90229ca9ddef852ea865405e84f3a0fec310,Extract Variable,21761f5b5b2b4457302aef780239610d076047e5177
sharelib/hive/src/main/java/org/apache/oozie/action/hadoop/HiveMain.java\protected run(args String[]) : void,2023/2/3 16:37,2017/5/26 17:03,Add Method Annotation,3dd5044a2835cf21f0aa4d3626cacbfaea5886c80,Extract Variable,21761f5b5b2b4457302aef780239610d076047e5173
sharelib/hive/src/main/java/org/apache/oozie/action/hadoop/HiveMain.java\protected run(args String[]) : void,2023/2/3 16:37,2016/1/22 0:58,Add Method Annotation,3dd5044a2835cf21f0aa4d3626cacbfaea5886c80,Add Method Annotation,55171fc0949c76c6c9bb8ab0be6f4f71918312072
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2018/5/16 19:46,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,88aa654d66e8954a7e250f19513678da705177c30
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2017/11/8 0:37,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,75879a21be330132fd163cc6004075ad4a1c3a6f0
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2017/7/12 15:16,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,a54f7c20d7c5d1d72f195d6d92001edd147bc30470
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2017/7/12 15:16,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,a54f7c20d7c5d1d72f195d6d92001edd147bc30471
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2017/7/12 15:16,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,a54f7c20d7c5d1d72f195d6d92001edd147bc30472
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2017/7/12 15:16,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,a54f7c20d7c5d1d72f195d6d92001edd147bc30473
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2017/7/12 15:16,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,a54f7c20d7c5d1d72f195d6d92001edd147bc30474
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2017/7/12 15:16,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,a54f7c20d7c5d1d72f195d6d92001edd147bc30475
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2017/7/12 15:16,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,a54f7c20d7c5d1d72f195d6d92001edd147bc30476
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2017/7/12 15:16,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,a54f7c20d7c5d1d72f195d6d92001edd147bc30477
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2017/7/12 15:16,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,a54f7c20d7c5d1d72f195d6d92001edd147bc30478
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2016/9/21 6:16,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,00275b71a626a5035b9802309aadf7df378c5e590
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2016/9/21 6:16,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Variable,00275b71a626a5035b9802309aadf7df378c5e591
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2014/6/18 4:58,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,d5f1e3864e96c23133304a12adc5a14aebba854b6
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2014/6/16 16:23,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,198f5c2a5e7fce71d6fa638d2d26fa006fee171a7
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2013/10/29 2:43,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,a548ea9aecc6d89703416f2fdf769c2e2c8b88d90
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2013/10/29 2:43,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,a548ea9aecc6d89703416f2fdf769c2e2c8b88d91
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2013/10/29 2:43,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract And Move Method,a548ea9aecc6d89703416f2fdf769c2e2c8b88d94
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2013/10/29 2:43,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract And Move Method,a548ea9aecc6d89703416f2fdf769c2e2c8b88d95
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2013/10/29 2:43,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract And Move Method,a548ea9aecc6d89703416f2fdf769c2e2c8b88d96
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2013/6/12 0:56,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,cd7e4d6ad7374f63d43c930d806790931c3311eb2
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2013/4/19 0:38,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Variable,53c6f7bbeeac579d1d49db8571087aeb3f4bc0dd0
core/src/test/java/org/apache/oozie/test/XTestCase.java\null,2022/12/8 23:33,2012/5/12 3:51,Extract Method,7ce603f3ec71a87b8f5b335c8c7602db9b44ed230,Extract Method,1a517ca194a3436dc22a826e57c7235a12d5c06b0
