element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
"opennlp-tools/src/main/java/opennlp/tools/chunker/DefaultChunkerContextGenerator.java\public getContext(index int, tokens String[], postags String[], priorDecisions String[], additionalContext Object[]) : String[]",2024/1/2 4:42,2017/5/8 3:05,Inline Method,6d89c823e3314e88166c6fddbb3ea6bd490e22953,Rename Parameter,5f96aa323dce95467365b41077b609852ddb08aa7
opennlp-tools/src/test/java/opennlp/tools/postag/DummyPOSTaggerFactory.java\public create(in InputStream) : DummyPOSDictionary,2023/12/28 3:50,2017/1/19 12:31,Add Method Annotation,6cd47c98cd323293e828fd400aa990f96f7a5e883,Remove Thrown Exception Type,ccc58b4886cbfb4f90014165d84c6a653514af7965
opennlp-tools/src/main/java/opennlp/tools/dictionary/Dictionary.java\private isCaseSensitive : boolean,2023/12/26 2:33,2011/8/4 10:20,Encapsulate Attribute,9fa715e9ea272c6bd610e950e21c45fcd942e6db0,Move Attribute,8a5ce45d64c9590d6a96f2aba94546f944ee3e446
opennlp-tools/src/main/java/opennlp/tools/dictionary/Dictionary.java\public iterator() : Iterator<StringList>,2023/12/26 2:33,2023/1/2 22:04,Change Variable Type,9fa715e9ea272c6bd610e950e21c45fcd942e6db2,Add Method Annotation,2ae1782d66cd27e225aca68c7b6dafbdf31c33c94
opennlp-tools/src/main/java/opennlp/tools/dictionary/Dictionary.java\public iterator() : Iterator<String>,2023/12/26 2:33,2011/8/24 16:47,Change Variable Type,9fa715e9ea272c6bd610e950e21c45fcd942e6db3,Add Method Annotation,000431f1f5274ab677e01a25ac6f5efd125ed6fa44
opennlp-tools/src/main/java/opennlp/tools/namefind/DictionaryNameFinder.java\public find(textTokenized String[]) : Span[],2023/12/26 2:33,2022/12/25 5:19,Extract Variable,9fa715e9ea272c6bd610e950e21c45fcd942e6db5,Add Method Annotation,9b9aa6001be5a1ebc29c602a1be7b46d1dc2a6e19
opennlp-tools/src/main/java/opennlp/tools/namefind/DictionaryNameFinder.java\public find(textTokenized String[]) : Span[],2023/12/26 2:33,2012/3/21 16:44,Extract Variable,9fa715e9ea272c6bd610e950e21c45fcd942e6db5,Rename Variable,8470bb656c5f9ff4ae94cb07e26a8dde15e01e5d0
opennlp-tools/src/main/java/opennlp/tools/namefind/DictionaryNameFinder.java\public find(textTokenized String[]) : Span[],2023/12/26 2:33,2012/3/21 16:44,Extract Variable,9fa715e9ea272c6bd610e950e21c45fcd942e6db5,Rename Variable,8470bb656c5f9ff4ae94cb07e26a8dde15e01e5d1
opennlp-tools/src/main/java/opennlp/tools/namefind/DictionaryNameFinder.java\public find(textTokenized String[]) : Span[],2023/12/26 2:33,2012/3/21 16:44,Extract Variable,9fa715e9ea272c6bd610e950e21c45fcd942e6db5,Rename Variable,8470bb656c5f9ff4ae94cb07e26a8dde15e01e5d2
opennlp-tools/src/main/java/opennlp/tools/namefind/DictionaryNameFinder.java\public find(textTokenized String[]) : Span[],2023/12/26 2:33,2012/3/21 16:44,Extract Variable,9fa715e9ea272c6bd610e950e21c45fcd942e6db5,Rename Parameter,8470bb656c5f9ff4ae94cb07e26a8dde15e01e5d3
opennlp-tools/src/main/java/opennlp/tools/namefind/DictionaryNameFinder.java\public find(textTokenized String[]) : Span[],2023/12/26 2:33,2012/3/21 16:44,Extract Variable,9fa715e9ea272c6bd610e950e21c45fcd942e6db5,Rename Variable,8470bb656c5f9ff4ae94cb07e26a8dde15e01e5d4
opennlp-tools/src/main/java/opennlp/tools/namefind/DictionaryNameFinder.java\public find(textTokenized String[]) : Span[],2023/12/26 2:33,2012/3/21 16:44,Extract Variable,9fa715e9ea272c6bd610e950e21c45fcd942e6db5,Rename Variable,8470bb656c5f9ff4ae94cb07e26a8dde15e01e5d5
opennlp-tools/src/main/java/opennlp/tools/namefind/DictionaryNameFinder.java\public find(textTokenized String[]) : Span[],2023/12/26 2:33,2012/3/21 16:44,Extract Variable,9fa715e9ea272c6bd610e950e21c45fcd942e6db5,Rename Variable,8470bb656c5f9ff4ae94cb07e26a8dde15e01e5d6
opennlp-tools/src/main/java/opennlp/tools/tokenize/TokenizerME.java\public tokenizePos(d String) : Span[],2023/12/12 22:09,2022/4/3 3:25,Add Method Annotation,7d2722e0fac463725238baf7cfd946dacea5c23a0,Extract Variable,d34404aadabb06ee3a76efdb6f5e449eae2ab8ad0
opennlp-tools/src/test/java/opennlp/tools/tokenize/TokenizerFactoryTest.java\null,2023/12/12 22:09,2023/3/2 14:09,Extract Variable,7d2722e0fac463725238baf7cfd946dacea5c23a1,Extract Variable,a69184c1a8689ce804d24bce697ab5c0eba1c4cd1
opennlp-tools/src/test/java/opennlp/tools/tokenize/TokenizerFactoryTest.java\null,2023/12/12 22:09,2023/3/2 14:09,Extract Variable,7d2722e0fac463725238baf7cfd946dacea5c23a1,Extract Variable,a69184c1a8689ce804d24bce697ab5c0eba1c4cd2
opennlp-tools/src/test/java/opennlp/tools/tokenize/TokenizerFactoryTest.java\private loadAbbDictionary() : Dictionary,2023/12/12 22:09,2016/12/22 2:17,Add Parameter,7d2722e0fac463725238baf7cfd946dacea5c23a2,Change Method Access Modifier,bbda5de4098e0ffb884384a2fbbccae8b181742b3
"opennlp-tools/src/main/java/opennlp/tools/stemmer/snowball/SnowballProgram.java\protected find_among(v Among[], v_size int) : int",2023/12/8 15:24,2023/3/26 4:01,Inline Method,63ba91847b61afbf936547389159ff5d381e31276,Change Variable Type,14e0e4795bc2dc92711688d8f141c08828e849509
"opennlp-tools/src/main/java/opennlp/tools/stemmer/snowball/SnowballProgram.java\protected find_among_b(v Among[], v_size int) : int",2023/12/8 15:24,2023/3/26 4:01,Inline Method,63ba91847b61afbf936547389159ff5d381e31277,Change Variable Type,14e0e4795bc2dc92711688d8f141c08828e8495010
opennlp-tools/src/test/java/opennlp/tools/sentdetect/AbstractSentenceDetectorTest.java\package createSampleStream() : ObjectStream<SentenceSample>,2023/11/14 23:21,2023/10/17 6:12,Extract Variable,dab19af803e9139b57b972eb4e1af4c978d2ff3f0,Pull Up Method,c4de0e35a13934b451f4d05ea92e37bd0ffff1796
opennlp-tools/src/test/java/opennlp/tools/sentdetect/AbstractSentenceDetectorTest.java\package createSampleStream() : ObjectStream<SentenceSample>,2023/11/14 23:21,2023/10/17 6:12,Extract Variable,dab19af803e9139b57b972eb4e1af4c978d2ff3f0,Change Method Access Modifier,c4de0e35a13934b451f4d05ea92e37bd0ffff1797
opennlp-tools/src/test/java/opennlp/tools/sentdetect/AbstractSentenceDetectorTest.java\package createSampleStream() : ObjectStream<SentenceSample>,2023/11/14 23:21,2023/10/17 6:12,Add Parameter,dab19af803e9139b57b972eb4e1af4c978d2ff3f1,Pull Up Method,c4de0e35a13934b451f4d05ea92e37bd0ffff1796
opennlp-tools/src/test/java/opennlp/tools/sentdetect/AbstractSentenceDetectorTest.java\package createSampleStream() : ObjectStream<SentenceSample>,2023/11/14 23:21,2023/10/17 6:12,Add Parameter,dab19af803e9139b57b972eb4e1af4c978d2ff3f1,Change Method Access Modifier,c4de0e35a13934b451f4d05ea92e37bd0ffff1797
opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\abbreviationDictionary : Dictionary,2023/10/17 6:12,2012/2/23 8:01,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1790,Add Parameter,03b009f7d86d55f94667aae118226afaa9d88e7a1
opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\abbreviationDictionary : Dictionary,2023/10/17 6:12,2012/2/23 8:01,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1790,Add Parameter,03b009f7d86d55f94667aae118226afaa9d88e7a4
opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\abbreviationDictionary : Dictionary,2023/10/17 6:12,2012/2/23 8:01,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1790,Rename Attribute,03b009f7d86d55f94667aae118226afaa9d88e7a6
opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\abbreviationDictionary : Dictionary,2023/10/17 6:12,2012/2/23 8:01,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1790,Change Attribute Type,03b009f7d86d55f94667aae118226afaa9d88e7a7
"opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\public create(subclassName String, languageCode String, useTokenEnd boolean, abbreviationDictionary Dictionary, eosCharacters char[]) : SentenceDetectorFactory",2023/10/17 6:12,2012/2/23 11:38,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1790,Extract Variable,befa31ed3ac77bdd1940df58a36a622fd89560ee0
"opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\public create(subclassName String, languageCode String, useTokenEnd boolean, abbreviationDictionary Dictionary, eosCharacters char[]) : SentenceDetectorFactory",2023/10/17 6:12,2012/2/23 11:38,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1790,Add Thrown Exception Type,befa31ed3ac77bdd1940df58a36a622fd89560ee1
"opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\public create(subclassName String, languageCode String, useTokenEnd boolean, abbreviationDictionary Dictionary, eosCharacters char[]) : SentenceDetectorFactory",2023/10/17 6:12,2012/2/23 8:01,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1790,Add Parameter,03b009f7d86d55f94667aae118226afaa9d88e7a3
"opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\public create(subclassName String, languageCode String, useTokenEnd boolean, abbreviationDictionary Dictionary, eosCharacters char[]) : SentenceDetectorFactory",2023/10/17 6:12,2012/2/23 8:01,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1790,Add Parameter,03b009f7d86d55f94667aae118226afaa9d88e7a4
"opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\public create(subclassName String, languageCode String, useTokenEnd boolean, abbreviationDictionary Dictionary, eosCharacters char[]) : SentenceDetectorFactory",2023/10/17 6:12,2012/2/23 8:01,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1790,Remove Parameter,03b009f7d86d55f94667aae118226afaa9d88e7a5
"opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\public create(subclassName String, languageCode String, useTokenEnd boolean, abbreviationDictionary Dictionary, eosCharacters char[]) : SentenceDetectorFactory",2023/10/17 6:12,2012/2/23 11:38,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1791,Extract Variable,befa31ed3ac77bdd1940df58a36a622fd89560ee0
"opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\public create(subclassName String, languageCode String, useTokenEnd boolean, abbreviationDictionary Dictionary, eosCharacters char[]) : SentenceDetectorFactory",2023/10/17 6:12,2012/2/23 11:38,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1791,Add Thrown Exception Type,befa31ed3ac77bdd1940df58a36a622fd89560ee1
"opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\public create(subclassName String, languageCode String, useTokenEnd boolean, abbreviationDictionary Dictionary, eosCharacters char[]) : SentenceDetectorFactory",2023/10/17 6:12,2012/2/23 8:01,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1791,Add Parameter,03b009f7d86d55f94667aae118226afaa9d88e7a3
"opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\public create(subclassName String, languageCode String, useTokenEnd boolean, abbreviationDictionary Dictionary, eosCharacters char[]) : SentenceDetectorFactory",2023/10/17 6:12,2012/2/23 8:01,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1791,Add Parameter,03b009f7d86d55f94667aae118226afaa9d88e7a4
"opennlp-tools/src/main/java/opennlp/tools/sentdetect/SentenceDetectorFactory.java\public create(subclassName String, languageCode String, useTokenEnd boolean, abbreviationDictionary Dictionary, eosCharacters char[]) : SentenceDetectorFactory",2023/10/17 6:12,2012/2/23 8:01,Rename Parameter,c4de0e35a13934b451f4d05ea92e37bd0ffff1791,Remove Parameter,03b009f7d86d55f94667aae118226afaa9d88e7a5
opennlp-tools/src/test/java/opennlp/tools/sentdetect/SentenceDetectorMETest.java\package testSentenceDetector() : void,2023/10/17 6:12,2022/10/31 19:37,Rename Method,c4de0e35a13934b451f4d05ea92e37bd0ffff1792,Change Method Access Modifier,bab2990d95118b67a9fd89e80f9c292111c154a2936
opennlp-tools/src/test/java/opennlp/tools/sentdetect/SentenceDetectorMETest.java\package testInsufficientData() : void,2023/10/17 6:12,2022/10/31 19:37,Rename Method,c4de0e35a13934b451f4d05ea92e37bd0ffff1793,Modify Method Annotation,bab2990d95118b67a9fd89e80f9c292111c154a2937
opennlp-tools/src/test/java/opennlp/tools/sentdetect/SentenceDetectorMETest.java\package testInsufficientData() : void,2023/10/17 6:12,2022/10/31 19:37,Rename Method,c4de0e35a13934b451f4d05ea92e37bd0ffff1793,Remove Thrown Exception Type,bab2990d95118b67a9fd89e80f9c292111c154a2938
opennlp-tools/src/test/java/opennlp/tools/sentdetect/SentenceDetectorMETest.java\package testInsufficientData() : void,2023/10/17 6:12,2022/10/31 19:37,Rename Method,c4de0e35a13934b451f4d05ea92e37bd0ffff1793,Change Method Access Modifier,bab2990d95118b67a9fd89e80f9c292111c154a2939
opennlp-tools/src/test/java/opennlp/tools/sentdetect/SentenceDetectorMETest.java\package testSentenceDetector() : void,2023/10/17 6:12,2022/10/31 19:37,Remove Thrown Exception Type,c4de0e35a13934b451f4d05ea92e37bd0ffff1794,Change Method Access Modifier,bab2990d95118b67a9fd89e80f9c292111c154a2936
opennlp-tools/src/test/java/opennlp/tools/sentdetect/SentenceDetectorFactoryTest.java\private createSampleStream() : ObjectStream<SentenceSample>,2023/10/17 6:12,2016/11/10 11:04,Pull Up Method,c4de0e35a13934b451f4d05ea92e37bd0ffff1796,Change Variable Type,c4c4fd3f40ecd5e8140b34c4e9b6a331cb8987ff12
opennlp-tools/src/test/java/opennlp/tools/sentdetect/SentenceDetectorFactoryTest.java\private createSampleStream() : ObjectStream<SentenceSample>,2023/10/17 6:12,2016/11/10 11:04,Change Method Access Modifier,c4de0e35a13934b451f4d05ea92e37bd0ffff1797,Change Variable Type,c4c4fd3f40ecd5e8140b34c4e9b6a331cb8987ff12
opennlp-tools/src/test/java/opennlp/tools/sentdetect/SentenceDetectorFactoryTest.java\private loadAbbDictionary() : Dictionary,2023/10/17 6:12,2017/1/19 12:31,Pull Up Method,c4de0e35a13934b451f4d05ea92e37bd0ffff17910,Change Method Access Modifier,ccc58b4886cbfb4f90014165d84c6a653514af7970
opennlp-tools/src/test/java/opennlp/tools/sentdetect/SentenceDetectorFactoryTest.java\private loadAbbDictionary() : Dictionary,2023/10/17 6:12,2017/1/19 12:31,Change Method Access Modifier,c4de0e35a13934b451f4d05ea92e37bd0ffff17911,Change Method Access Modifier,ccc58b4886cbfb4f90014165d84c6a653514af7970
"opennlp-tools/src/main/java/opennlp/tools/cmdline/AbstractConverterTool.java\public run(format String, args String[]) : void",2023/9/4 14:53,2023/1/2 18:16,Change Variable Type,8da0a97a02d8ea251ded5edc50cb2182ebb94e510,Add Method Annotation,d14d85608063efb2a0fd0896e78a300b995296313
"opennlp-tools/src/main/java/opennlp/tools/cmdline/AbstractConverterTool.java\public run(format String, args String[]) : void",2023/9/4 14:53,2022/11/24 0:09,Change Variable Type,8da0a97a02d8ea251ded5edc50cb2182ebb94e510,Change Variable Type,986aa66c17b6eaa275041cc903d6f3146ff6d52d7
"opennlp-tools/src/main/java/opennlp/tools/cmdline/AbstractConverterTool.java\public run(format String, args String[]) : void",2023/9/4 14:53,2011/12/2 4:08,Change Variable Type,8da0a97a02d8ea251ded5edc50cb2182ebb94e510,Parameterize Variable,33980c08174cd0df7db7863114c7cae153beca701
"opennlp-tools/src/main/java/opennlp/tools/cmdline/AbstractConverterTool.java\public run(format String, args String[]) : void",2023/9/4 14:53,2011/12/2 4:08,Change Variable Type,8da0a97a02d8ea251ded5edc50cb2182ebb94e510,Move And Inline Method,33980c08174cd0df7db7863114c7cae153beca70235
"opennlp-tools/src/main/java/opennlp/tools/cmdline/AbstractConverterTool.java\public run(format String, args String[]) : void",2023/9/4 14:53,2011/12/2 4:08,Change Variable Type,8da0a97a02d8ea251ded5edc50cb2182ebb94e510,Move And Inline Method,33980c08174cd0df7db7863114c7cae153beca70236
"opennlp-tools/src/main/java/opennlp/tools/cmdline/AbstractConverterTool.java\public run(format String, args String[]) : void",2023/9/4 14:53,2011/12/2 4:08,Change Variable Type,8da0a97a02d8ea251ded5edc50cb2182ebb94e510,Move And Inline Method,33980c08174cd0df7db7863114c7cae153beca70237
"opennlp-tools/src/main/java/opennlp/tools/cmdline/AbstractConverterTool.java\public run(format String, args String[]) : void",2023/9/4 14:53,2011/12/2 4:08,Change Variable Type,8da0a97a02d8ea251ded5edc50cb2182ebb94e510,Move And Inline Method,33980c08174cd0df7db7863114c7cae153beca70238
"opennlp-tools/src/main/java/opennlp/tools/cmdline/AbstractConverterTool.java\public run(format String, args String[]) : void",2023/9/4 14:53,2011/12/2 4:08,Change Variable Type,8da0a97a02d8ea251ded5edc50cb2182ebb94e510,Move And Inline Method,33980c08174cd0df7db7863114c7cae153beca70239
"opennlp-tools/src/main/java/opennlp/tools/cmdline/AbstractConverterTool.java\public run(format String, args String[]) : void",2023/9/4 14:53,2011/12/2 4:08,Change Variable Type,8da0a97a02d8ea251ded5edc50cb2182ebb94e510,Move And Inline Method,33980c08174cd0df7db7863114c7cae153beca70240
"opennlp-tools/src/main/java/opennlp/tools/cmdline/AbstractConverterTool.java\public run(format String, args String[]) : void",2023/9/4 14:53,2011/12/2 4:08,Change Variable Type,8da0a97a02d8ea251ded5edc50cb2182ebb94e510,Move And Inline Method,33980c08174cd0df7db7863114c7cae153beca70241
opennlp-tools/src/main/java/opennlp/tools/postag/POSTaggerFactory.java\public create(in InputStream) : POSDictionary,2023/8/28 14:25,2016/12/26 3:25,Add Method Annotation,9dc0131b4ed3d28364e7e7525c5b73e979953f6c0,Remove Thrown Exception Type,dfbf61485179f5c020a4f4a5e57db61451ad3c373
opennlp-tools/src/main/java/opennlp/tools/postag/POSTaggerFactory.java\@Deprecated,2023/8/28 14:25,2017/3/7 22:59,Modify Method Annotation,9dc0131b4ed3d28364e7e7525c5b73e979953f6c2,Add Method Annotation,530432ce029cdfc7ab479b0002281f0f719ae7245
opennlp-tools/src/main/java/opennlp/tools/postag/POSTaggerFactory.java\@Deprecated,2023/8/28 14:25,2017/3/7 22:59,Modify Method Annotation,9dc0131b4ed3d28364e7e7525c5b73e979953f6c2,Add Method Annotation,530432ce029cdfc7ab479b0002281f0f719ae7246
opennlp-tools/src/main/java/opennlp/tools/postag/POSTaggerFactory.java\@Deprecated,2023/8/28 14:25,2017/3/7 22:59,Modify Method Annotation,9dc0131b4ed3d28364e7e7525c5b73e979953f6c2,Add Method Annotation,530432ce029cdfc7ab479b0002281f0f719ae7247
opennlp-tools/src/main/java/opennlp/tools/postag/POSTaggerFactory.java\@Deprecated,2023/8/28 14:25,2017/3/7 22:59,Modify Method Annotation,9dc0131b4ed3d28364e7e7525c5b73e979953f6c2,Add Method Annotation,530432ce029cdfc7ab479b0002281f0f719ae7248
opennlp-tools/src/main/java/opennlp/tools/postag/POSTaggerFactory.java\@Deprecated,2023/8/28 14:25,2017/3/7 22:59,Modify Method Annotation,9dc0131b4ed3d28364e7e7525c5b73e979953f6c2,Add Method Annotation,530432ce029cdfc7ab479b0002281f0f719ae7249
