element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
tests/org.eclipse.reddeer.eclipse.test/src/org/eclipse/reddeer/eclipse/test/jdt/ui/preferences/BuildPathsPropertyPageTest.java\org.eclipse.reddeer.eclipse.test.jdt.ui.preferences.BuildPathsPropertyPageTest,2022/8/25 1:42,2017/4/25 14:44,Add Class Annotation,12bb86bea4e02522f72e4107a502a6cb31754f9d0,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
tests/org.eclipse.reddeer.eclipse.test/src/org/eclipse/reddeer/eclipse/test/jdt/ui/preferences/BuildPathsPropertyPageTest.java\org.eclipse.reddeer.eclipse.test.jdt.ui.preferences.BuildPathsPropertyPageTest,2022/8/25 1:42,2017/4/25 14:44,Add Class Annotation,12bb86bea4e02522f72e4107a502a6cb31754f9d0,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23822
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/m2e/core/ui/preferences/MavenArchetypesPreferencePage.java\protected verifyURL(composite ReferencedComposite) : String,2020/10/20 15:49,2017/7/18 21:56,Inline Variable,a61950926708b58735a30ae675aa696065681b1f2,Add Parameter,a3a415d53293e9be56c1cea7036b66ac69f13d0e21
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/m2e/core/ui/preferences/MavenArchetypesPreferencePage.java\composite : ReferencedComposite,2020/10/20 15:49,2017/7/18 21:56,Change Parameter Type,a61950926708b58735a30ae675aa696065681b1f3,Add Parameter,a3a415d53293e9be56c1cea7036b66ac69f13d0e21
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/m2e/core/ui/preferences/MavenArchetypesPreferencePage.java\protected verifyURL(composite ReferencedComposite) : String,2020/10/20 15:49,2017/7/18 21:56,Change Parameter Type,a61950926708b58735a30ae675aa696065681b1f3,Add Parameter,a3a415d53293e9be56c1cea7036b66ac69f13d0e21
plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/dialogs/TitleAreaDialog.java\Text,2020/10/20 15:49,2017/4/25 14:44,Change Return Type,a61950926708b58735a30ae675aa696065681b1f4,Change Return Type,02584bf1d10c8922bf616e670a8aeeca8a7b4f231103
plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/dialogs/TitleAreaDialog.java\protected getMessageLabel() : Text,2020/10/20 15:49,2017/4/25 14:44,Change Return Type,a61950926708b58735a30ae675aa696065681b1f4,Change Return Type,02584bf1d10c8922bf616e670a8aeeca8a7b4f231103
plugins/org.eclipse.reddeer.jface/src/org/eclipse/reddeer/jface/dialogs/TitleAreaDialog.java\protected getMessageLabel() : Text,2020/10/20 15:49,2017/4/25 14:44,Add Parameter,a61950926708b58735a30ae675aa696065681b1f5,Change Return Type,02584bf1d10c8922bf616e670a8aeeca8a7b4f231103
tests/org.eclipse.reddeer.swt.test/src/org/eclipse/reddeer/swt/test/keyboard/KeyboardTest.java\@Test(expected = TestFailureException.class),2020/5/27 21:52,2019/1/28 16:00,Modify Method Annotation,597abb9b682ea543062ecffc6f9e4ee56652f6d51,Modify Method Annotation,3977228e98c951a60dcacddba1f56cd3b94b209f5
tests/org.eclipse.reddeer.swt.test/src/org/eclipse/reddeer/swt/test/keyboard/KeyboardTest.java\@Test(expected = TestFailureException.class),2020/5/27 21:52,2019/1/28 16:00,Modify Method Annotation,597abb9b682ea543062ecffc6f9e4ee56652f6d51,Modify Method Annotation,3977228e98c951a60dcacddba1f56cd3b94b209f6
tests/org.eclipse.reddeer.swt.test/src/org/eclipse/reddeer/swt/test/keyboard/KeyboardTest.java\@Test(expected = TestFailureException.class),2020/5/27 21:52,2019/1/28 16:00,Modify Method Annotation,597abb9b682ea543062ecffc6f9e4ee56652f6d51,Modify Method Annotation,3977228e98c951a60dcacddba1f56cd3b94b209f7
tests/org.eclipse.reddeer.swt.test/src/org/eclipse/reddeer/swt/test/keyboard/KeyboardTest.java\@Test(expected = TestFailureException.class),2020/5/27 21:52,2019/1/28 16:00,Modify Method Annotation,597abb9b682ea543062ecffc6f9e4ee56652f6d51,Modify Method Annotation,3977228e98c951a60dcacddba1f56cd3b94b209f8
tests/org.eclipse.reddeer.swt.test/src/org/eclipse/reddeer/swt/test/keyboard/KeyboardTest.java\public keyCombinationTest() : void,2020/5/27 21:52,2019/1/28 16:00,Modify Method Annotation,597abb9b682ea543062ecffc6f9e4ee56652f6d51,Modify Method Annotation,3977228e98c951a60dcacddba1f56cd3b94b209f5
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewClassWizardPage.java\org.eclipse.reddeer.eclipse.jdt.ui.wizards.NewClassWizardPage,2019/8/27 14:25,2019/5/31 18:46,Extract Interface,ce58d827a5b51ef0bee1b45b554151b753abd2160,Extract Superclass,7162bdcf7018d68c7a724cd26eb482d944481a403
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewClassWizardPage.java\org.eclipse.reddeer.eclipse.jdt.ui.wizards.NewClassWizardPage,2019/8/27 14:25,2017/4/25 14:44,Extract Interface,ce58d827a5b51ef0bee1b45b554151b753abd2160,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewClassWizardPage.java\org.eclipse.reddeer.eclipse.jdt.ui.wizards.NewClassWizardPage,2019/8/27 14:25,2017/4/25 14:44,Extract Interface,ce58d827a5b51ef0bee1b45b554151b753abd2160,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23187
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewInterfaceCreationWizardPage.java\org.eclipse.reddeer.eclipse.jdt.ui.wizards.NewInterfaceCreationWizardPage,2019/8/27 14:25,2019/5/31 18:46,Extract Interface,ce58d827a5b51ef0bee1b45b554151b753abd2160,Extract Superclass,7162bdcf7018d68c7a724cd26eb482d944481a403
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/debug/ui/jres/JREsPreferencePage.java\public deleteJRE(name String) : JREsPreferencePage,2019/8/27 14:23,2017/7/21 14:06,Extract Method,3bdfe6d7a95ab19f7dc5a5e74ed261c9ea92d5860,Change Return Type,6636e1ddb5e010ccec38990bcf99da0594bcd33934
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewClassWizardPage.java\public setName(name String) : NewClassWizardPage,2019/5/31 18:46,2017/7/21 14:06,Rename Method,7162bdcf7018d68c7a724cd26eb482d944481a400,Change Return Type,6636e1ddb5e010ccec38990bcf99da0594bcd33967
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewClassWizardPage.java\public setName(name String) : NewClassWizardPage,2019/5/31 18:46,2017/7/21 14:06,Rename Parameter,7162bdcf7018d68c7a724cd26eb482d944481a402,Change Return Type,6636e1ddb5e010ccec38990bcf99da0594bcd33967
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewAnnotationWizardPage.java\org.eclipse.reddeer.eclipse.jdt.ui.wizards.NewAnnotationWizardPage,2019/5/31 18:46,2017/4/25 14:44,Extract Superclass,7162bdcf7018d68c7a724cd26eb482d944481a403,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewAnnotationWizardPage.java\org.eclipse.reddeer.eclipse.jdt.ui.wizards.NewAnnotationWizardPage,2019/5/31 18:46,2017/4/25 14:44,Extract Superclass,7162bdcf7018d68c7a724cd26eb482d944481a403,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23185
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewClassWizardPage.java\org.eclipse.reddeer.eclipse.jdt.ui.wizards.NewClassWizardPage,2019/5/31 18:46,2017/4/25 14:44,Extract Superclass,7162bdcf7018d68c7a724cd26eb482d944481a403,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewClassWizardPage.java\org.eclipse.reddeer.eclipse.jdt.ui.wizards.NewClassWizardPage,2019/5/31 18:46,2017/4/25 14:44,Extract Superclass,7162bdcf7018d68c7a724cd26eb482d944481a403,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23187
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewEnumWizardPage.java\org.eclipse.reddeer.eclipse.jdt.ui.wizards.NewEnumWizardPage,2019/5/31 18:46,2017/4/25 14:44,Extract Superclass,7162bdcf7018d68c7a724cd26eb482d944481a403,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.eclipse/src/org/eclipse/reddeer/eclipse/jdt/ui/wizards/NewEnumWizardPage.java\org.eclipse.reddeer.eclipse.jdt.ui.wizards.NewEnumWizardPage,2019/5/31 18:46,2017/4/25 14:44,Extract Superclass,7162bdcf7018d68c7a724cd26eb482d944481a403,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23189
plugins/org.eclipse.reddeer.workbench/src/org/eclipse/reddeer/workbench/handler/EditorHandler.java\org.eclipse.reddeer.workbench.handler.EditorHandler,2019/2/12 22:19,2017/4/25 14:44,Remove Class Annotation,b5f1f7fda2877aee6e7415d6f02cf21174e149160,Rename Package,02584bf1d10c8922bf616e670a8aeeca8a7b4f230
plugins/org.eclipse.reddeer.workbench/src/org/eclipse/reddeer/workbench/handler/EditorHandler.java\org.eclipse.reddeer.workbench.handler.EditorHandler,2019/2/12 22:19,2017/4/25 14:44,Remove Class Annotation,b5f1f7fda2877aee6e7415d6f02cf21174e149160,Move Class,02584bf1d10c8922bf616e670a8aeeca8a7b4f23759
