element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
"app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/SearchResultsModel.java\public init(initData Map<String,Object>) : void",2023/3/10 0:27,2023/3/9 22:56,Change Variable Type,51e40eeb11b9529cd2b8f54156cab7982e943e2e0,Change Variable Type,d725bc4ea931a90b2586785d163edd11fa025ea916
"app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/SearchResultsModel.java\public init(initData Map<String,Object>) : void",2023/3/10 0:27,2023/3/9 21:00,Change Variable Type,51e40eeb11b9529cd2b8f54156cab7982e943e2e0,Change Variable Type,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f1
"app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/SearchResultsModel.java\public init(initData Map<String,Object>) : void",2023/3/10 0:27,2023/3/9 4:41,Change Variable Type,51e40eeb11b9529cd2b8f54156cab7982e943e2e0,Change Variable Type,85be536308b6d0f0179b71e56eed17efa366ec0a16
"app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/SearchResultsModel.java\public init(initData Map<String,Object>) : void",2023/3/10 0:27,2021/8/9 5:50,Change Variable Type,51e40eeb11b9529cd2b8f54156cab7982e943e2e0,Change Parameter Type,5d0279b5bb63955923953cb9a70dda81f9f3a3ae50
"app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/SearchResultsModel.java\public init(initData Map<String,Object>) : void",2023/3/10 0:27,2023/3/9 22:56,Rename Variable,51e40eeb11b9529cd2b8f54156cab7982e943e2e1,Change Variable Type,d725bc4ea931a90b2586785d163edd11fa025ea916
"app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/SearchResultsModel.java\public init(initData Map<String,Object>) : void",2023/3/10 0:27,2023/3/9 21:00,Rename Variable,51e40eeb11b9529cd2b8f54156cab7982e943e2e1,Change Variable Type,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f1
"app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/SearchResultsModel.java\public init(initData Map<String,Object>) : void",2023/3/10 0:27,2023/3/9 4:41,Rename Variable,51e40eeb11b9529cd2b8f54156cab7982e943e2e1,Change Variable Type,85be536308b6d0f0179b71e56eed17efa366ec0a16
"app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/SearchResultsModel.java\public init(initData Map<String,Object>) : void",2023/3/10 0:27,2021/8/9 5:50,Rename Variable,51e40eeb11b9529cd2b8f54156cab7982e943e2e1,Change Parameter Type,5d0279b5bb63955923953cb9a70dda81f9f3a3ae50
app/src/test/java/org/apache/roller/weblogger/business/search/IndexManagerTest.java\public testBasicOperation() : void,2023/3/10 0:27,2023/3/9 22:56,Change Variable Type,51e40eeb11b9529cd2b8f54156cab7982e943e2e2,Change Variable Type,d725bc4ea931a90b2586785d163edd11fa025ea929
app/src/test/java/org/apache/roller/weblogger/business/search/IndexManagerTest.java\public testBasicOperation() : void,2023/3/10 0:27,2023/3/9 22:56,Change Variable Type,51e40eeb11b9529cd2b8f54156cab7982e943e2e2,Rename Variable,d725bc4ea931a90b2586785d163edd11fa025ea930
app/src/test/java/org/apache/roller/weblogger/business/search/IndexManagerTest.java\public testBasicOperation() : void,2023/3/10 0:27,2023/3/9 22:56,Change Variable Type,51e40eeb11b9529cd2b8f54156cab7982e943e2e2,Rename Variable,d725bc4ea931a90b2586785d163edd11fa025ea931
app/src/test/java/org/apache/roller/weblogger/business/search/IndexManagerTest.java\public testBasicOperation() : void,2023/3/10 0:27,2023/3/9 22:56,Change Variable Type,51e40eeb11b9529cd2b8f54156cab7982e943e2e2,Move And Rename Method,d725bc4ea931a90b2586785d163edd11fa025ea932
"app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\package addEntryToResults(results Map<Date,Set<WeblogEntryWrapper>>, entry WeblogEntryWrapper) : void",2023/3/10 0:27,2023/3/9 21:00,Change Method Access Modifier,51e40eeb11b9529cd2b8f54156cab7982e943e2e3,Move Method,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f7
"app/src/main/java/org/apache/roller/weblogger/business/search/lucene/LuceneIndexManager.java\package addEntryToResults(results Map<Date,Set<WeblogEntryWrapper>>, entry WeblogEntryWrapper) : void",2023/3/10 0:27,2023/3/9 21:00,Remove Method Modifier,51e40eeb11b9529cd2b8f54156cab7982e943e2e4,Move Method,880a94d8f6ba2380edb7d1d49bcc8cc2134afb0f7
