element,leftTime,rightTime,leftRefactory,leftLable,rightRefactory,rightLable
org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\null,2016/3/19 1:46,2013/4/5 2:40,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Extract Variable,c70bd7f429f9503f5c56564e205805d75128b7770
org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\null,2016/3/19 1:46,2007/11/1 3:50,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Extract Method,49f5a90000a3acd6da0b4f8d67d1e7a9d2f977320
org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\null,2016/3/19 1:46,2007/11/1 3:50,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Extract Method,49f5a90000a3acd6da0b4f8d67d1e7a9d2f977321
org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\null,2016/3/19 1:46,2007/11/1 3:50,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Extract Method,49f5a90000a3acd6da0b4f8d67d1e7a9d2f977322
"org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\protected run(provider SVNTeamProvider, set SyncInfoSet, monitor IProgressMonitor) : void",2016/3/19 1:46,2013/4/5 2:40,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Extract Variable,c70bd7f429f9503f5c56564e205805d75128b7770
"org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\protected run(provider SVNTeamProvider, set SyncInfoSet, monitor IProgressMonitor) : void",2016/3/19 1:46,2011/8/19 5:55,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Change Variable Type,dff00b99f8a66a0156816ad333b3eea51db1e8213
"org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\protected run(provider SVNTeamProvider, set SyncInfoSet, monitor IProgressMonitor) : void",2016/3/19 1:46,2011/8/19 5:55,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Change Variable Type,dff00b99f8a66a0156816ad333b3eea51db1e8214
"org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\protected run(provider SVNTeamProvider, set SyncInfoSet, monitor IProgressMonitor) : void",2016/3/19 1:46,2011/8/19 5:55,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Change Variable Type,dff00b99f8a66a0156816ad333b3eea51db1e8215
"org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\protected run(provider SVNTeamProvider, set SyncInfoSet, monitor IProgressMonitor) : void",2016/3/19 1:46,2011/8/19 5:55,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Change Variable Type,dff00b99f8a66a0156816ad333b3eea51db1e8216
"org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\protected run(provider SVNTeamProvider, set SyncInfoSet, monitor IProgressMonitor) : void",2016/3/19 1:46,2007/11/1 3:50,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Extract Method,49f5a90000a3acd6da0b4f8d67d1e7a9d2f977320
"org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\protected run(provider SVNTeamProvider, set SyncInfoSet, monitor IProgressMonitor) : void",2016/3/19 1:46,2007/11/1 3:50,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Extract Method,49f5a90000a3acd6da0b4f8d67d1e7a9d2f977321
"org.tigris.subversion.subclipse.ui/src/org/tigris/subversion/subclipse/ui/subscriber/UpdateSynchronizeOperation.java\protected run(provider SVNTeamProvider, set SyncInfoSet, monitor IProgressMonitor) : void",2016/3/19 1:46,2007/11/1 3:50,Extract Variable,cdacea4987a37ccd30d95cb7e9c0e01a39db7e121,Extract Method,49f5a90000a3acd6da0b4f8d67d1e7a9d2f977322
